Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
15R_S15_R1_001	(1, 1.8769372765442187e-05)	(2, 0.08745845186050043)	(3, 0.0)	(4, 0.002276213024463625)	(5, 0.0)	(6, 0.000557962263118145)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014640110757044905)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.258524016794561e-05)	(35, 0.0)	(40, 0.0)	(45, 1.4332975566337668e-05)	(50, 0.0017404327473410028)	(55, 9.896578367233153e-06)	(60, 0.000154591379322642)	(65, 0.0)	(70, 8.872794398209033e-06)	(75, 0.00013684579052622393)	(80, 1.023783969024119e-06)	(85, 0.0)	(90, 0.0)	(95, 0.00010340218087143603)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.0816940703490424e-05)	(120, 0.00012933804142004705)	(125, 0.0)	(130, 0.0)	(135, 1.7063066150401985e-06)	(140, 0.00012524290554395058)	(145, 6.825226460160794e-06)	(150, 0.0)
15R_S15_R2_001	(1, 6.825226460160794e-06)	(2, 3.412613230080397e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000249120765795869)	(9, 0.0006637532732506373)	(10, 0.00019861408999067914)	(15, 0.00016994813885800377)	(20, 6.0061992849414994e-05)	(25, 0.0)	(30, 0.00017643210399515656)	(35, 5.699064094234264e-05)	(40, 2.83246898096673e-05)	(45, 3.753874553088437e-06)	(50, 0.00012933804142004705)	(55, 5.391928903527028e-05)	(60, 3.514991626982809e-05)	(65, 1.9451895411458267e-05)	(70, 0.0)	(75, 7.678379767680895e-05)	(80, 1.7404327473410027e-05)	(85, 1.8428111442434145e-05)	(90, 3.412613230080397e-06)	(95, 0.0)	(100, 4.6411539929093405e-05)	(105, 0.0009377861156260931)	(110, 2.730090584064318e-06)	(115, 0.0)	(120, 8.190271752192953e-06)	(125, 0.000103060919548428)	(130, 3.753874553088437e-06)	(135, 0.0)	(140, 0.0)	(145, 5.6308118296326555e-05)	(150, 5.1189198451205964e-06)
16R_S16_R1_001	(1, 2.5857696562775182e-05)	(2, 0.08792047792952942)	(3, 0.0)	(4, 0.0023889638546608404)	(5, 0.0)	(6, 0.0006090924079231487)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001551461793766511)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.274462900088059e-05)	(35, 0.0)	(40, 0.0)	(45, 1.3790771500146764e-05)	(50, 0.001736775285799733)	(55, 1.3790771500146764e-05)	(60, 0.000158019256772515)	(65, 0.0)	(70, 8.906539927178119e-06)	(75, 0.00014365386979319546)	(80, 1.7238464375183455e-06)	(85, 0.0)	(90, 0.0)	(95, 9.4811554063509e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.0686157250220147e-05)	(120, 0.00012699002089718478)	(125, 0.0)	(130, 2.8730773958639096e-07)	(135, 5.746154791727819e-07)	(140, 0.00013015040603263508)	(145, 6.033462531314209e-06)	(150, 0.0)
16R_S16_R2_001	(1, 7.182693489659773e-06)	(2, 2.873077395863909e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.4365386979319546e-06)	(8, 0.00023990196255463639)	(9, 0.0007168328102680453)	(10, 0.00020082810997088725)	(15, 0.00016922425861638424)	(20, 5.976000983396931e-05)	(25, 0.0)	(30, 0.000189623108127018)	(35, 6.0334625313142095e-05)	(40, 3.2753082312848564e-05)	(45, 4.022308354209473e-06)	(50, 0.00012928848281387593)	(55, 5.430116278182788e-05)	(60, 3.849923710457638e-05)	(65, 2.729423526070714e-05)	(70, 0.0)	(75, 8.791616831343562e-05)	(80, 2.0398849510633757e-05)	(85, 1.7813079854356238e-05)	(90, 2.873077395863909e-06)	(95, 0.0)	(100, 5.1715393125550365e-05)	(105, 0.00089956053264499)	(110, 2.0111541771047365e-06)	(115, 0.0)	(120, 5.746154791727818e-06)	(125, 0.00010256886303234157)	(130, 7.182693489659773e-06)	(135, 0.0)	(140, 0.0)	(145, 6.0334625313142095e-05)	(150, 1.077404023448966e-05)
17R_S17_R1_001	(1, 1.0449548638712917e-05)	(2, 0.0904634841567775)	(3, 0.0)	(4, 0.001616196856120931)	(5, 0.0)	(6, 0.00036050942803559564)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 9.648416576411593e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 4.040492140302328e-05)	(35, 0.0)	(40, 0.0)	(45, 5.5730926073135555e-06)	(50, 0.0014113857028021579)	(55, 6.966365759141944e-06)	(60, 0.00012957440312004017)	(65, 0.0)	(70, 5.5730926073135555e-06)	(75, 8.951780000497399e-05)	(80, 2.0899097277425835e-06)	(85, 0.0)	(90, 0.0)	(95, 6.30456101202346e-05)	(100, 3.483182879570972e-07)	(105, 0.0)	(110, 0.0)	(115, 1.2887776654412596e-05)	(120, 8.70795719892743e-05)	(125, 0.0)	(130, 0.0)	(135, 1.741591439785486e-06)	(140, 8.70795719892743e-05)	(145, 4.179819455485167e-06)	(150, 0.0)
17R_S17_R2_001	(1, 8.70795719892743e-06)	(2, 5.224774319356459e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00019505824125597444)	(9, 0.0005398933463335007)	(10, 0.00016788941479532084)	(15, 0.00013236094942369693)	(20, 5.08544700417362e-05)	(25, 3.483182879570972e-07)	(30, 0.0001403722700467102)	(35, 4.562969572237973e-05)	(40, 2.54272350208681e-05)	(45, 4.179819455485167e-06)	(50, 9.787743891594432e-05)	(55, 4.702296887420813e-05)	(60, 3.169696420409585e-05)	(65, 1.6719277821940668e-05)	(70, 0.0)	(75, 6.548383813593428e-05)	(80, 1.741591439785486e-05)	(85, 1.5674322958069375e-05)	(90, 1.3932731518283889e-06)	(95, 0.0)	(100, 4.214651284280876e-05)	(105, 0.0009941003938295555)	(110, 2.4382280156996804e-06)	(115, 0.0)	(120, 7.663002335056139e-06)	(125, 8.080984280604656e-05)	(130, 5.5730926073135555e-06)	(135, 6.966365759141944e-07)	(140, 0.0)	(145, 4.214651284280876e-05)	(150, 6.095570039249201e-06)
18R_S18_R1_001	(1, 2.242191370205561e-05)	(2, 0.08501354818264008)	(3, 0.0)	(4, 0.0021973475428014497)	(5, 0.0)	(6, 0.0005433002166267321)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014177548510069008)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.34785094753455e-05)	(35, 0.0)	(40, 0.0)	(45, 1.069352807328806e-05)	(50, 0.0016668105693589646)	(55, 7.588955406849591e-06)	(60, 0.00015350387072945762)	(65, 0.0)	(70, 8.623812962329081e-06)	(75, 0.0001314269095458952)	(80, 1.7247625924658163e-06)	(85, 0.0)	(90, 0.0)	(95, 9.624175265959256e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.1042103628082958e-05)	(120, 0.00012418290665753876)	(125, 0.0)	(130, 0.0)	(135, 1.379810073972653e-06)	(140, 0.00012004347643562082)	(145, 7.588955406849591e-06)	(150, 0.0)
18R_S18_R2_001	(1, 1.379810073972653e-05)	(2, 1.7247625924658163e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00021559532405822704)	(9, 0.0005708964181061852)	(10, 0.00016868178154315683)	(15, 0.00015281396569247132)	(20, 6.140154829178305e-05)	(25, 0.0)	(30, 0.00016040292109932092)	(35, 5.415754540342662e-05)	(40, 2.552648636849408e-05)	(45, 5.174287777397448e-06)	(50, 0.00010831509080685324)	(55, 4.484382740411122e-05)	(60, 2.8286106516439383e-05)	(65, 1.793753096164449e-05)	(70, 0.0)	(75, 7.140517132808479e-05)	(80, 1.7247625924658163e-05)	(85, 1.828248348013765e-05)	(90, 1.0348575554794896e-06)	(95, 0.0)	(100, 4.1049349700686424e-05)	(105, 0.0009103296963034577)	(110, 6.899050369863265e-07)	(115, 0.0)	(120, 6.554097851370101e-06)	(125, 7.899412673493438e-05)	(130, 3.7944777034247954e-06)	(135, 0.0)	(140, 0.0)	(145, 3.863468207123428e-05)	(150, 5.174287777397448e-06)
19R_S19_R1_001	(1, 2.7503618829093936e-05)	(2, 0.08675773880648013)	(3, 0.0)	(4, 0.0022908896624704127)	(5, 0.0)	(6, 0.0005889010149288348)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000144313105856187)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.31272688867674e-05)	(35, 0.0)	(40, 0.0)	(45, 1.359002342143465e-05)	(50, 0.0017767337763594682)	(55, 1.1325019517862208e-05)	(60, 0.00016081527715364335)	(65, 0.0)	(70, 8.736443628065133e-06)	(75, 0.00013169379839342627)	(80, 1.2942879448985382e-06)	(85, 0.0)	(90, 0.0)	(95, 9.707159586739036e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.5207883352557822e-05)	(120, 0.00012522235866893356)	(125, 0.0)	(130, 3.2357198622463455e-07)	(135, 1.2942879448985382e-06)	(140, 0.00011939806291689013)	(145, 6.471439724492691e-06)	(150, 0.0)
19R_S19_R2_001	(1, 1.2942879448985382e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.6178599311231728e-06)	(8, 0.00028150762801543204)	(9, 0.0007053869299697033)	(10, 0.0002109689350184617)	(15, 0.0001854067481067156)	(20, 6.762654512094862e-05)	(25, 0.0)	(30, 0.00019543747967967927)	(35, 6.115510539645593e-05)	(40, 3.688720642960834e-05)	(45, 6.147867738268056e-06)	(50, 0.0001339588022969987)	(55, 6.600868518982545e-05)	(60, 4.335864615410103e-05)	(65, 2.782719081531857e-05)	(70, 3.2357198622463455e-07)	(75, 9.254158806024548e-05)	(80, 2.556218691174613e-05)	(85, 3.138648266378955e-05)	(90, 2.912147876021711e-06)	(95, 0.0)	(100, 5.791938553420958e-05)	(105, 0.0009231508766988823)	(110, 3.2357198622463456e-06)	(115, 0.0)	(120, 1.2619307462760747e-05)	(125, 0.00010516089552300622)	(130, 5.177151779594153e-06)	(135, 0.0)	(140, 0.0)	(145, 5.727224156176031e-05)	(150, 6.471439724492691e-06)
