Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
15R_S15_R1_001	(12.0, 1.0)	(13.0, 15.0)	(14.0, 176.0)	(15.0, 600.0)	(16.0, 2022.0)	(17.0, 3971.0)	(18.0, 4275.0)	(19.0, 4097.0)	(20.0, 5395.0)	(21.0, 9404.0)	(22.0, 18399.0)	(23.0, 32417.0)	(24.0, 51433.0)	(25.0, 83436.0)	(26.0, 131667.0)	(27.0, 214500.0)	(28.0, 329306.0)	(29.0, 487183.0)	(30.0, 677558.0)	(31.0, 935735.0)	(32.0, 1279438.0)	(33.0, 2088510.0)	(34.0, 3489069.0)	(35.0, 6930550.0)	(36.0, 40418115.0)	(37.0, 1408842.0)	
15R_S15_R2_001	(11.0, 135.0)	(12.0, 1868.0)	(13.0, 3354.0)	(14.0, 3657.0)	(15.0, 3818.0)	(16.0, 4403.0)	(17.0, 6487.0)	(18.0, 10604.0)	(19.0, 15350.0)	(20.0, 18814.0)	(21.0, 23136.0)	(22.0, 33410.0)	(23.0, 56824.0)	(24.0, 95737.0)	(25.0, 147853.0)	(26.0, 205154.0)	(27.0, 286130.0)	(28.0, 378387.0)	(29.0, 507149.0)	(30.0, 666829.0)	(31.0, 911567.0)	(32.0, 1257258.0)	(33.0, 1953811.0)	(34.0, 3584647.0)	(35.0, 9559470.0)	(36.0, 37586403.0)	(37.0, 1283859.0)
16R_S16_R1_001	(13.0, 17.0)	(14.0, 204.0)	(15.0, 943.0)	(16.0, 3931.0)	(17.0, 8102.0)	(18.0, 8014.0)	(19.0, 6310.0)	(20.0, 7043.0)	(21.0, 10294.0)	(22.0, 18360.0)	(23.0, 32928.0)	(24.0, 55271.0)	(25.0, 91971.0)	(26.0, 148616.0)	(27.0, 243803.0)	(28.0, 373920.0)	(29.0, 558068.0)	(30.0, 784025.0)	(31.0, 1115281.0)	(32.0, 1691572.0)	(33.0, 3444343.0)	(34.0, 4093757.0)	(35.0, 7525730.0)	(36.0, 47230269.0)	(37.0, 2158997.0)		
16R_S16_R2_001	(11.0, 159.0)	(12.0, 2007.0)	(13.0, 4121.0)	(14.0, 4525.0)	(15.0, 4822.0)	(16.0, 6244.0)	(17.0, 9549.0)	(18.0, 15309.0)	(19.0, 23247.0)	(20.0, 29767.0)	(21.0, 36721.0)	(22.0, 48742.0)	(23.0, 82013.0)	(24.0, 135782.0)	(25.0, 208984.0)	(26.0, 287905.0)	(27.0, 396597.0)	(28.0, 515265.0)	(29.0, 669064.0)	(30.0, 857358.0)	(31.0, 1140541.0)	(32.0, 1545336.0)	(33.0, 2393780.0)	(34.0, 4436032.0)	(35.0, 11590095.0)	(36.0, 43472560.0)	(37.0, 1695244.0)
17R_S17_R1_001	(13.0, 3.0)	(14.0, 53.0)	(15.0, 448.0)	(16.0, 2255.0)	(17.0, 4299.0)	(18.0, 5671.0)	(19.0, 7534.0)	(20.0, 10025.0)	(21.0, 15158.0)	(22.0, 24621.0)	(23.0, 41375.0)	(24.0, 65921.0)	(25.0, 107456.0)	(26.0, 171886.0)	(27.0, 282643.0)	(28.0, 436269.0)	(29.0, 663738.0)	(30.0, 962960.0)	(31.0, 1425142.0)	(32.0, 2205224.0)	(33.0, 3999859.0)	(34.0, 6420332.0)	(35.0, 15373637.0)	(36.0, 25095829.0)	(37.0, 96410.0)		
17R_S17_R2_001	(11.0, 167.0)	(12.0, 2197.0)	(13.0, 3922.0)	(14.0, 3944.0)	(15.0, 4168.0)	(16.0, 5120.0)	(17.0, 7864.0)	(18.0, 11581.0)	(19.0, 16243.0)	(20.0, 21908.0)	(21.0, 29999.0)	(22.0, 34712.0)	(23.0, 40645.0)	(24.0, 48698.0)	(25.0, 61914.0)	(26.0, 81547.0)	(27.0, 115218.0)	(28.0, 154648.0)	(29.0, 217358.0)	(30.0, 308841.0)	(31.0, 477625.0)	(32.0, 762879.0)	(33.0, 1402679.0)	(34.0, 3036158.0)	(35.0, 8652677.0)	(36.0, 40203057.0)	(37.0, 1712979.0)
18R_S18_R1_001	(12.0, 2.0)	(13.0, 6.0)	(14.0, 103.0)	(15.0, 410.0)	(16.0, 1493.0)	(17.0, 3048.0)	(18.0, 3561.0)	(19.0, 3464.0)	(20.0, 3520.0)	(21.0, 4073.0)	(22.0, 6690.0)	(23.0, 14118.0)	(24.0, 28877.0)	(25.0, 58075.0)	(26.0, 106661.0)	(27.0, 190585.0)	(28.0, 306231.0)	(29.0, 472593.0)	(30.0, 678629.0)	(31.0, 968479.0)	(32.0, 1375142.0)	(33.0, 2346677.0)	(34.0, 3698386.0)	(35.0, 7850138.0)	(36.0, 38979166.0)	(37.0, 878867.0)	
18R_S18_R2_001	(11.0, 163.0)	(12.0, 2028.0)	(13.0, 3610.0)	(14.0, 3509.0)	(15.0, 3118.0)	(16.0, 3572.0)	(17.0, 5010.0)	(18.0, 7633.0)	(19.0, 10875.0)	(20.0, 13498.0)	(21.0, 16647.0)	(22.0, 21164.0)	(23.0, 32642.0)	(24.0, 52828.0)	(25.0, 86517.0)	(26.0, 129006.0)	(27.0, 191257.0)	(28.0, 272006.0)	(29.0, 386787.0)	(30.0, 535005.0)	(31.0, 762433.0)	(32.0, 1080828.0)	(33.0, 1707138.0)	(34.0, 3124058.0)	(35.0, 8408288.0)	(36.0, 38830252.0)	(37.0, 2289122.0)
19R_S19_R1_001	(13.0, 11.0)	(14.0, 103.0)	(15.0, 426.0)	(16.0, 1588.0)	(17.0, 2995.0)	(18.0, 3408.0)	(19.0, 4035.0)	(20.0, 7267.0)	(21.0, 15442.0)	(22.0, 29554.0)	(23.0, 46345.0)	(24.0, 67509.0)	(25.0, 98235.0)	(26.0, 146774.0)	(27.0, 234784.0)	(28.0, 360632.0)	(29.0, 534154.0)	(30.0, 745791.0)	(31.0, 1039546.0)	(32.0, 1491835.0)	(33.0, 2522318.0)	(34.0, 3515889.0)	(35.0, 7471659.0)	(36.0, 42154228.0)	(37.0, 1315520.0)		
19R_S19_R2_001	(11.0, 99.0)	(12.0, 1388.0)	(13.0, 3152.0)	(14.0, 3643.0)	(15.0, 3589.0)	(16.0, 3988.0)	(17.0, 5250.0)	(18.0, 7950.0)	(19.0, 11977.0)	(20.0, 15660.0)	(21.0, 20861.0)	(22.0, 28551.0)	(23.0, 47391.0)	(24.0, 76178.0)	(25.0, 115330.0)	(26.0, 161820.0)	(27.0, 227582.0)	(28.0, 307162.0)	(29.0, 422941.0)	(30.0, 572339.0)	(31.0, 798829.0)	(32.0, 1120887.0)	(33.0, 1758603.0)	(34.0, 3214319.0)	(35.0, 8919185.0)	(36.0, 42707776.0)	(37.0, 1253598.0)
