.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
41R_S40_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
41R_S40_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
42R_S41_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
42R_S41_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
43R_S42_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
43R_S42_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
44R_S43_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
44R_S43_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
45R_S44_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
45R_S44_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
46R_S45_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
46R_S45_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
47R_S46_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
47R_S46_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
48R_S47_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
48R_S47_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
49R_S48_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
49R_S48_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
4R_S3_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
4R_S3_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
50R_S49_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
50R_S49_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
51R_S50_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
51R_S50_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
52R_S51_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
52R_S51_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
53R_S52_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
53R_S52_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
54R_S53_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
54R_S53_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
55R_S54_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
55R_S54_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
56R_S55_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
56R_S55_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
57R_S56_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
57R_S56_R2_001	1	0.25	1	1	0.5	0.25	1	1	0.25	0.5	0.25
58R_S57_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
58R_S57_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
59R_S58_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
59R_S58_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
5R_S4_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
5R_S4_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
60R_S59_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
60R_S59_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
61R_S60_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
61R_S60_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
62R_S61_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
62R_S61_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
63R_S95_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
63R_S95_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
64R_S62_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
64R_S62_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
65R_S63_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
65R_S63_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
66R_S64_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
66R_S64_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	0.25
67R_S65_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
67R_S65_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
68R_S66_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
68R_S66_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
69R_S67_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
69R_S67_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
6R_S5_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
6R_S5_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
70R_S68_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
70R_S68_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
71R_S69_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
71R_S69_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
72R_S70_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
72R_S70_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
73R_S71_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
73R_S71_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	0.25
74R_S72_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
74R_S72_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
75R_S73_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
75R_S73_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
76R_S74_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
76R_S74_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
77R_S75_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
77R_S75_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
78R_S76_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
78R_S76_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
79R_S77_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
79R_S77_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
7R_S6_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
7R_S6_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
80R_S78_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
80R_S78_R2_001	1	0.25	1	1	0.5	0.25	1	1	0.25	0.5	0.25
81R_S79_R1_001	1	0.25	1	1	0.25	1	1	1	0.25	0.5	0.25
81R_S79_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
82R_S80_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
82R_S80_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
84R_S81_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
84R_S81_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
85R_S82_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
85R_S82_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
86R_S83_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
86R_S83_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
87R_S84_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
87R_S84_R2_001	1	0.25	1	1	0.5	0.25	1	1	0.25	0.25	0.25
