Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
12R_S12_R2_001 - nextera_transposase_sequence	(1, 0.003864044852360629)	(2, 0.30865744944475604)	(3, 0.30903071092029016)	(4, 0.30903596812417095)	(5, 0.3090534921371068)	(6, 0.30906575894616195)	(7, 0.30907977815651066)	(8, 0.3090902925642722)	(9, 0.3091008069720337)	(10, 0.30933562874537446)	(15, 0.3114297482912116)	(20, 0.31314850347996226)	(25, 0.3185728864441333)	(30, 0.332700044712519)	(35, 0.3741467886676765)	(40, 0.42778078265921815)	(45, 0.5038644391426518)	(50, 0.6140449180756777)	(55, 0.7879307917147519)	(60, 1.0449533865636909)	(65, 1.5057876119422995)	(70, 2.20792434112559)	(75, 3.2927178701384774)	(80, 4.813413510365586)	(85, 7.18751175751743)	(90, 10.282494273371624)	(95, 13.941443335534643)	(100, 18.53476505687287)	(105, 23.78434774440982)	(110, 29.575511804131303)	(115, 35.917959581039405)	(120, 41.85346683243215)	(125, 47.13222665102707)	(130, 51.85250879464494)	(135, 56.0326595029086)	(140, 58.559585718314985)
12R_S12_R2_001 - polyg	(1, 0.0249033747831732)	(2, 0.05434722131803183)	(3, 0.05551256817826758)	(4, 0.05584201962146204)	(5, 0.05751205805425101)	(6, 0.05804303564620805)	(7, 0.05898057033827741)	(8, 0.060088087955824765)	(9, 0.06156010504243834)	(10, 0.06459561456319077)	(15, 0.06786910017961237)	(20, 0.06951565643506726)	(25, 0.07085028526026357)	(30, 0.07225115485435749)	(35, 0.07386231260368192)	(40, 0.07475778966470517)	(45, 0.07558211923320876)	(50, 0.07643203386059876)	(55, 0.07758371199074451)	(60, 0.07846306695986678)	(65, 0.07943740207910147)	(70, 0.08060590326166567)	(75, 0.16221838582636805)	(80, 0.4071168170854921)	(85, 0.42030188441844507)	(90, 0.42747516387361645)	(95, 0.4316357150248521)	(100, 0.4369020313923415)	(105, 0.4474900400081977)	(110, 0.4761516146055989)	(115, 0.5242753579695838)	(120, 0.5891019390232693)	(125, 0.6778340775635594)	(130, 0.8155616038712648)	(135, 1.0036731207314245)	(140, 1.158694744925287)
13R_S13_R1_001 - nextera_transposase_sequence	(1, 0.003571720864220867)	(2, 0.38150368821242076)	(3, 0.38201286748278)	(4, 0.38202033345448616)	(5, 0.3820367585922397)	(6, 0.3820427313696046)	(7, 0.3820591565073581)	(8, 0.3820681156734055)	(9, 0.38207259525642917)	(10, 0.38238317967940494)	(15, 0.3851969550960177)	(20, 0.38712616218488616)	(25, 0.3949080938136376)	(30, 0.41492466259668676)	(35, 0.4635923457603785)	(40, 0.5225741195166786)	(45, 0.59745034975763)	(50, 0.6954633276770634)	(55, 0.8265084521743067)	(60, 1.0083720569643488)	(65, 1.3109457909382485)	(70, 1.7688840070061276)	(75, 2.4835211445800502)	(80, 3.4978588115764793)	(85, 5.040895979916177)	(90, 7.119410557352856)	(95, 9.746028099319343)	(100, 13.170928539466747)	(105, 17.31461719745669)	(110, 22.16636726378065)	(115, 27.760403350017345)	(120, 33.38163020656895)	(125, 38.91030320371267)	(130, 44.1661964722119)	(135, 49.13540807411094)	(140, 52.15935686566801)
13R_S13_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0017619693226507622)	(4, 0.002414495249768036)	(5, 0.014846831334844516)	(6, 0.01560686725453031)	(7, 0.016472919972443396)	(8, 0.017522635594327707)	(9, 0.0186171470464489)	(10, 0.020648488628257456)	(15, 0.024460016503679776)	(20, 0.025958586344537665)	(25, 0.02686704578174166)	(30, 0.027751016831749502)	(35, 0.028013819035805892)	(40, 0.028099229752124217)	(45, 0.028159554803509883)	(50, 0.02820614246695624)	(55, 0.02827781579533526)	(60, 0.028421162452093286)	(65, 0.028549577165439023)	(70, 0.08922911288771707)	(75, 0.397168790046259)	(80, 0.41367396301647297)	(85, 0.4172462811584303)	(90, 0.42082039113359715)	(95, 0.4250748004506281)	(100, 0.43801273213964487)	(105, 0.4730684556886889)	(110, 0.5286403708473575)	(115, 0.597447960646684)	(120, 0.6851874628595904)	(125, 0.8035989686745596)	(130, 0.9526367863447497)	(135, 1.1899985424930035)	(140, 1.3841105218252825)
13R_S13_R2_001 - nextera_transposase_sequence	(1, 0.00229354650812845)	(2, 0.28022778201853266)	(3, 0.2806040669925225)	(4, 0.28061302615856987)	(5, 0.2806264649076409)	(6, 0.28063243768500584)	(7, 0.28064886282275936)	(8, 0.28065782198880673)	(9, 0.2806623015718304)	(10, 0.28096960096725543)	(15, 0.28370752211133377)	(20, 0.28552981648537024)	(25, 0.2925899379695714)	(30, 0.3096589411230336)	(35, 0.35120916413982095)	(40, 0.4004460529863894)	(45, 0.46412422158472444)	(50, 0.5507375566254759)	(55, 0.6748557525737555)	(60, 0.8526286021465653)	(65, 1.1512821036970013)	(70, 1.6051191121872594)	(75, 2.314427935073939)	(80, 3.319710572946284)	(85, 4.850661229010335)	(90, 6.913701236211115)	(95, 9.519850070148031)	(100, 12.906542056214317)	(105, 17.006350809376286)	(110, 21.81492993954549)	(115, 27.358537269212444)	(120, 32.9316716210606)	(125, 38.412194476199296)	(130, 43.62031806861165)	(135, 48.547151620551126)	(140, 51.543567998928005)
13R_S13_R2_001 - polyg	(1, 0.01848574594442071)	(2, 0.0651465759135001)	(3, 0.06672786872086209)	(4, 0.06725496632331608)	(5, 0.06963213171455339)	(6, 0.0703876880512155)	(7, 0.0717868111489475)	(8, 0.0732262504938927)	(9, 0.07513753925066641)	(10, 0.07906225125715391)	(15, 0.0832007886933055)	(20, 0.08542146731758193)	(25, 0.08703740223366045)	(30, 0.08882714497105808)	(35, 0.09084922874795101)	(40, 0.09203243594394124)	(45, 0.09302660473633181)	(50, 0.09408766863520948)	(55, 0.09579916798912669)	(60, 0.0970259764598808)	(65, 0.0982766760400946)	(70, 0.10027337551318664)	(75, 0.19498191435547932)	(80, 0.45719490392481504)	(85, 0.4755835922370558)	(90, 0.4852251480983744)	(95, 0.4900544372367787)	(100, 0.4970315371156076)	(105, 0.5107417489179082)	(110, 0.541941148761293)	(115, 0.5897144085145882)	(120, 0.6488589404540825)	(125, 0.7242076173845987)	(130, 0.832057759624052)	(135, 0.9654215162943564)	(140, 1.0727809948732814)
14R_S14_R1_001 - nextera_transposase_sequence	(1, 0.004620224740625034)	(2, 0.6246743393915173)	(3, 0.6251762707836052)	(4, 0.6251931553258466)	(5, 0.6252284593687152)	(6, 0.6252407390357999)	(7, 0.6252683682867406)	(8, 0.6252745081202828)	(9, 0.6252913926625244)	(10, 0.625706752401665)	(15, 0.6290624784242411)	(20, 0.6315463480838025)	(25, 0.6411782119533779)	(30, 0.6714742995931163)	(35, 0.7461623047191406)	(40, 0.8361458631658891)	(45, 0.9519946983765329)	(50, 1.107799421339108)	(55, 1.3277832103366063)	(60, 1.6318907006480257)	(65, 2.1451160095453536)	(70, 2.8899484263192194)	(75, 3.9880324820525757)	(80, 5.420495863394597)	(85, 7.482437696883356)	(90, 10.17322834258908)	(95, 13.278152909668652)	(100, 17.063834897665707)	(105, 21.695919954744515)	(110, 26.968168923275506)	(115, 32.80229984656863)	(120, 38.2631334953615)	(125, 43.361382958210484)	(130, 48.127028428319576)	(135, 52.622648010127534)	(140, 55.254974546859565)
14R_S14_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0031405248569165516)	(4, 0.0044697988188372425)	(5, 0.021897716328822838)	(6, 0.023035120492544813)	(7, 0.024031308484792537)	(8, 0.025342162946086152)	(9, 0.02599605521834737)	(10, 0.027750205661399296)	(15, 0.031490285263727186)	(20, 0.03285148636006814)	(25, 0.033863637919526)	(30, 0.03481408415188315)	(35, 0.035264133950538054)	(40, 0.035437584248109694)	(45, 0.035538277518204375)	(50, 0.03562699811289146)	(55, 0.035742733975164934)	(60, 0.035938594665166176)	(65, 0.036171601348098686)	(70, 0.14294484160810467)	(75, 0.6452366419248771)	(80, 0.6679263967806642)	(85, 0.6740904826655154)	(90, 0.6788568354444486)	(95, 0.6842755455372573)	(100, 0.7028414811943191)	(105, 0.7582838710901425)	(110, 0.8424640588726534)	(115, 0.9492861108093212)	(120, 1.085266232238651)	(125, 1.2787931715104477)	(130, 1.5279414768258275)	(135, 1.92916025834332)	(140, 2.2655740177962462)
14R_S14_R2_001 - nextera_transposase_sequence	(1, 0.003581057913580799)	(2, 0.5527799585272664)	(3, 0.5531759777907486)	(4, 0.5531943972913755)	(5, 0.553226631417473)	(6, 0.5532404460429433)	(7, 0.5532665403354983)	(8, 0.5532726801690406)	(9, 0.5532895647112822)	(10, 0.5536997055919117)	(15, 0.5569734648366975)	(20, 0.5593517293593302)	(25, 0.5681399801001855)	(30, 0.5943702699681739)	(35, 0.6595789860881502)	(40, 0.7385387804012706)	(45, 0.8425457186587669)	(50, 0.9862190515166723)	(55, 1.1977360100592578)	(60, 1.4971413088522616)	(65, 2.0057930557438866)	(70, 2.7465360363868636)	(75, 3.839770851588466)	(80, 5.265523087877012)	(85, 7.317440722132838)	(90, 9.993621019941166)	(95, 13.084339854153779)	(100, 16.847011587984138)	(105, 21.455574328778816)	(110, 26.705240375557658)	(115, 32.512976768435536)	(120, 37.947894793829455)	(125, 43.0204794454797)	(130, 47.762285169910534)	(135, 52.238590984335964)	(140, 54.85828297160453)
14R_S14_R2_001 - polyg	(1, 0.016356516556843975)	(2, 0.05586020556838082)	(3, 0.05845275028164184)	(4, 0.05930618714402972)	(5, 0.06167155801622347)	(6, 0.062482016043814835)	(7, 0.06365779416717655)	(8, 0.06495176408622869)	(9, 0.06604618941515415)	(10, 0.06909952863576921)	(15, 0.0725384494028444)	(20, 0.07452437856212037)	(25, 0.07588404470007573)	(30, 0.07759368134994556)	(35, 0.07964499973644765)	(40, 0.08049168278193894)	(45, 0.08113697928724084)	(50, 0.08192748285581955)	(55, 0.08303725776860091)	(60, 0.08386951220526764)	(65, 0.08487030507267213)	(70, 0.08656182921359201)	(75, 0.23699603977666603)	(80, 0.6817453201344512)	(85, 0.7061922953500614)	(90, 0.7179341130164686)	(95, 0.7232785311234149)	(100, 0.7306721186751235)	(105, 0.7488632174944243)	(110, 0.7953964019286077)	(115, 0.8680812863614374)	(120, 0.9602328200319927)	(125, 1.076803085683864)	(130, 1.250817326966367)	(135, 1.473594126242284)	(140, 1.6542338619003467)
