Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
15R_S15_R1_001	(1, 20.052809797284972)	(2, 36.17528635322929)	(3, 36.05341920469253)	(4, 36.279807564105)	(5, 36.35221598210726)	(6, 36.3863804551177)	(7, 36.396736866054624)	(8, 36.31986478407355)	(9, 36.36404857008605)	(10, 36.41905355813218)	(15, 36.4091477076948)	(20, 36.404851213987676)	(25, 36.328760886620124)	(30, 36.27403865064317)	(35, 36.24437431220913)	(40, 36.25369615873184)	(45, 36.19641790274646)	(50, 36.16379591385295)	(55, 36.114863636923616)	(60, 36.04290913060709)	(65, 36.088692029640455)	(70, 36.02037075517411)	(75, 36.03891943765458)	(80, 35.99746527128552)	(85, 36.024445094585175)	(90, 35.98730216441241)	(95, 35.94583809122714)	(100, 35.87444835533712)	(105, 35.84418849541875)	(110, 35.7943394028821)	(115, 35.711828431415874)	(120, 35.57721932220245)	(125, 35.47927044608349)	(130, 35.362805757774694)	(135, 35.14738781349673)	(140, 34.905861729716456)	(145, 34.72652006239486)	(150, 34.52768531965795)
15R_S15_R2_001	(1, 18.937358105674775)	(2, 36.026432566404246)	(3, 35.96821741158269)	(4, 35.988162873245614)	(5, 35.935767350143706)	(6, 36.016878170765594)	(7, 35.949177179705174)	(8, 35.942698606496926)	(9, 36.02390772744291)	(10, 36.09151968001154)	(15, 36.10831433048095)	(20, 36.097485985847825)	(25, 36.041514542322325)	(30, 36.02940189823881)	(35, 35.99260959359974)	(40, 35.961463225492146)	(45, 35.94464139014575)	(50, 35.935559593662866)	(55, 35.92081384546329)	(60, 35.90726376091068)	(65, 35.84659385196568)	(70, 35.77283037056509)	(75, 35.73301056951158)	(80, 35.78562425415205)	(85, 35.81264831856963)	(90, 35.760716262470496)	(95, 35.737736079890915)	(100, 35.72363819925)	(105, 35.6829182361417)	(110, 35.66566523076415)	(115, 35.567217823041474)	(120, 35.53984478138237)	(125, 35.4495335350165)	(130, 35.48727092535089)	(135, 35.383424719134254)	(140, 35.29668245876189)	(145, 35.2377181773219)	(150, 35.02752564348491)
16R_S16_R1_001	(1, 20.31997211563464)	(2, 36.252081282404994)	(3, 36.17662767627698)	(4, 36.34392250540279)	(5, 36.40370479595196)	(6, 36.44243761424882)	(7, 36.43822283843986)	(8, 36.36378574145989)	(9, 36.391167749235045)	(10, 36.44475281471442)	(15, 36.44530677276712)	(20, 36.442913815334876)	(25, 36.34636803727829)	(30, 36.31545215005239)	(35, 36.31305687691976)	(40, 36.31097494735409)	(45, 36.22057739977847)	(50, 36.14218772690578)	(55, 36.05232259217547)	(60, 35.932903980647296)	(65, 36.02652321908383)	(70, 35.919788494385195)	(75, 36.027087468499765)	(80, 36.04983118587318)	(85, 36.07650913454016)	(90, 36.02253410626585)	(95, 35.971456984522256)	(100, 35.86289970881217)	(105, 35.82348369569519)	(110, 35.76163386107886)	(115, 35.66356900081077)	(120, 35.53491957660206)	(125, 35.459699410885534)	(130, 35.32178643527936)	(135, 35.073520246267556)	(140, 34.80417552957174)	(145, 34.55684297866357)	(150, 34.32211150962131)
16R_S16_R2_001	(1, 19.733114353120374)	(2, 35.854701077916864)	(3, 35.91751473806103)	(4, 35.98349208737965)	(5, 35.87214376063335)	(6, 35.94817127833657)	(7, 35.86960495142711)	(8, 35.85975561115248)	(9, 35.9328965192653)	(10, 36.04269480351807)	(15, 36.058051327498944)	(20, 36.03833533665837)	(25, 35.994461617546314)	(30, 35.98723739659597)	(35, 35.92908779835777)	(40, 35.89055706083262)	(45, 35.90444366670239)	(50, 35.895653854163655)	(55, 35.88054905485881)	(60, 35.86420235061114)	(65, 35.763989586301136)	(70, 35.6954259645377)	(75, 35.5820323284702)	(80, 35.660080932579085)	(85, 35.71198471626256)	(90, 35.69186681349815)	(95, 35.666051621242374)	(100, 35.63816257851456)	(105, 35.60894361986404)	(110, 35.58388448367115)	(115, 35.46854284654079)	(120, 35.427468608074015)	(125, 35.325523119517335)	(130, 35.36670542591727)	(135, 35.25038578174906)	(140, 35.163489963888146)	(145, 35.08648146263888)	(150, 34.86747448552845)
17R_S17_R1_001	(1, 21.70144141770559)	(2, 34.49665765962016)	(3, 35.02699219425683)	(4, 35.538455244618014)	(5, 35.823567730874245)	(6, 35.86904686601665)	(7, 35.888283144035114)	(8, 35.73331762650067)	(9, 35.84939810948159)	(10, 35.99697159192674)	(15, 36.00313352704939)	(20, 36.041105654202006)	(25, 35.891701247125766)	(30, 35.8191668338014)	(35, 35.797117944821785)	(40, 35.768468661141824)	(45, 35.66286494439064)	(50, 35.65675953784294)	(55, 35.58184870906625)	(60, 35.397292347788564)	(65, 35.50236179305059)	(70, 35.32250862035515)	(75, 35.36185722126857)	(80, 35.314368254772816)	(85, 35.35033896594193)	(90, 35.28779748384622)	(95, 35.20251050057727)	(100, 35.032207915783886)	(105, 34.946921413194175)	(110, 34.85237535308154)	(115, 34.75384065497214)	(120, 34.60695504541478)	(125, 34.615474994334605)	(130, 34.50064718234539)	(135, 34.27251325298838)	(140, 33.95094652359889)	(145, 33.7988257981522)	(150, 33.47496169717947)
17R_S17_R2_001	(1, 19.604925502729525)	(2, 36.20651329771245)	(3, 36.343525428314805)	(4, 36.416925983826744)	(5, 36.33215259239021)	(6, 36.387099070847036)	(7, 36.32847999402564)	(8, 36.331286324808055)	(9, 36.37111066928871)	(10, 36.44087308904751)	(15, 36.44448284382655)	(20, 36.431520875376805)	(25, 36.39283067962401)	(30, 36.36485399159174)	(35, 36.32640585963316)	(40, 36.288956439802554)	(45, 36.276114693409895)	(50, 36.26360870494773)	(55, 36.247676633422934)	(60, 36.22531352651576)	(65, 36.1127809056373)	(70, 36.057697524160574)	(75, 35.90574120494581)	(80, 36.031264380755914)	(85, 36.08948752766257)	(90, 36.06983694593968)	(95, 36.046693153253706)	(100, 36.00236735569365)	(105, 35.95917750070065)	(110, 35.92951810443516)	(115, 35.83263551479736)	(120, 35.80501690493147)	(125, 35.759813697087225)	(130, 35.82523673278282)	(135, 35.75622514792555)	(140, 35.70223910141684)	(145, 35.63269951828278)	(150, 35.37932393614713)
18R_S18_R1_001	(1, 19.567321243966393)	(2, 36.1615375044279)	(3, 36.02547063855575)	(4, 36.26669314062262)	(5, 36.32865923820617)	(6, 36.37598084230299)	(7, 36.360158784403886)	(8, 36.23685060834274)	(9, 36.326155331360184)	(10, 36.37835942789901)	(15, 36.38269817513564)	(20, 36.39381719524144)	(25, 36.30746732859836)	(30, 36.24639217437957)	(35, 36.233760923827006)	(40, 36.2520466084665)	(45, 36.21258884553947)	(50, 36.191228395580644)	(55, 36.16801614736537)	(60, 36.10170319616101)	(65, 36.13299375977444)	(70, 36.0918979691162)	(75, 36.06918418418919)	(80, 35.97577342925267)	(85, 36.00502972507594)	(90, 35.96388707951711)	(95, 35.919745378817716)	(100, 35.85065329005191)	(105, 35.80551707399407)	(110, 35.72468820000567)	(115, 35.620934385305134)	(120, 35.47891077240836)	(125, 35.386673042309084)	(130, 35.23956520528797)	(135, 34.9666169578589)	(140, 34.71316907637273)	(145, 34.479454776328126)	(150, 34.20162069386716)
18R_S18_R2_001	(1, 19.753599381182777)	(2, 36.20842905621991)	(3, 36.17624897044609)	(4, 36.17600815909293)	(5, 36.183490386190556)	(6, 36.21725806418787)	(7, 36.15015603754698)	(8, 36.12586418798505)	(9, 36.224777356433606)	(10, 36.29521403907077)	(15, 36.298028596356815)	(20, 36.28934028072305)	(25, 36.23785545502911)	(30, 36.22789543744067)	(35, 36.194449951994685)	(40, 36.167366029151864)	(45, 36.12817547334471)	(50, 36.12925081797728)	(55, 36.11224222345079)	(60, 36.11022082238957)	(65, 36.04963508680403)	(70, 35.97024302284376)	(75, 35.94551627094461)	(80, 35.97274867514949)	(85, 35.9949501745408)	(90, 35.952123056843654)	(95, 35.92785218039485)	(100, 35.90026005970369)	(105, 35.85257225056372)	(110, 35.82950423044595)	(115, 35.73856378398011)	(120, 35.721784786400406)	(125, 35.62923321160074)	(130, 35.649125140046415)	(135, 35.54869552238178)	(140, 35.48022335123649)	(145, 35.406233554173085)	(150, 35.176429294375126)
19R_S19_R1_001	(1, 19.861980838455263)	(2, 36.099899339990806)	(3, 36.01109360083331)	(4, 36.22655656245405)	(5, 36.30463532401722)	(6, 36.36466970548219)	(7, 36.352259716737315)	(8, 36.26108738825118)	(9, 36.31540373500438)	(10, 36.3752141593548)	(15, 36.38045471830081)	(20, 36.38604322067506)	(25, 36.286535406023305)	(30, 36.24090932917573)	(35, 36.22249769487318)	(40, 36.23342878491212)	(45, 36.19510802515474)	(50, 36.16178989215475)	(55, 36.09665169973658)	(60, 36.05537849444802)	(65, 36.088155175029144)	(70, 36.05389963457075)	(75, 36.02315935752064)	(80, 35.94442822629745)	(85, 35.97839054905765)	(90, 35.94383944176843)	(95, 35.893464590093835)	(100, 35.80941967234842)	(105, 35.78017856255345)	(110, 35.71996584115256)	(115, 35.637593683797164)	(120, 35.51499962271507)	(125, 35.446044267754004)	(130, 35.309278093425846)	(135, 35.074265860463335)	(140, 34.76465747769682)	(145, 34.50271800468429)	(150, 34.215244146065054)
19R_S19_R2_001	(1, 18.80939985679998)	(2, 36.25989204861967)	(3, 36.13953187675894)	(4, 36.080000811518545)	(5, 36.0872600519579)	(6, 36.11230717698197)	(7, 36.056039966188024)	(8, 36.07220431215326)	(9, 36.156223823026316)	(10, 36.21962859501419)	(15, 36.231276141380775)	(20, 36.21673079755576)	(25, 36.16706978774713)	(30, 36.160193766553945)	(35, 36.134278365226315)	(40, 36.12493325357068)	(45, 36.102077710730796)	(50, 36.09838454744446)	(55, 36.08344445873914)	(60, 36.08073579881381)	(65, 36.03074619194601)	(70, 35.95023883171875)	(75, 35.945228846934405)	(80, 35.96449552991773)	(85, 35.975127438826775)	(90, 35.91935816325527)	(95, 35.90068724101299)	(100, 35.88993804696609)	(105, 35.85297755795304)	(110, 35.82872074779816)	(115, 35.73759995138654)	(120, 35.70910983599301)	(125, 35.642539274520544)	(130, 35.68912248053908)	(135, 35.607397502749066)	(140, 35.54073225764199)	(145, 35.517644014772486)	(150, 35.30839752785825)
1R_S1_R1_001	(1, 20.43928881208258)	(2, 36.19463090945391)	(3, 36.14253879764421)	(4, 36.310672701572)	(5, 36.36145270399894)	(6, 36.40461665481933)	(7, 36.40113682850654)	(8, 36.32929354689235)	(9, 36.367026761027695)	(10, 36.41548793913504)	(15, 36.423858654327)	(20, 36.435741477120146)	(25, 36.359114135761416)	(30, 36.29615683748386)	(35, 36.26674387004604)	(40, 36.276071799177686)	(45, 36.22172893650726)	(50, 36.21477774904727)	(55, 36.201883577789694)	(60, 36.107971665263854)	(65, 36.125843127267856)	(70, 36.05616152749242)	(75, 36.057917529867474)	(80, 35.99662907204579)	(85, 36.04087809985482)	(90, 36.000768335804054)	(95, 35.93258262283149)	(100, 35.84567039117101)	(105, 35.78564904800619)	(110, 35.72755463173993)	(115, 35.63613078234569)	(120, 35.50224220550615)	(125, 35.44697881360461)	(130, 35.342905813823776)	(135, 35.122038784927284)	(140, 34.90487778146976)	(145, 34.75219530629231)	(150, 34.500080633491436)
1R_S1_R2_001	(1, 19.121012104681256)	(2, 36.15893284768571)	(3, 36.144498267316926)	(4, 36.136903674974874)	(5, 36.15087149455026)	(6, 36.15290723090226)	(7, 36.11818474634688)	(8, 36.08206361805536)	(9, 36.150962709498685)	(10, 36.22320556226925)	(15, 36.22914087756119)	(20, 36.23257634020037)	(25, 36.17200133232224)	(30, 36.173623694556326)	(35, 36.133003353415376)	(40, 36.09699434847346)	(45, 36.07004403298131)	(50, 36.07419124416335)	(55, 36.0589699019608)	(60, 36.03771156485785)	(65, 35.96802335123598)	(70, 35.88753548645006)	(75, 35.81039093323587)	(80, 35.88984097150954)	(85, 35.91525035666221)	(90, 35.8799820362771)	(95, 35.857583096556525)	(100, 35.81661178574533)	(105, 35.774812316418476)	(110, 35.7543128371325)	(115, 35.682037875654146)	(120, 35.65588716617617)	(125, 35.594667475622245)	(130, 35.61715637167314)	(135, 35.51266636137914)	(140, 35.41655355809685)	(145, 35.32537665236555)	(150, 35.110500651788115)
20R_S20_R1_001	(1, 20.366369963879826)	(2, 36.245791968264065)	(3, 36.17074496084905)	(4, 36.34710702047014)	(5, 36.39577634128668)	(6, 36.441683224248514)	(7, 36.42928576966807)	(8, 36.34692749360841)	(9, 36.38788531729539)	(10, 36.43147332242214)	(15, 36.42930611196093)	(20, 36.43650649935382)	(25, 36.32558964683031)	(30, 36.28689038135339)	(35, 36.30793560372346)	(40, 36.30899182738756)	(45, 36.248257226577664)	(50, 36.22468922027063)	(55, 36.19248211178069)	(60, 36.1042055694782)	(65, 36.1399033138873)	(70, 36.08140201323225)	(75, 36.08044639113457)	(80, 36.04441554080449)	(85, 36.080850639060486)	(90, 36.048341792395135)	(95, 36.00968454548219)	(100, 35.93518771831093)	(105, 35.89520903115174)	(110, 35.84961858463473)	(115, 35.73761331090406)	(120, 35.61833012848854)	(125, 35.577421430913645)	(130, 35.43614679439689)	(135, 35.19390893980923)	(140, 34.95721658332424)	(145, 34.74905926436422)	(150, 34.47914889597283)
20R_S20_R2_001	(1, 19.89616891077578)	(2, 36.124134483143216)	(3, 36.07401347188477)	(4, 36.13386018237934)	(5, 36.109516585017104)	(6, 36.15259651949671)	(7, 36.09479335162751)	(8, 36.038353677581064)	(9, 36.11066802531709)	(10, 36.191225220675804)	(15, 36.18631659039503)	(20, 36.184988840886874)	(25, 36.13513152316453)	(30, 36.11850980415362)	(35, 36.07641157612313)	(40, 36.051584686496994)	(45, 36.02887580769363)	(50, 36.01820955576231)	(55, 35.99949400909846)	(60, 35.98194980737057)	(65, 35.90632140602146)	(70, 35.823329360750805)	(75, 35.7749150748662)	(80, 35.82419485703771)	(85, 35.83578486964415)	(90, 35.80788528543397)	(95, 35.76737481362599)	(100, 35.75982780546697)	(105, 35.72285560765677)	(110, 35.70960169002788)	(115, 35.60938798216201)	(120, 35.55188791095524)	(125, 35.453972511050004)	(130, 35.487628652529146)	(135, 35.37457609383897)	(140, 35.26420464234582)	(145, 35.1461120057499)	(150, 34.85425907828651)
21R_S21_R1_001	(1, 20.02332291077509)	(2, 36.18340027645162)	(3, 36.06172653524366)	(4, 36.26337357290821)	(5, 36.32633862644445)	(6, 36.40512112271844)	(7, 36.38215004474929)	(8, 36.28066449095505)	(9, 36.35673597519802)	(10, 36.39657045758895)	(15, 36.39352731649124)	(20, 36.40794571452798)	(25, 36.31839296013398)	(30, 36.28165113821899)	(35, 36.26341671035517)	(40, 36.27620703053938)	(45, 36.23061139314908)	(50, 36.222754047532405)	(55, 36.18150412304446)	(60, 36.12181083390867)	(65, 36.15951778085957)	(70, 36.09469144206091)	(75, 36.08085551493575)	(80, 35.98730687253062)	(85, 36.03795767453583)	(90, 36.01657842518734)	(95, 35.95971616145398)	(100, 35.864141412575904)	(105, 35.84277268153185)	(110, 35.7866239197815)	(115, 35.71046120112975)	(120, 35.61097453847065)	(125, 35.56523146572469)	(130, 35.44753551029861)	(135, 35.27439976954788)	(140, 35.07594077347353)	(145, 34.91235012879929)	(150, 34.68418203720201)
21R_S21_R2_001	(1, 19.02912263289072)	(2, 36.19913426846364)	(3, 36.11208255608437)	(4, 36.0731421674554)	(5, 36.08603390971851)	(6, 36.1326542104318)	(7, 36.06888154811807)	(8, 36.06420376125474)	(9, 36.145103677624924)	(10, 36.214356335218845)	(15, 36.21971157114744)	(20, 36.22350651270404)	(25, 36.16857955154827)	(30, 36.17369206055374)	(35, 36.14414363264763)	(40, 36.12896469645117)	(45, 36.09468094097702)	(50, 36.08748253234758)	(55, 36.058616354592644)	(60, 36.04771762437309)	(65, 36.00047815578235)	(70, 35.90756086650715)	(75, 35.875438712140735)	(80, 35.90508831415)	(85, 35.920917325644986)	(90, 35.88531313033626)	(95, 35.85091108698858)	(100, 35.83422219205184)	(105, 35.79479269193443)	(110, 35.76937227489296)	(115, 35.673497895546966)	(120, 35.63049122134873)	(125, 35.53112944202909)	(130, 35.575547528718516)	(135, 35.4694643117788)	(140, 35.379749143605444)	(145, 35.30779204533768)	(150, 35.04694895467548)
