Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16R_S16_R1_001	(1.0, 3.2764496835585453)	(2.0, 1.324471804106022)	(3.0, 0.8873471849864553)	(4.0, 0.6479531143830043)	(5.0, 0.5324499045797768)	(6.0, 0.4696678017185883)	(7.0, 0.38898370101351665)	(8.0, 0.3629927467894063)	(9.0, 0.3458701162119098)	('>10', 6.6286949948757545)	('>50', 3.8960749648076525)	('>100', 13.426462837008978)	('>500', 7.690623669423625)	('>1k', 21.027990132047265)	('>5k', 9.419122809740003)	('>10k+', 29.67484453474942)
16R_S16_R2_001	(1.0, 5.336945596964007)	(2.0, 1.4332793333144422)	(3.0, 0.8928146193772961)	(4.0, 0.7099992796883324)	(5.0, 0.550719715150092)	(6.0, 0.47573634075586385)	(7.0, 0.4357060034659185)	(8.0, 0.3987729707535051)	(9.0, 0.37674055107033866)	('>10', 7.745594464804902)	('>50', 4.880279618673051)	('>100', 16.458475020133132)	('>500', 9.012493714930157)	('>1k', 23.63549281251949)	('>5k', 8.823130464516735)	('>10k+', 18.833819493882576)
17R_S17_R1_001	(1.0, 4.290149512897768)	(2.0, 1.6553804100367018)	(3.0, 1.1406983810745073)	(4.0, 0.8284153076678622)	(5.0, 0.6499563621630235)	(6.0, 0.5247483187099644)	(7.0, 0.48008503866256913)	(8.0, 0.4258661756145743)	(9.0, 0.37134924355793325)	('>10', 7.435539904516999)	('>50', 4.342725699334676)	('>100', 13.633415320882888)	('>500', 7.483700137547958)	('>1k', 20.284649244815096)	('>5k', 7.667618064730979)	('>10k+', 28.785702877786512)
17R_S17_R2_001	(1.0, 4.026643010035948)	(2.0, 1.576310462162211)	(3.0, 1.007376047362931)	(4.0, 0.7810900579079303)	(5.0, 0.6603014496768702)	(6.0, 0.5754893228156078)	(7.0, 0.5184499508661556)	(8.0, 0.4772772140570363)	(9.0, 0.42622195194577756)	('>10', 8.986945348406755)	('>50', 5.574707274130134)	('>100', 17.531591484221188)	('>500', 9.21336214097394)	('>1k', 22.19468096743222)	('>5k', 8.006752270132985)	('>10k+', 18.44280104787213)
18R_S18_R1_001	(1.0, 3.7769458106944898)	(2.0, 1.2698243097582171)	(3.0, 0.744604591095121)	(4.0, 0.5782627497177388)	(5.0, 0.4891432112574769)	(6.0, 0.4192112763924217)	(7.0, 0.3528911929553823)	(8.0, 0.3333183633042226)	(9.0, 0.3294843957983177)	('>10', 6.325137146179823)	('>50', 3.7853828724531384)	('>100', 12.335294632114396)	('>500', 7.119702229080868)	('>1k', 19.738020834572055)	('>5k', 10.187810935400982)	('>10k+', 32.214965449225396)
18R_S18_R2_001	(1.0, 4.433723079794937)	(2.0, 1.2512086517143786)	(3.0, 0.7566250510792105)	(4.0, 0.5924573575476901)	(5.0, 0.4899746196495157)	(6.0, 0.453538780515459)	(7.0, 0.3722514845089598)	(8.0, 0.35138114909177826)	(9.0, 0.3332982161051526)	('>10', 7.036948895286191)	('>50', 4.274982760778217)	('>100', 14.405122688186287)	('>500', 8.45567418072869)	('>1k', 23.481098130323595)	('>5k', 10.024619852874928)	('>10k+', 23.287095101815)
19R_S19_R1_001	(1.0, 5.424184467252734)	(2.0, 1.7543622090975735)	(3.0, 0.9687142062906166)	(4.0, 0.7190265899404638)	(5.0, 0.6436666920068667)	(6.0, 0.5075541743743035)	(7.0, 0.4358025065204706)	(8.0, 0.4274948118480275)	(9.0, 0.3736147169418049)	('>10', 7.326167959411032)	('>50', 4.289628891412366)	('>100', 13.312979407017645)	('>500', 7.367524409416677)	('>1k', 19.20991852841127)	('>5k', 9.07838803269875)	('>10k+', 28.160972397359362)
19R_S19_R2_001	(1.0, 6.134807984384741)	(2.0, 1.7763436734416396)	(3.0, 0.9912545649232024)	(4.0, 0.7626117014757062)	(5.0, 0.626033015079869)	(6.0, 0.5559726392617962)	(7.0, 0.45863084988785147)	(8.0, 0.4733236645652092)	(9.0, 0.42289480858588613)	('>10', 8.163696250523524)	('>50', 4.774763444559288)	('>100', 14.76010308477605)	('>500', 8.070126425438668)	('>1k', 20.527476035488775)	('>5k', 9.628430355755462)	('>10k+', 21.873531501852348)
1R_S1_R1_001	(1.0, 4.182297816916876)	(2.0, 1.531853781668913)	(3.0, 0.811083434091485)	(4.0, 0.5405962655734249)	(5.0, 0.4274769297000948)	(6.0, 0.3496360625897933)	(7.0, 0.30955920753735877)	(8.0, 0.27313488319105755)	(9.0, 0.2476558193365892)	('>10', 4.910857834111636)	('>50', 2.9136415389052095)	('>100', 9.989503499430013)	('>500', 6.014359145527626)	('>1k', 17.124330764947928)	('>5k', 8.210764661360288)	('>10k+', 42.1632483551116)
1R_S1_R2_001	(1.0, 5.3442668997626)	(2.0, 1.4616993259736668)	(3.0, 0.7713433832076169)	(4.0, 0.5126749248406076)	(5.0, 0.3983628510655852)	(6.0, 0.3197964512340008)	(7.0, 0.29743245936618407)	(8.0, 0.2609796226157486)	(9.0, 0.2500727742015937)	('>10', 5.129849586040574)	('>50', 3.2791366316016153)	('>100', 11.862188887282352)	('>500', 7.473762917822202)	('>1k', 21.74337865251815)	('>5k', 9.982403097982619)	('>10k+', 30.91265153448485)
20R_S20_R1_001	(1.0, 3.804465571743682)	(2.0, 1.3181572137246533)	(3.0, 0.8340599804445542)	(4.0, 0.6110960884630404)	(5.0, 0.5090106429569239)	(6.0, 0.45595933103708297)	(7.0, 0.38834883841724666)	(8.0, 0.3583042868457487)	(9.0, 0.3081519174370407)	('>10', 6.459696364929749)	('>50', 3.866358631780408)	('>100', 12.445107753533438)	('>500', 7.3287105514590545)	('>1k', 19.08135431142887)	('>5k', 9.55561434951843)	('>10k+', 32.67560416628009)
20R_S20_R2_001	(1.0, 5.191258138622238)	(2.0, 1.3552042675038496)	(3.0, 0.8593997182622051)	(4.0, 0.6481231547116907)	(5.0, 0.55536044212707)	(6.0, 0.4968278736335309)	(7.0, 0.42287540987459415)	(8.0, 0.3848390968972611)	(9.0, 0.3522576985967512)	('>10', 7.71554909924623)	('>50', 4.665541808702802)	('>100', 14.831037352333484)	('>500', 8.184784319752758)	('>1k', 21.974725735512795)	('>5k', 9.448557012661468)	('>10k+', 22.91365887156132)
