Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
15R_S15_R1	(1, 19.545786539619478)	(2, 35.93978330977217)	(3, 35.73303935812088)	(4, 35.97967937591822)	(5, 36.053912559145424)	(6, 36.04507263348957)	(7, 36.10393439787389)	(8, 35.99038388840328)	(9, 36.07129868907797)	(10, 36.11730938162403)	(15, 36.12641974852011)	(20, 36.09042604286047)	(25, 35.90228028490096)	(30, 35.818906084100476)	(35, 35.739362090451664)	(40, 35.717839261624114)	(45, 35.68494962960061)	(50, 35.6403860819092)	(55, 35.58431170563853)	(60, 35.57191522566535)	(65, 35.589659632357)	(70, 35.57948850995989)	(75, 35.535151705237745)	(80, 35.452702773055655)	(85, 35.46211659066377)	(90, 35.4298160403862)	(95, 35.38387715365346)	(100, 35.33950404723282)	(105, 35.32956019290691)	(110, 35.31940118089827)	(115, 35.317785909117376)	(120, 35.27053875115055)	(125, 35.258755251231605)	(130, 35.25828775474342)	(135, 35.27340371525825)	(140, 35.24989081114425)	(145, 35.26383876091918)	(150, 35.17316022321515)
15R_S15_R2	(1, 18.967066218397076)	(2, 35.74111452033395)	(3, 35.56743380526381)	(4, 35.517230294423044)	(5, 35.498501749002024)	(6, 35.568566264359035)	(7, 35.485941352543435)	(8, 35.432578705091224)	(9, 35.5394813206801)	(10, 35.576171689936835)	(15, 35.535895961711795)	(20, 35.47230136683788)	(25, 35.31934272497127)	(30, 35.28494912512058)	(35, 35.25566873421183)	(40, 35.190705586910205)	(45, 35.151129779492535)	(50, 35.13252368998995)	(55, 35.099027866493536)	(60, 35.07616536772334)	(65, 35.0190426315478)	(70, 34.90012920801763)	(75, 34.9175594973755)	(80, 34.87561718737912)	(85, 34.873871083525344)	(90, 34.80255195301232)	(95, 34.78808294902623)	(100, 34.71139411434292)	(105, 34.664821411119604)	(110, 34.65585811062313)	(115, 34.578330056504356)	(120, 34.56133833882092)	(125, 34.43417132464347)	(130, 34.47957085054161)	(135, 34.4395512139139)	(140, 34.47578943341576)	(145, 34.563203694342356)	(150, 34.4117590479964)
16R_S16_R1	(1, 20.357204290375087)	(2, 35.50700668860662)	(3, 35.213896806385804)	(4, 35.36430338268639)	(5, 35.37984675200978)	(6, 35.2834288171615)	(7, 35.37364504183044)	(8, 35.122274979209166)	(9, 35.268137781031655)	(10, 35.30116499747667)	(15, 35.281082829259276)	(20, 35.09949035802881)	(25, 34.413759280002225)	(30, 34.088811231522804)	(35, 33.80438364858386)	(40, 33.8078198852004)	(45, 33.69296783424132)	(50, 33.54798603758716)	(55, 33.39654822722668)	(60, 33.32595321615949)	(65, 33.29682965769328)	(70, 33.30521073162161)	(75, 33.25685929030739)	(80, 33.145199139843626)	(85, 33.23501292684385)	(90, 33.165669062979056)	(95, 33.14750818474142)	(100, 33.033095684250114)	(105, 32.95503320587883)	(110, 32.94849486667517)	(115, 33.10566513324476)	(120, 33.155027009233)	(125, 33.30587334772475)	(130, 33.39661726866238)	(135, 33.68544269013127)	(140, 34.02048084564491)	(145, 34.22834825403816)	(150, 34.25469882517402)
16R_S16_R2	(1, 19.76918620768088)	(2, 34.682763865886685)	(3, 34.54451726172283)	(4, 34.46953520936547)	(5, 34.35782623838734)	(6, 34.38535543440403)	(7, 34.19305621699233)	(8, 34.15108716512542)	(9, 34.18855864436657)	(10, 34.14160796662094)	(15, 33.903799924655445)	(20, 33.66598690710585)	(25, 33.21275077427329)	(30, 33.07261708019982)	(35, 33.00708130783595)	(40, 32.792264067045394)	(45, 32.77842871088326)	(50, 32.67361966437541)	(55, 32.46649310439337)	(60, 32.39320118908738)	(65, 32.24644429782734)	(70, 32.15964323289305)	(75, 32.24829999271934)	(80, 32.07474272068548)	(85, 32.10146720765537)	(90, 32.032124360013995)	(95, 32.037308142766165)	(100, 31.885438494798514)	(105, 31.892008356256042)	(110, 31.918364422716586)	(115, 32.02059444633767)	(120, 32.100443620585686)	(125, 32.013735507154706)	(130, 32.117239345533356)	(135, 32.29233777369971)	(140, 32.68855681720947)	(145, 33.14453711137691)	(150, 33.18520460458164)
17R_S17_R1	(1, 22.453503754991097)	(2, 33.690747726027176)	(3, 34.042295593380935)	(4, 34.43906595976609)	(5, 34.8551482825006)	(6, 34.75840381260577)	(7, 34.906499617575086)	(8, 34.693935604060734)	(9, 34.89585595930437)	(10, 35.05251888536688)	(15, 35.09060318747653)	(20, 34.90522928431336)	(25, 34.26369354622314)	(30, 33.876805734484705)	(35, 33.43744108376165)	(40, 33.38724490959777)	(45, 33.256475420974404)	(50, 33.05323340301494)	(55, 32.873513413121415)	(60, 32.84929594565643)	(65, 32.82269992953799)	(70, 32.745501238705636)	(75, 32.61661882542676)	(80, 32.44748069457486)	(85, 32.55038521314967)	(90, 32.50802403825775)	(95, 32.429701822035355)	(100, 32.302792793306665)	(105, 32.27693159766181)	(110, 32.33061886813397)	(115, 32.59046703636424)	(120, 32.66941629290458)	(125, 32.8975373376023)	(130, 33.00049706453995)	(135, 33.31778232034161)	(140, 33.527154992277644)	(145, 33.68488416462252)	(150, 33.628654492595615)
17R_S17_R2	(1, 19.664728779432163)	(2, 35.583192977032425)	(3, 35.46094146790943)	(4, 35.41974798097712)	(5, 35.19875656696853)	(6, 35.14469513406954)	(7, 34.960761798461064)	(8, 35.00393466054519)	(9, 34.937452949690545)	(10, 34.78592997508717)	(15, 34.47282735472369)	(20, 34.08480277514017)	(25, 33.51192572482252)	(30, 33.34313390392854)	(35, 33.312125975281084)	(40, 32.98136125156507)	(45, 32.868998839936445)	(50, 32.65053945257822)	(55, 32.3732601961495)	(60, 32.2563298467543)	(65, 32.07228833021365)	(70, 31.957246868652952)	(75, 31.969411825569267)	(80, 31.828424807484282)	(85, 31.78520178490523)	(90, 31.714938549550777)	(95, 31.71981772394962)	(100, 31.62174560637152)	(105, 31.678320014346724)	(110, 31.744226372636888)	(115, 31.90872135174854)	(120, 32.112655124303984)	(125, 32.1282419213146)	(130, 32.36452049141367)	(135, 32.717296419650296)	(140, 33.32828309741882)	(145, 33.87760366361365)	(150, 33.99866569525396)
18R_S18_R1	(1, 19.389369201783882)	(2, 35.86172139944194)	(3, 35.648606520235624)	(4, 35.95735851756457)	(5, 36.07019818272877)	(6, 36.02203047864349)	(7, 36.08317187760845)	(8, 35.92488326059479)	(9, 36.043558226610386)	(10, 36.06149378741266)	(15, 36.10479444802175)	(20, 36.05391047196585)	(25, 35.84179424399293)	(30, 35.73347539673781)	(35, 35.60218482665273)	(40, 35.57771490754705)	(45, 35.54833490530193)	(50, 35.48786702261208)	(55, 35.43574379838246)	(60, 35.39756008793149)	(65, 35.40914031145029)	(70, 35.42223100934679)	(75, 35.37464106655994)	(80, 35.24773347242584)	(85, 35.253579834828834)	(90, 35.257254421321804)	(95, 35.23080856113664)	(100, 35.19120309008711)	(105, 35.15759021081974)	(110, 35.127868389748734)	(115, 35.14857256986166)	(120, 35.083052101063515)	(125, 35.130214835239265)	(130, 35.188971000381265)	(135, 35.20865600368498)	(140, 35.22596859412094)	(145, 35.22829794284593)	(150, 35.15476224025624)
18R_S18_R2	(1, 19.462134458992153)	(2, 35.89505520974935)	(3, 35.823409887672604)	(4, 35.79356275786411)	(5, 35.77576208533066)	(6, 35.82869476043977)	(7, 35.736083565858195)	(8, 35.69062221268274)	(9, 35.76529059645608)	(10, 35.770856120769835)	(15, 35.71845498557153)	(20, 35.628683885430824)	(25, 35.46419366453856)	(30, 35.42525509650356)	(35, 35.38954739668913)	(40, 35.30325800495466)	(45, 35.267536831572734)	(50, 35.25199127825759)	(55, 35.19235747420948)	(60, 35.166204708376085)	(65, 35.084547999816124)	(70, 34.97578419629878)	(75, 35.029767347676476)	(80, 34.99115656107894)	(85, 34.98618932354226)	(90, 34.91048566892102)	(95, 34.90906696375028)	(100, 34.85028558132102)	(105, 34.81905973951129)	(110, 34.78330102763783)	(115, 34.72352947016131)	(120, 34.755406446437405)	(125, 34.65837385047924)	(130, 34.72911489790337)	(135, 34.68128300328051)	(140, 34.772199482226135)	(145, 34.94542740358983)	(150, 34.839419978001814)
19R_S19_R1	(1, 19.540939415407205)	(2, 35.80366062557043)	(3, 35.602481651591226)	(4, 35.86042813274954)	(5, 35.96131724458186)	(6, 35.97590091377548)	(7, 36.00001605706553)	(8, 35.91259496951405)	(9, 35.97325085568102)	(10, 36.0272708062638)	(15, 36.025024743937976)	(20, 36.00238376771977)	(25, 35.80652036040122)	(30, 35.716546929258215)	(35, 35.64264840839577)	(40, 35.606937052170345)	(45, 35.561717618305025)	(50, 35.51369507917492)	(55, 35.45132389647349)	(60, 35.434771765307026)	(65, 35.43490653965616)	(70, 35.42854852299893)	(75, 35.375550682466)	(80, 35.32148433587694)	(85, 35.34639681061996)	(90, 35.31007615016918)	(95, 35.27743601078133)	(100, 35.21490858213346)	(105, 35.193597885577994)	(110, 35.17071077531851)	(115, 35.144243492942486)	(120, 35.09851128499925)	(125, 35.085298605348875)	(130, 35.09051779003906)	(135, 35.11367198340828)	(140, 35.07044994914537)	(145, 35.06987244231436)	(150, 34.9502170157507)
19R_S19_R2	(1, 18.86015965861394)	(2, 35.85354350533448)	(3, 35.63401130545869)	(4, 35.572857007977795)	(5, 35.55870623727076)	(6, 35.62619472596049)	(7, 35.56126509123303)	(8, 35.52445458965527)	(9, 35.630984227465675)	(10, 35.665683032241944)	(15, 35.644784568774654)	(20, 35.59541294597697)	(25, 35.46654245021232)	(30, 35.44120991901252)	(35, 35.403210503602416)	(40, 35.345918232970725)	(45, 35.308862849556576)	(50, 35.282327182193015)	(55, 35.23902752941562)	(60, 35.22197578211477)	(65, 35.18356982843646)	(70, 35.05782727542088)	(75, 35.068199538697556)	(80, 35.03316526878202)	(85, 35.027855468020526)	(90, 34.9820859631056)	(95, 34.96992008635063)	(100, 34.89594496801729)	(105, 34.874578412174564)	(110, 34.842934154108036)	(115, 34.78415430793213)	(120, 34.79310152908765)	(125, 34.67096807065759)	(130, 34.720803789247704)	(135, 34.66963837636467)	(140, 34.67546596165702)	(145, 34.743050503626066)	(150, 34.57196926816867)
1R_S1_R1	(1, 19.986364756817206)	(2, 35.88203951275761)	(3, 35.774342681024315)	(4, 35.963656998029656)	(5, 36.02225694542098)	(6, 36.01326549350415)	(7, 36.05049275141737)	(8, 35.99196394154812)	(9, 36.03257354048139)	(10, 36.08821209900358)	(15, 36.06747178900942)	(20, 36.038719822387804)	(25, 35.85079011385081)	(30, 35.752230188761246)	(35, 35.67262257648058)	(40, 35.635151006952356)	(45, 35.59080367759754)	(50, 35.559547886258734)	(55, 35.512178788784254)	(60, 35.48055425287091)	(65, 35.49649186900315)	(70, 35.478844405717055)	(75, 35.44382084958786)	(80, 35.37525690724685)	(85, 35.38933116020187)	(90, 35.35099291452842)	(95, 35.31841733100217)	(100, 35.270497651366796)	(105, 35.2464392063979)	(110, 35.21668814106436)	(115, 35.217595898539926)	(120, 35.2091359771192)	(125, 35.208398815784086)	(130, 35.26677091485131)	(135, 35.291030896128476)	(140, 35.267003556851414)	(145, 35.282893577685144)	(150, 35.18524645140215)
1R_S1_R2	(1, 19.17688262143423)	(2, 35.69717170447157)	(3, 35.57791295745149)	(4, 35.50700042847949)	(5, 35.47289494973224)	(6, 35.53355623090247)	(7, 35.470868357533874)	(8, 35.400189093459815)	(9, 35.451359305697785)	(10, 35.48805923604918)	(15, 35.41591395999424)	(20, 35.34704092723624)	(25, 35.19548878490161)	(30, 35.19408546240142)	(35, 35.11380247464326)	(40, 35.012687279262025)	(45, 34.91878417356857)	(50, 34.88158502011598)	(55, 34.84408952178315)	(60, 34.82166227444818)	(65, 34.76919673925547)	(70, 34.64032952026632)	(75, 34.64846606786456)	(80, 34.58965440073924)	(85, 34.56069589544681)	(90, 34.503314235907474)	(95, 34.48869669166224)	(100, 34.39523958961982)	(105, 34.38457090280302)	(110, 34.37547530192458)	(115, 34.3312423905399)	(120, 34.35106707902935)	(125, 34.28330248256034)	(130, 34.39456795362741)	(135, 34.410718678941286)	(140, 34.484168255234266)	(145, 34.610858551580456)	(150, 34.497278005933836)
