Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
16R_S16_R1	(25, 1535.0)	(30, 4187.0)	(35, 6132.0)	(40, 3918.0)	(45, 4109.0)	(50, 3849.0)	(55, 2774.0)	(60, 2362.0)	(65, 1773.0)	(70, 1192.0)	(75, 927.0)	(80, 487.0)	(85, 561.0)	(90, 506.0)	(95, 682.0)	(100, 796.0)	(105, 883.0)	(110, 883.0)	(115, 920.0)	(120, 898.0)	(125, 685.0)	(130, 484.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 522205.0)
16R_S16_R2	(25, 353.0)	(30, 539.0)	(35, 596.0)	(40, 760.0)	(45, 1151.0)	(50, 1616.0)	(55, 1072.0)	(60, 960.0)	(65, 693.0)	(70, 589.0)	(75, 422.0)	(80, 293.0)	(85, 384.0)	(90, 267.0)	(95, 427.0)	(100, 431.0)	(105, 556.0)	(110, 536.0)	(115, 620.0)	(120, 510.0)	(125, 420.0)	(130, 274.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 549279.0)
17R_S17_R1	(25, 3015.0)	(30, 6897.0)	(35, 9085.0)	(40, 7298.0)	(45, 8043.0)	(50, 6818.0)	(55, 4602.0)	(60, 3567.0)	(65, 2381.0)	(70, 1270.0)	(75, 749.0)	(80, 540.0)	(85, 336.0)	(90, 328.0)	(95, 362.0)	(100, 388.0)	(105, 429.0)	(110, 435.0)	(115, 412.0)	(120, 383.0)	(125, 312.0)	(130, 207.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 440280.0)
17R_S17_R2	(25, 982.0)	(30, 1233.0)	(35, 1263.0)	(40, 1336.0)	(45, 1484.0)	(50, 1892.0)	(55, 1391.0)	(60, 967.0)	(65, 794.0)	(70, 659.0)	(75, 463.0)	(80, 394.0)	(85, 374.0)	(90, 369.0)	(95, 466.0)	(100, 497.0)	(105, 590.0)	(110, 615.0)	(115, 649.0)	(120, 535.0)	(125, 469.0)	(130, 315.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 480400.0)
18R_S18_R1	(25, 566.0)	(30, 1570.0)	(35, 2407.0)	(40, 1785.0)	(45, 2150.0)	(50, 1978.0)	(55, 1425.0)	(60, 992.0)	(65, 782.0)	(70, 581.0)	(75, 466.0)	(80, 368.0)	(85, 331.0)	(90, 264.0)	(95, 396.0)	(100, 509.0)	(105, 488.0)	(110, 504.0)	(115, 561.0)	(120, 439.0)	(125, 391.0)	(130, 279.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1029043.0)
18R_S18_R2	(25, 145.0)	(30, 226.0)	(35, 265.0)	(40, 303.0)	(45, 523.0)	(50, 790.0)	(55, 648.0)	(60, 572.0)	(65, 437.0)	(70, 386.0)	(75, 337.0)	(80, 228.0)	(85, 193.0)	(90, 156.0)	(95, 191.0)	(100, 245.0)	(105, 318.0)	(110, 325.0)	(115, 321.0)	(120, 265.0)	(125, 265.0)	(130, 141.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1040995.0)
19R_S19_R1	(25, 604.0)	(30, 1356.0)	(35, 2656.0)	(40, 1363.0)	(45, 1587.0)	(50, 1442.0)	(55, 1058.0)	(60, 749.0)	(65, 765.0)	(70, 536.0)	(75, 462.0)	(80, 329.0)	(85, 381.0)	(90, 341.0)	(95, 465.0)	(100, 595.0)	(105, 655.0)	(110, 695.0)	(115, 661.0)	(120, 681.0)	(125, 566.0)	(130, 401.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 1538598.0)
19R_S19_R2	(25, 95.0)	(30, 162.0)	(35, 221.0)	(40, 276.0)	(45, 425.0)	(50, 612.0)	(55, 517.0)	(60, 416.0)	(65, 445.0)	(70, 382.0)	(75, 335.0)	(80, 332.0)	(85, 376.0)	(90, 392.0)	(95, 557.0)	(100, 609.0)	(105, 705.0)	(110, 839.0)	(115, 875.0)	(120, 917.0)	(125, 964.0)	(130, 606.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1545889.0)
1R_S1_R1	(25, 4430.0)	(30, 8076.0)	(35, 11830.0)	(40, 11303.0)	(45, 13544.0)	(50, 12047.0)	(55, 9583.0)	(60, 8755.0)	(65, 7078.0)	(70, 5224.0)	(75, 4176.0)	(80, 3160.0)	(85, 2353.0)	(90, 1330.0)	(95, 1442.0)	(100, 1883.0)	(105, 1906.0)	(110, 1925.0)	(115, 1941.0)	(120, 1597.0)	(125, 1345.0)	(130, 888.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2302036.0)
1R_S1_R2	(25, 1567.0)	(30, 1481.0)	(35, 1712.0)	(40, 2800.0)	(45, 3644.0)	(50, 3986.0)	(55, 3981.0)	(60, 4681.0)	(65, 4004.0)	(70, 3521.0)	(75, 2886.0)	(80, 2099.0)	(85, 1574.0)	(90, 988.0)	(95, 954.0)	(100, 1183.0)	(105, 913.0)	(110, 945.0)	(115, 934.0)	(120, 780.0)	(125, 653.0)	(130, 408.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2372158.0)
