Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16R_S16_R1	(1.0, 35.138939336783345)	(2.0, 9.590727540497717)	(3.0, 4.737095482216595)	(4.0, 2.7729469824236177)	(5.0, 1.9638668367665604)	(6.0, 1.5224364387982336)	(7.0, 1.2756469754640305)	(8.0, 1.035228455873047)	(9.0, 1.0127596349020527)	('>10', 13.996669741760511)	('>50', 5.791939963850242)	('>100', 11.573190348813247)	('>500', 3.7268582662787626)	('>1k', 5.861693995572036)	('>5k', 0.0)	('>10k+', 0.0)
16R_S16_R2	(1.0, 41.62456251823238)	(2.0, 8.778251389585598)	(3.0, 4.277948772724626)	(4.0, 2.5610838292079317)	(5.0, 1.7065191153120916)	(6.0, 1.360261964531888)	(7.0, 1.183740422624672)	(8.0, 0.9921000254494534)	(9.0, 0.8968324078483768)	('>10', 14.396787451356538)	('>50', 6.322161816724292)	('>100', 11.43387044923789)	('>500', 1.98117000650238)	('>1k', 2.4847098306619055)	('>5k', 0.0)	('>10k+', 0.0)
17R_S17_R1	(1.0, 29.856743085116694)	(2.0, 8.871747071736438)	(3.0, 5.008331153384151)	(4.0, 3.051135729764288)	(5.0, 1.994408364128626)	(6.0, 1.5045308469253398)	(7.0, 1.2297325653983167)	(8.0, 1.0567548213758067)	(9.0, 0.9097423066454091)	('>10', 13.604448701915691)	('>50', 5.823717821653321)	('>100', 14.073764148003015)	('>500', 4.501617202234594)	('>1k', 8.513326181718309)	('>5k', 0.0)	('>10k+', 0.0)
17R_S17_R2	(1.0, 36.494061360368256)	(2.0, 8.5249459081416)	(3.0, 4.4172611150693)	(4.0, 2.5660032320198978)	(5.0, 1.7636456103579254)	(6.0, 1.3747865237950518)	(7.0, 1.092180610780255)	(8.0, 1.0315314031971814)	(9.0, 0.8681956362674772)	('>10', 15.20609112414332)	('>50', 7.194702145354198)	('>100', 14.486522915584263)	('>500', 2.9267652538427953)	('>1k', 2.053307161078465)	('>5k', 0.0)	('>10k+', 0.0)
18R_S18_R1	(1.0, 32.73009316363164)	(2.0, 6.673257497296657)	(3.0, 2.5687069996873864)	(4.0, 1.6812667738228253)	(5.0, 1.2389646058608776)	(6.0, 1.0282808279418993)	(7.0, 0.9648216668046639)	(8.0, 0.8306484361972457)	(9.0, 0.7069715891171647)	('>10', 13.22661245952129)	('>50', 6.712002970557293)	('>100', 16.54079260696805)	('>500', 4.8990373343984865)	('>1k', 7.582390810772091)	('>5k', 1.5237167214009788)	('>10k+', 1.0924355360214502)
18R_S18_R2	(1.0, 33.82656382470331)	(2.0, 6.681527130331387)	(3.0, 2.680990664534887)	(4.0, 1.757093256774759)	(5.0, 1.3261734893313102)	(6.0, 1.1567279975293572)	(7.0, 1.012108613213144)	(8.0, 0.9734445133303198)	(9.0, 0.8397378458781196)	('>10', 15.48440670426807)	('>50', 7.475731722694726)	('>100', 13.542811547599392)	('>500', 3.9992636643767767)	('>1k', 4.39639196982428)	('>5k', 2.508535310874948)	('>10k+', 2.3384917447352507)
19R_S19_R1	(1.0, 51.10331468987768)	(2.0, 11.180491691422532)	(3.0, 3.696924967288924)	(4.0, 1.928121986083188)	(5.0, 1.3350196742134988)	(6.0, 1.0854421454537282)	(7.0, 0.9717244167548369)	(8.0, 0.8046982075678052)	(9.0, 0.7349104227903307)	('>10', 10.905074966756882)	('>50', 4.199007276098509)	('>100', 7.634930770459788)	('>500', 2.2468767514096006)	('>1k', 2.1734620338227004)	('>5k', 0.0)	('>10k+', 0.0)
19R_S19_R2	(1.0, 52.95561714720917)	(2.0, 10.859247978425495)	(3.0, 3.511545962520674)	(4.0, 1.9150868527194314)	(5.0, 1.339720299583537)	(6.0, 1.038141075194852)	(7.0, 0.8568619622032336)	(8.0, 0.7739251975521537)	(9.0, 0.7217275169654688)	('>10', 11.250040384707805)	('>50', 4.622977179038563)	('>100', 7.251868606641988)	('>500', 1.8391739476204119)	('>1k', 1.0640658896171866)	('>5k', 0.0)	('>10k+', 0.0)
1R_S1_R1	(1.0, 50.82793546048383)	(2.0, 14.70415057121048)	(3.0, 5.099588719813946)	(4.0, 2.3387870474840518)	(5.0, 1.3450286387425365)	(6.0, 0.9005787161074611)	(7.0, 0.7633919667109826)	(8.0, 0.6369622461876573)	(9.0, 0.5295471561077529)	('>10', 7.44899306069495)	('>50', 2.8895302101277607)	('>100', 6.656015232346428)	('>500', 1.8368449691969948)	('>1k', 2.9097520878153396)	('>5k', 1.1128939169698133)	('>10k+', 0.0)
1R_S1_R2	(1.0, 54.88880028435518)	(2.0, 14.046620701891896)	(3.0, 4.761061525236097)	(4.0, 1.9835281344989824)	(5.0, 1.1216657046299943)	(6.0, 0.8138124657931342)	(7.0, 0.5868376855719958)	(8.0, 0.5186309224999485)	(9.0, 0.4536941170805931)	('>10', 6.865631416261149)	('>50', 3.1580122939245134)	('>100', 6.297951528694592)	('>500', 1.6859725393774587)	('>1k', 1.7971426914315085)	('>5k', 1.020637988752931)	('>10k+', 0.0)
