Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
11R_S11_R2 - polyg	(1, 0.1642974264075341)	(2, 0.3802655194977568)	(3, 0.43499491486356434)	(4, 0.4463559071151491)	(5, 0.5358237210963794)	(6, 0.549915721100749)	(7, 0.5890237521206275)	(8, 0.6366525273291945)	(9, 0.6987010234724654)	(10, 0.8021297490859316)	(15, 0.9269040312951642)	(20, 0.9848450917782465)	(25, 1.0120240809339607)	(30, 1.0475490297821857)	(35, 1.0920972282456114)	(40, 1.1063421646841372)	(45, 1.1175720685635882)	(50, 1.1282557708924823)	(55, 1.1400974205085572)	(60, 1.1505189460931842)	(65, 1.1608312313676996)	(70, 1.1762559631554281)	(75, 1.1980384809916398)	(80, 1.2218091724718787)	(85, 1.2431765771296672)	(90, 1.2790292469082263)	(95, 1.3370140035153533)	(100, 1.3940155973314776)	(105, 1.472013178751012)	(110, 1.646360713688794)	(115, 2.0634839138181347)	(120, 2.258587107677081)	(125, 2.4345513992045125)	(130, 2.6382627295002363)	(135, 2.8991285900462413)	(140, 3.170809241293274)
12R_S12_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0006651541464500119)	(3, 0.0006651541464500119)	(4, 0.0006651541464500119)	(5, 0.0006651541464500119)	(6, 0.0006651541464500119)	(7, 0.0006651541464500119)	(8, 0.0006651541464500119)	(9, 0.0006651541464500119)	(10, 0.0006893415699572849)	(15, 0.0007256227052181947)	(20, 0.0007860912639863776)	(25, 0.0011368089048418384)	(30, 0.0022373366744227667)	(35, 0.005103546360034636)	(40, 0.008610722768589246)	(45, 0.012299304853448403)	(50, 0.01636279200267029)	(55, 0.019253189111789432)	(60, 0.022324991897213126)	(65, 0.024489766301114074)	(70, 0.02650941616397138)	(75, 0.02850487860332142)	(80, 0.03152830654173056)	(85, 0.03519270120308245)	(90, 0.03959481228140616)	(95, 0.04494023287651353)	(100, 0.05271648953410184)	(105, 0.060081559992066526)	(110, 0.06841412739032213)	(115, 0.07706113129417227)	(120, 0.08534532384541334)	(125, 0.09499610582481532)	(130, 0.10254258195908457)	(135, 0.11778065876866664)	(140, 0.13551004019949786)
12R_S12_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.025578200358941365)	(4, 0.03386239291018242)	(5, 0.24526047436374981)	(6, 0.25390747826759996)	(7, 0.2704758633700821)	(8, 0.284988317474446)	(9, 0.2995007715788099)	(10, 0.3357093445691978)	(15, 0.40992845360126556)	(20, 0.4386873001514132)	(25, 0.45431237573711175)	(30, 0.46620049439093647)	(35, 0.4708444797043329)	(40, 0.4728520358554366)	(45, 0.474037219607293)	(50, 0.47514984108862757)	(55, 0.47597221348787483)	(60, 0.4767220236166003)	(65, 0.4774234588983113)	(70, 0.4784514243973703)	(75, 0.47973335784325577)	(80, 0.48074922963056127)	(85, 0.48176510141786677)	(90, 0.48353078333389765)	(95, 0.4865542112723068)	(100, 0.49331459614258966)	(105, 0.5075005200296053)	(110, 0.5322321605657921)	(115, 0.5695654487492682)	(120, 0.6218828457955002)	(125, 0.6802954735655649)	(130, 0.7450573000062888)	(135, 0.793867520643966)	(140, 0.8150557036363373)
12R_S12_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0002418742350727316)	(3, 0.0002418742350727316)	(4, 0.0002418742350727316)	(5, 0.0002418742350727316)	(6, 0.0002418742350727316)	(7, 0.0002418742350727316)	(8, 0.0002418742350727316)	(9, 0.0002418742350727316)	(10, 0.0002418742350727316)	(15, 0.0002418742350727316)	(20, 0.00027815537033364134)	(25, 0.0004474673348845534)	(30, 0.001402870563421843)	(35, 0.002672710297553684)	(40, 0.003882081472917342)	(45, 0.005103546360034636)	(50, 0.006663635176253754)	(55, 0.008090693163182871)	(60, 0.009433095167836532)	(65, 0.01053362293741746)	(70, 0.011948587212592938)	(75, 0.013931955940189339)	(80, 0.016556291390728478)	(85, 0.020523028845921276)	(90, 0.024743734247940442)	(95, 0.030246373095845085)	(100, 0.03791378634765068)	(105, 0.046040760646094456)	(110, 0.05312767573372549)	(115, 0.06166583623179291)	(120, 0.06926068721307668)	(125, 0.07784722255815865)	(130, 0.08572022890977608)	(135, 0.09754787900483265)	(140, 0.10811778307751102)
12R_S12_R2 - polya	(1, 0.00018140567630454867)	(2, 0.00042327991137728027)	(3, 0.000604685587681829)	(4, 0.0008465598227545605)	(5, 0.0008465598227545605)	(6, 0.0008465598227545605)	(7, 0.0009674969402909264)	(8, 0.0012698397341318409)	(9, 0.0014512454104363894)	(10, 0.002019649862857309)	(15, 0.0034708952732936975)	(20, 0.005103546360034636)	(25, 0.0068692282760655764)	(30, 0.008417223380531061)	(35, 0.011791368959795667)	(40, 0.01845500413604942)	(45, 0.02821462952123414)	(50, 0.04004227961629071)	(55, 0.05784422331764376)	(60, 0.07752069234081047)	(65, 0.0976325349871081)	(70, 0.11566425921178025)	(75, 0.12529085376767496)	(80, 0.13228101916127688)	(85, 0.13820693792055883)	(90, 0.14399982585055074)	(95, 0.14904290365181722)	(100, 0.1539045757767791)	(105, 0.15875415418998737)	(110, 0.16448657356121113)	(115, 0.16986827529157938)	(120, 0.17540719527474496)	(125, 0.18020839884093867)	(130, 0.18465888476627693)	(135, 0.18902471470933974)	(140, 0.19083877147238523)
12R_S12_R2 - polyg	(1, 0.10291748702344729)	(2, 0.22887349493757225)	(3, 0.24828390230215897)	(4, 0.25269810709223633)	(5, 0.2828114493587914)	(6, 0.2894629908232915)	(7, 0.30379403925135084)	(8, 0.32048336147136935)	(9, 0.3415868884814652)	(10, 0.3818347611975677)	(15, 0.4311287303053904)	(20, 0.45445750027815535)	(25, 0.4672163661782419)	(30, 0.48149903975928676)	(35, 0.4988535161257552)	(40, 0.50475524746153)	(45, 0.5103667297152172)	(50, 0.5160023993924119)	(55, 0.5217710998988966)	(60, 0.5260038990126694)	(65, 0.5312283824902403)	(70, 0.5363682099855358)	(75, 0.5435881559024569)	(80, 0.5517755987596689)	(85, 0.5602532906989681)	(90, 0.5725767829759238)	(95, 0.5862063961222723)	(100, 0.6066205815624108)	(105, 0.6389470730798814)	(110, 0.7004677847706307)	(115, 0.8452778893086752)	(120, 0.9437327966950304)	(125, 1.0434938249507788)	(130, 1.1566063109825415)	(135, 1.2773257417073418)	(140, 1.3732409696254335)
13R_S13_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0009747538746466517)	(3, 0.0009747538746466517)	(4, 0.0009747538746466517)	(5, 0.0009747538746466517)	(6, 0.0009747538746466517)	(7, 0.0009747538746466517)	(8, 0.0009747538746466517)	(9, 0.0009747538746466517)	(10, 0.0009747538746466517)	(15, 0.0009747538746466517)	(20, 0.0010091569525753571)	(25, 0.0017201538964352677)	(30, 0.004300384741088169)	(35, 0.008463157170461517)	(40, 0.014139665028697901)	(45, 0.020607443679294506)	(50, 0.026891739247604685)	(55, 0.03135267168569348)	(60, 0.035412234881280716)	(65, 0.03686863184692924)	(70, 0.037946594955362005)	(75, 0.03901309037115187)	(80, 0.04143277351880415)	(85, 0.04463225976617374)	(90, 0.04931107836447767)	(95, 0.05329036771156459)	(100, 0.0590586171109442)	(105, 0.06622592501275781)	(110, 0.07398955293200231)	(115, 0.08255591933624995)	(120, 0.09097320573613986)	(125, 0.09943636290660138)	(130, 0.10625964002912794)	(135, 0.12281898820547812)	(140, 0.14162600413983703)
13R_S13_R1 - polya	(1, 0.00017201538964352678)	(2, 0.0006307230953595982)	(3, 0.0007454000217886161)	(4, 0.0009747538746466517)	(5, 0.0010320923378611606)	(6, 0.0012041077275046874)	(7, 0.0012614461907191963)	(8, 0.0013187846539337053)	(9, 0.0014908000435772321)	(10, 0.001857766208150089)	(15, 0.002293538528580357)	(20, 0.00288985854601125)	(25, 0.003302695481155714)	(30, 0.003612323182514062)	(35, 0.004357723204302678)	(40, 0.005905861711094419)	(45, 0.007820966382459018)	(50, 0.01047000338296933)	(55, 0.01432314811098433)	(60, 0.022373468346301384)	(65, 0.03235036094562593)	(70, 0.04232725354495048)	(75, 0.04857714603533196)	(80, 0.05290046616170593)	(85, 0.0571893832101512)	(90, 0.06056088484716432)	(95, 0.0647695280471093)	(100, 0.07051484206120308)	(105, 0.07803764843494664)	(110, 0.08393204245339816)	(115, 0.08867966720755951)	(120, 0.09419562736879526)	(125, 0.10069780909732058)	(130, 0.10981462474842749)	(135, 0.12169515432647375)	(140, 0.12677534216727923)
13R_S13_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.03176550862083794)	(4, 0.04134103197766093)	(5, 0.4053829349265781)	(6, 0.4189148122452022)	(7, 0.43852456666456424)	(8, 0.4654163059121689)	(9, 0.4906452297265529)	(10, 0.54864881911435)	(15, 0.6617546716512905)	(20, 0.7065933498850365)	(25, 0.7329919783489963)	(30, 0.7575099052195203)	(35, 0.7648148254330487)	(40, 0.7669248808793426)	(45, 0.7683468747670624)	(50, 0.7694248378754953)	(55, 0.7708124286852864)	(60, 0.7722917610362208)	(65, 0.7735188041490112)	(70, 0.7747687826470874)	(75, 0.7768903057860242)	(80, 0.77869073353096)	(85, 0.7811677551418266)	(90, 0.7849291583286984)	(95, 0.7917065646806535)	(100, 0.808105365160003)	(105, 0.8365911136849711)	(110, 0.8758908963721954)	(115, 0.9339059534526356)	(120, 1.0029988016261187)	(125, 1.0844308870833643)	(130, 1.1678927541384034)	(135, 1.23336181143673)	(140, 1.261732883035269)
13R_S13_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00017201538964352678)	(3, 0.00017201538964352678)	(4, 0.00017201538964352678)	(5, 0.00017201538964352678)	(6, 0.00017201538964352678)	(7, 0.00017201538964352678)	(8, 0.00017201538964352678)	(9, 0.00017201538964352678)	(10, 0.00017201538964352678)	(15, 0.00017201538964352678)	(20, 0.00017201538964352678)	(25, 0.0008142061776460266)	(30, 0.0032682924032270085)	(35, 0.005848523247879911)	(40, 0.007763627919244509)	(45, 0.00969020028325201)	(50, 0.011869061885403346)	(55, 0.013520409625981203)	(60, 0.015263498907702275)	(65, 0.016249720474991826)	(70, 0.016937782033565937)	(75, 0.01787813283028388)	(80, 0.019701495960505265)	(85, 0.021673939095084374)	(90, 0.024254169939737277)	(95, 0.027545397728250088)	(100, 0.030997173213763524)	(105, 0.03596268412814)	(110, 0.041272225821803524)	(115, 0.046960201372682815)	(120, 0.052705515386776605)	(125, 0.06036593407223499)	(130, 0.0668107773375458)	(135, 0.10208539990711167)	(140, 0.14747452738771696)
