Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
15R_S15_R1	(13.0, 4.0)	(14.0, 54.0)	(15.0, 411.0)	(16.0, 1731.0)	(17.0, 3390.0)	(18.0, 3502.0)	(19.0, 2915.0)	(20.0, 2666.0)	(21.0, 2583.0)	(22.0, 3140.0)	(23.0, 5295.0)	(24.0, 8781.0)	(25.0, 11684.0)	(26.0, 12644.0)	(27.0, 13311.0)	(28.0, 14957.0)	(29.0, 18022.0)	(30.0, 22955.0)	(31.0, 29218.0)	(32.0, 37421.0)	(33.0, 52218.0)	(34.0, 80130.0)	(35.0, 191872.0)	(36.0, 1278406.0)	(37.0, 41167.0)		
15R_S15_R2	(11.0, 23.0)	(12.0, 221.0)	(13.0, 388.0)	(14.0, 497.0)	(15.0, 862.0)	(16.0, 1646.0)	(17.0, 3249.0)	(18.0, 5069.0)	(19.0, 5929.0)	(20.0, 6048.0)	(21.0, 6464.0)	(22.0, 8234.0)	(23.0, 11941.0)	(24.0, 15597.0)	(25.0, 17262.0)	(26.0, 16193.0)	(27.0, 16226.0)	(28.0, 17362.0)	(29.0, 20311.0)	(30.0, 24764.0)	(31.0, 32650.0)	(32.0, 44661.0)	(33.0, 69603.0)	(34.0, 130726.0)	(35.0, 367212.0)	(36.0, 1000051.0)	(37.0, 15288.0)
16R_S16_R1	(13.0, 7.0)	(14.0, 116.0)	(15.0, 717.0)	(16.0, 2953.0)	(17.0, 5883.0)	(18.0, 5872.0)	(19.0, 4414.0)	(20.0, 4079.0)	(21.0, 3953.0)	(22.0, 4743.0)	(23.0, 7271.0)	(24.0, 11087.0)	(25.0, 13959.0)	(26.0, 13430.0)	(27.0, 11414.0)	(28.0, 9392.0)	(29.0, 8698.0)	(30.0, 8809.0)	(31.0, 9962.0)	(32.0, 11546.0)	(33.0, 15286.0)	(34.0, 22356.0)	(35.0, 53377.0)	(36.0, 319168.0)	(37.0, 14256.0)		
16R_S16_R2	(11.0, 7.0)	(12.0, 140.0)	(13.0, 278.0)	(14.0, 535.0)	(15.0, 1119.0)	(16.0, 2457.0)	(17.0, 4709.0)	(18.0, 7273.0)	(19.0, 8850.0)	(20.0, 10220.0)	(21.0, 11276.0)	(22.0, 12072.0)	(23.0, 14945.0)	(24.0, 16763.0)	(25.0, 15681.0)	(26.0, 12107.0)	(27.0, 9381.0)	(28.0, 7735.0)	(29.0, 7526.0)	(30.0, 8196.0)	(31.0, 9626.0)	(32.0, 12447.0)	(33.0, 18531.0)	(34.0, 33720.0)	(35.0, 91382.0)	(36.0, 240235.0)	(37.0, 5537.0)
17R_S17_R1	(13.0, 2.0)	(14.0, 42.0)	(15.0, 359.0)	(16.0, 1810.0)	(17.0, 3520.0)	(18.0, 4646.0)	(19.0, 5664.0)	(20.0, 5993.0)	(21.0, 5674.0)	(22.0, 5541.0)	(23.0, 7451.0)	(24.0, 9164.0)	(25.0, 9763.0)	(26.0, 8330.0)	(27.0, 7195.0)	(28.0, 6924.0)	(29.0, 7860.0)	(30.0, 9313.0)	(31.0, 12173.0)	(32.0, 16312.0)	(33.0, 24657.0)	(34.0, 43542.0)	(35.0, 117222.0)	(36.0, 181898.0)	(37.0, 3082.0)		
17R_S17_R2	(11.0, 16.0)	(12.0, 162.0)	(13.0, 330.0)	(14.0, 487.0)	(15.0, 1112.0)	(16.0, 2276.0)	(17.0, 4450.0)	(18.0, 7115.0)	(19.0, 9406.0)	(20.0, 11616.0)	(21.0, 14269.0)	(22.0, 13510.0)	(23.0, 12380.0)	(24.0, 11205.0)	(25.0, 9351.0)	(26.0, 7018.0)	(27.0, 5534.0)	(28.0, 4606.0)	(29.0, 4485.0)	(30.0, 4825.0)	(31.0, 5854.0)	(32.0, 7766.0)	(33.0, 12400.0)	(34.0, 24894.0)	(35.0, 76317.0)	(36.0, 241067.0)	(37.0, 5686.0)
18R_S18_R1	(13.0, 1.0)	(14.0, 40.0)	(15.0, 303.0)	(16.0, 1276.0)	(17.0, 2706.0)	(18.0, 3133.0)	(19.0, 2968.0)	(20.0, 2675.0)	(21.0, 2327.0)	(22.0, 2502.0)	(23.0, 3662.0)	(24.0, 5287.0)	(25.0, 6584.0)	(26.0, 6864.0)	(27.0, 6762.0)	(28.0, 7085.0)	(29.0, 9205.0)	(30.0, 11781.0)	(31.0, 16035.0)	(32.0, 20818.0)	(33.0, 30185.0)	(34.0, 48969.0)	(35.0, 127097.0)	(36.0, 713905.0)	(37.0, 16105.0)		
18R_S18_R2	(11.0, 8.0)	(12.0, 157.0)	(13.0, 292.0)	(14.0, 404.0)	(15.0, 689.0)	(16.0, 1368.0)	(17.0, 2686.0)	(18.0, 4058.0)	(19.0, 4877.0)	(20.0, 5119.0)	(21.0, 5265.0)	(22.0, 5435.0)	(23.0, 6511.0)	(24.0, 7374.0)	(25.0, 7803.0)	(26.0, 7051.0)	(27.0, 6527.0)	(28.0, 6931.0)	(29.0, 8276.0)	(30.0, 10664.0)	(31.0, 14327.0)	(32.0, 19755.0)	(33.0, 31146.0)	(34.0, 59214.0)	(35.0, 176011.0)	(36.0, 637713.0)	(37.0, 18614.0)
19R_S19_R1	(13.0, 2.0)	(14.0, 63.0)	(15.0, 298.0)	(16.0, 1251.0)	(17.0, 2298.0)	(18.0, 2374.0)	(19.0, 2238.0)	(20.0, 2726.0)	(21.0, 3347.0)	(22.0, 4552.0)	(23.0, 6919.0)	(24.0, 11029.0)	(25.0, 13523.0)	(26.0, 12994.0)	(27.0, 11947.0)	(28.0, 11831.0)	(29.0, 14604.0)	(30.0, 18620.0)	(31.0, 24816.0)	(32.0, 32403.0)	(33.0, 46583.0)	(34.0, 73808.0)	(35.0, 179249.0)	(36.0, 1051262.0)	(37.0, 28210.0)		
19R_S19_R2	(11.0, 14.0)	(12.0, 163.0)	(13.0, 289.0)	(14.0, 381.0)	(15.0, 574.0)	(16.0, 1079.0)	(17.0, 2048.0)	(18.0, 3293.0)	(19.0, 4165.0)	(20.0, 4853.0)	(21.0, 5863.0)	(22.0, 7285.0)	(23.0, 10780.0)	(24.0, 13704.0)	(25.0, 14047.0)	(26.0, 12164.0)	(27.0, 11921.0)	(28.0, 12373.0)	(29.0, 14524.0)	(30.0, 17858.0)	(31.0, 23747.0)	(32.0, 32603.0)	(33.0, 51899.0)	(34.0, 98370.0)	(35.0, 286688.0)	(36.0, 914457.0)	(37.0, 11805.0)
