Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
15R_S15_R1	(12.0, 1.0)	(13.0, 12.0)	(14.0, 160.0)	(15.0, 571.0)	(16.0, 1991.0)	(17.0, 3876.0)	(18.0, 4079.0)	(19.0, 3694.0)	(20.0, 4464.0)	(21.0, 6591.0)	(22.0, 10941.0)	(23.0, 16955.0)	(24.0, 22879.0)	(25.0, 28711.0)	(26.0, 32719.0)	(27.0, 38974.0)	(28.0, 48183.0)	(29.0, 59352.0)	(30.0, 71933.0)	(31.0, 86176.0)	(32.0, 101951.0)	(33.0, 131502.0)	(34.0, 189736.0)	(35.0, 428245.0)	(36.0, 2634837.0)	(37.0, 79250.0)	
15R_S15_R2	(11.0, 134.0)	(12.0, 1858.0)	(13.0, 3319.0)	(14.0, 3575.0)	(15.0, 3674.0)	(16.0, 4093.0)	(17.0, 5934.0)	(18.0, 9688.0)	(19.0, 13846.0)	(20.0, 16070.0)	(21.0, 17947.0)	(22.0, 23360.0)	(23.0, 35399.0)	(24.0, 49935.0)	(25.0, 58929.0)	(26.0, 57689.0)	(27.0, 58271.0)	(28.0, 60143.0)	(29.0, 65250.0)	(30.0, 72917.0)	(31.0, 88292.0)	(32.0, 112952.0)	(33.0, 168664.0)	(34.0, 305639.0)	(35.0, 805293.0)	(36.0, 1938473.0)	(37.0, 26439.0)
16R_S16_R1	(13.0, 17.0)	(14.0, 195.0)	(15.0, 912.0)	(16.0, 3840.0)	(17.0, 7879.0)	(18.0, 7720.0)	(19.0, 5833.0)	(20.0, 6026.0)	(21.0, 7526.0)	(22.0, 11094.0)	(23.0, 16850.0)	(24.0, 23088.0)	(25.0, 29927.0)	(26.0, 34726.0)	(27.0, 40673.0)	(28.0, 47372.0)	(29.0, 54860.0)	(30.0, 61547.0)	(31.0, 68107.0)	(32.0, 71912.0)	(33.0, 81987.0)	(34.0, 100378.0)	(35.0, 188515.0)	(36.0, 1082083.0)	(37.0, 45549.0)		
16R_S16_R2	(11.0, 159.0)	(12.0, 1991.0)	(13.0, 4078.0)	(14.0, 4389.0)	(15.0, 4516.0)	(16.0, 5633.0)	(17.0, 8571.0)	(18.0, 13885.0)	(19.0, 20586.0)	(20.0, 24807.0)	(21.0, 27419.0)	(22.0, 32356.0)	(23.0, 47649.0)	(24.0, 64238.0)	(25.0, 70454.0)	(26.0, 62558.0)	(27.0, 56080.0)	(28.0, 50166.0)	(29.0, 47972.0)	(30.0, 46557.0)	(31.0, 48287.0)	(32.0, 53588.0)	(33.0, 70370.0)	(34.0, 115052.0)	(35.0, 299553.0)	(36.0, 802889.0)	(37.0, 14813.0)
17R_S17_R1	(13.0, 3.0)	(14.0, 53.0)	(15.0, 441.0)	(16.0, 2195.0)	(17.0, 4151.0)	(18.0, 5280.0)	(19.0, 6677.0)	(20.0, 8110.0)	(21.0, 10345.0)	(22.0, 13794.0)	(23.0, 18395.0)	(24.0, 22158.0)	(25.0, 24184.0)	(26.0, 23147.0)	(27.0, 24062.0)	(28.0, 26016.0)	(29.0, 30094.0)	(30.0, 34409.0)	(31.0, 41390.0)	(32.0, 50328.0)	(33.0, 70549.0)	(34.0, 116940.0)	(35.0, 304941.0)	(36.0, 512871.0)	(37.0, 5534.0)		
17R_S17_R2	(11.0, 167.0)	(12.0, 2175.0)	(13.0, 3876.0)	(14.0, 3834.0)	(15.0, 3841.0)	(16.0, 4419.0)	(17.0, 6557.0)	(18.0, 9853.0)	(19.0, 13803.0)	(20.0, 17653.0)	(21.0, 21944.0)	(22.0, 21715.0)	(23.0, 20991.0)	(24.0, 20586.0)	(25.0, 19451.0)	(26.0, 17418.0)	(27.0, 16916.0)	(28.0, 16932.0)	(29.0, 18675.0)	(30.0, 20882.0)	(31.0, 24807.0)	(32.0, 30458.0)	(33.0, 43023.0)	(34.0, 73815.0)	(35.0, 209990.0)	(36.0, 698225.0)	(37.0, 14061.0)
18R_S18_R1	(12.0, 1.0)	(13.0, 5.0)	(14.0, 97.0)	(15.0, 393.0)	(16.0, 1467.0)	(17.0, 2996.0)	(18.0, 3446.0)	(19.0, 3252.0)	(20.0, 3133.0)	(21.0, 3138.0)	(22.0, 4098.0)	(23.0, 6915.0)	(24.0, 10899.0)	(25.0, 15103.0)	(26.0, 18574.0)	(27.0, 22816.0)	(28.0, 27574.0)	(29.0, 35044.0)	(30.0, 42719.0)	(31.0, 52847.0)	(32.0, 63625.0)	(33.0, 85014.0)	(34.0, 128805.0)	(35.0, 315925.0)	(36.0, 1759940.0)	(37.0, 36282.0)	
18R_S18_R2	(11.0, 162.0)	(12.0, 2014.0)	(13.0, 3586.0)	(14.0, 3448.0)	(15.0, 2982.0)	(16.0, 3319.0)	(17.0, 4575.0)	(18.0, 6964.0)	(19.0, 9760.0)	(20.0, 11383.0)	(21.0, 12540.0)	(22.0, 13943.0)	(23.0, 18349.0)	(24.0, 23905.0)	(25.0, 28342.0)	(26.0, 28257.0)	(27.0, 28403.0)	(28.0, 29555.0)	(29.0, 32716.0)	(30.0, 37394.0)	(31.0, 46395.0)	(32.0, 59818.0)	(33.0, 89495.0)	(34.0, 164518.0)	(35.0, 482220.0)	(36.0, 1465214.0)	(37.0, 34851.0)
19R_S19_R1	(13.0, 9.0)	(14.0, 101.0)	(15.0, 408.0)	(16.0, 1539.0)	(17.0, 2874.0)	(18.0, 3184.0)	(19.0, 3582.0)	(20.0, 5943.0)	(21.0, 11194.0)	(22.0, 18970.0)	(23.0, 25568.0)	(24.0, 31371.0)	(25.0, 35052.0)	(26.0, 35590.0)	(27.0, 37840.0)	(28.0, 42219.0)	(29.0, 49621.0)	(30.0, 58427.0)	(31.0, 69395.0)	(32.0, 81056.0)	(33.0, 104300.0)	(34.0, 153035.0)	(35.0, 347801.0)	(36.0, 1872720.0)	(37.0, 48587.0)		
19R_S19_R2	(11.0, 98.0)	(12.0, 1382.0)	(13.0, 3126.0)	(14.0, 3566.0)	(15.0, 3459.0)	(16.0, 3752.0)	(17.0, 4824.0)	(18.0, 7293.0)	(19.0, 10732.0)	(20.0, 13173.0)	(21.0, 15904.0)	(22.0, 19598.0)	(23.0, 29303.0)	(24.0, 39564.0)	(25.0, 44757.0)	(26.0, 43357.0)	(27.0, 42934.0)	(28.0, 42918.0)	(29.0, 46046.0)	(30.0, 50841.0)	(31.0, 60814.0)	(32.0, 76724.0)	(33.0, 111846.0)	(34.0, 197631.0)	(35.0, 536384.0)	(36.0, 1610972.0)	(37.0, 19388.0)
