Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16R_S16_R1	(1.0, 19.753904224915154)	(2.0, 5.421508038954976)	(3.0, 3.0334156867051356)	(4.0, 1.995029982399933)	(5.0, 1.5600499167349264)	(6.0, 1.282740301983917)	(7.0, 1.098694859902756)	(8.0, 0.951235266405052)	(9.0, 0.8796597336727311)	('>10', 14.388581587355073)	('>50', 6.805042300298108)	('>100', 16.88568228840212)	('>500', 6.378860529535653)	('>1k', 13.81171076592523)	('>5k', 5.203797914924056)	('>10k+', 0.5500866018851504)
16R_S16_R2	(1.0, 33.24935094568234)	(2.0, 4.548060369341105)	(3.0, 2.399503434860643)	(4.0, 1.5907895249125201)	(5.0, 1.2014399670861189)	(6.0, 0.9867260898587166)	(7.0, 0.8211641336182605)	(8.0, 0.7011795445147608)	(9.0, 0.640065208780857)	('>10', 11.64655012174072)	('>50', 6.243953846382545)	('>100', 14.226190900891034)	('>500', 5.706397689584907)	('>1k', 10.983479025532485)	('>5k', 2.3254296709578424)	('>10k+', 2.7297195262551766)
17R_S17_R1	(1.0, 20.514854214762764)	(2.0, 5.5759354667538155)	(3.0, 3.283289458617502)	(4.0, 2.1833077867460626)	(5.0, 1.5222546510637525)	(6.0, 1.2213566691672157)	(7.0, 1.0808601590995772)	(8.0, 0.9281754596116765)	(9.0, 0.7796527651488635)	('>10', 13.43956431313795)	('>50', 6.295171981749028)	('>100', 16.282544592843333)	('>500', 7.00299422546357)	('>1k', 13.389342799771004)	('>5k', 4.291694248237954)	('>10k+', 2.209001207825892)
17R_S17_R2	(1.0, 24.693100749538598)	(2.0, 4.903621972111996)	(3.0, 2.7428869313913116)	(4.0, 1.811143577432208)	(5.0, 1.330140974285233)	(6.0, 1.0952884680266455)	(7.0, 0.9616130407154184)	(8.0, 0.8232013320095103)	(9.0, 0.7956276717787804)	('>10', 14.55537847618264)	('>50', 7.7015398117321086)	('>100', 18.2373192037316)	('>500', 5.9028848964508995)	('>1k', 10.542205561361556)	('>5k', 3.9040473332515173)	('>10k+', 0.0)
18R_S18_R1	(1.0, 18.890415721488083)	(2.0, 4.275889083505361)	(3.0, 2.0273873690688204)	(4.0, 1.3294732219893046)	(5.0, 1.0421211170871831)	(6.0, 0.9123347802557292)	(7.0, 0.7707240707295913)	(8.0, 0.6986639641913708)	(9.0, 0.6411440352080083)	('>10', 11.83212508064984)	('>50', 6.147705381268542)	('>100', 17.329673228848986)	('>500', 6.465932104514025)	('>1k', 13.35204904682585)	('>5k', 3.4429238828029987)	('>10k+', 10.84143791156634)
18R_S18_R2	(1.0, 22.251437156701172)	(2.0, 3.929708232174796)	(3.0, 1.8332196002215977)	(4.0, 1.2932007501281335)	(5.0, 1.0345442049262574)	(6.0, 0.8721308797416432)	(7.0, 0.8033205741386514)	(8.0, 0.7345869690379948)	(9.0, 0.6850199763184045)	('>10', 12.838319324149738)	('>50', 6.619498359074254)	('>100', 14.281002578478224)	('>500', 4.817841014363845)	('>1k', 6.815796722541495)	('>5k', 3.9374758170807165)	('>10k+', 17.252897840923072)
19R_S19_R1	(1.0, 34.63819884574107)	(2.0, 7.872166616046862)	(3.0, 3.1429374088766693)	(4.0, 1.8468637504400722)	(5.0, 1.4051493635365147)	(6.0, 1.1142127220508755)	(7.0, 0.9686144217436804)	(8.0, 0.8709944993714176)	(9.0, 0.7665629002246419)	('>10', 13.231437457565242)	('>50', 5.863053456643802)	('>100', 12.677744773743083)	('>500', 5.283103509013501)	('>1k', 7.704161192690466)	('>5k', 1.984159337766671)	('>10k+', 0.6306397445454329)
19R_S19_R2	(1.0, 38.61995582827227)	(2.0, 7.432278023837069)	(3.0, 2.814412978580606)	(4.0, 1.6698277434509416)	(5.0, 1.2412033329773258)	(6.0, 1.073072424118254)	(7.0, 0.8711252835081016)	(8.0, 0.7752720037931459)	(9.0, 0.6942253169809538)	('>10', 12.129013740027851)	('>50', 5.617242905674818)	('>100', 11.869365309734981)	('>500', 4.028513440132579)	('>1k', 6.017745710284314)	('>5k', 3.0489898062898306)	('>10k+', 2.097756152336965)
1R_S1_R1	(1.0, 41.03867090715134)	(2.0, 11.585712297401095)	(3.0, 4.348127157352789)	(4.0, 2.2363951131638684)	(5.0, 1.3934846014586622)	(6.0, 0.9789261782661334)	(7.0, 0.8837382310961779)	(8.0, 0.750855821173773)	(9.0, 0.6540207390642319)	('>10', 10.261768880001824)	('>50', 4.545863268615659)	('>100', 11.479145228531126)	('>500', 3.911784771636034)	('>1k', 4.627832829777999)	('>5k', 0.9978021864901426)	('>10k+', 0.30587178881909366)
1R_S1_R2	(1.0, 49.82793798349554)	(2.0, 10.539458840576017)	(3.0, 3.8051923022783125)	(4.0, 1.6767740858281934)	(5.0, 1.0658617754023145)	(6.0, 0.805186134858112)	(7.0, 0.6457067352527948)	(8.0, 0.5547348349189006)	(9.0, 0.48878420396205785)	('>10', 8.53312126932931)	('>50', 4.1449121974287495)	('>100', 9.538337020454126)	('>500', 3.444290852325546)	('>1k', 2.8327254640510713)	('>5k', 0.5017942248923887)	('>10k+', 1.5951820749465953)
