Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
16R_S16_R1	(25, 2371.0)	(30, 5586.0)	(35, 7436.0)	(40, 5576.0)	(45, 5722.0)	(50, 6461.0)	(55, 4067.0)	(60, 3376.0)	(65, 2826.0)	(70, 2340.0)	(75, 2178.0)	(80, 1988.0)	(85, 2648.0)	(90, 2816.0)	(95, 4194.0)	(100, 4526.0)	(105, 5680.0)	(110, 6571.0)	(115, 7472.0)	(120, 6846.0)	(125, 6766.0)	(130, 4476.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1896694.0)
16R_S16_R2	(25, 515.0)	(30, 1007.0)	(35, 941.0)	(40, 1135.0)	(45, 1517.0)	(50, 2044.0)	(55, 1440.0)	(60, 1376.0)	(65, 1198.0)	(70, 1194.0)	(75, 957.0)	(80, 705.0)	(85, 869.0)	(90, 835.0)	(95, 1314.0)	(100, 1495.0)	(105, 2058.0)	(110, 2375.0)	(115, 2478.0)	(120, 2261.0)	(125, 2268.0)	(130, 1778.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1966856.0)
17R_S17_R1	(25, 4650.0)	(30, 8985.0)	(35, 11417.0)	(40, 9780.0)	(45, 10555.0)	(50, 10376.0)	(55, 5837.0)	(60, 4711.0)	(65, 3371.0)	(70, 2137.0)	(75, 1558.0)	(80, 1559.0)	(85, 1591.0)	(90, 1609.0)	(95, 2220.0)	(100, 2526.0)	(105, 3114.0)	(110, 3396.0)	(115, 3427.0)	(120, 3362.0)	(125, 2911.0)	(130, 1929.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 1255045.0)
17R_S17_R2	(25, 1543.0)	(30, 2522.0)	(35, 2066.0)	(40, 2039.0)	(45, 2152.0)	(50, 2495.0)	(55, 1701.0)	(60, 1377.0)	(65, 1283.0)	(70, 1232.0)	(75, 1047.0)	(80, 1006.0)	(85, 1117.0)	(90, 1122.0)	(95, 1610.0)	(100, 1870.0)	(105, 2571.0)	(110, 2823.0)	(115, 2800.0)	(120, 2640.0)	(125, 2589.0)	(130, 2235.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1314227.0)
18R_S18_R1	(25, 826.0)	(30, 1987.0)	(35, 2881.0)	(40, 2390.0)	(45, 2896.0)	(50, 2979.0)	(55, 2000.0)	(60, 1518.0)	(65, 1298.0)	(70, 1139.0)	(75, 1128.0)	(80, 1234.0)	(85, 1434.0)	(90, 1609.0)	(95, 2232.0)	(100, 3011.0)	(105, 3343.0)	(110, 4052.0)	(115, 4061.0)	(120, 3532.0)	(125, 3466.0)	(130, 2365.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2592727.0)
18R_S18_R2	(25, 243.0)	(30, 400.0)	(35, 425.0)	(40, 474.0)	(45, 739.0)	(50, 1014.0)	(55, 841.0)	(60, 878.0)	(65, 735.0)	(70, 676.0)	(75, 593.0)	(80, 490.0)	(85, 452.0)	(90, 437.0)	(95, 575.0)	(100, 698.0)	(105, 912.0)	(110, 1205.0)	(115, 1004.0)	(120, 907.0)	(125, 838.0)	(130, 679.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2628893.0)
19R_S19_R1	(25, 810.0)	(30, 1746.0)	(35, 3098.0)	(40, 1906.0)	(45, 2134.0)	(50, 2126.0)	(55, 1518.0)	(60, 1118.0)	(65, 1198.0)	(70, 1018.0)	(75, 1086.0)	(80, 1095.0)	(85, 1496.0)	(90, 1602.0)	(95, 2353.0)	(100, 3059.0)	(105, 3691.0)	(110, 4306.0)	(115, 4644.0)	(120, 4170.0)	(125, 4307.0)	(130, 2789.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 2989115.0)
19R_S19_R2	(25, 149.0)	(30, 307.0)	(35, 321.0)	(40, 415.0)	(45, 558.0)	(50, 783.0)	(55, 657.0)	(60, 628.0)	(65, 723.0)	(70, 726.0)	(75, 752.0)	(80, 733.0)	(85, 863.0)	(90, 1059.0)	(95, 1768.0)	(100, 2430.0)	(105, 3117.0)	(110, 3361.0)	(115, 3544.0)	(120, 3734.0)	(125, 3985.0)	(130, 3155.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3006618.0)
1R_S1_R1	(25, 7492.0)	(30, 12987.0)	(35, 19118.0)	(40, 18242.0)	(45, 18837.0)	(50, 17757.0)	(55, 13955.0)	(60, 13562.0)	(65, 12359.0)	(70, 9863.0)	(75, 8797.0)	(80, 8243.0)	(85, 7721.0)	(90, 7131.0)	(95, 8372.0)	(100, 10646.0)	(105, 12001.0)	(110, 14555.0)	(115, 14641.0)	(120, 13015.0)	(125, 12297.0)	(130, 6926.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3247074.0)
1R_S1_R2	(25, 2450.0)	(30, 2720.0)	(35, 3523.0)	(40, 4566.0)	(45, 5536.0)	(50, 6449.0)	(55, 6458.0)	(60, 7564.0)	(65, 7249.0)	(70, 6355.0)	(75, 5335.0)	(80, 4161.0)	(85, 3099.0)	(90, 2535.0)	(95, 2710.0)	(100, 3633.0)	(105, 3151.0)	(110, 3380.0)	(115, 3236.0)	(120, 2679.0)	(125, 2256.0)	(130, 1369.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3425177.0)
