Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
15R_S15_R1	(1, 0.0)	(2, 0.07974483648441046)	(3, 0.0)	(4, 0.0019961160571817385)	(5, 0.0)	(6, 0.0006237862678692934)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00011477667328794998)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0001098328837756911)	(35, 0.0)	(40, 0.0)	(45, 5.001903974747987e-06)	(50, 0.0020370690510351365)	(55, 1.0015671521229268e-05)	(60, 0.00015029307148940434)	(65, 0.0)	(70, 2.0052845263121903e-05)	(75, 0.00012035911549289615)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.00010049223104611006)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.5138423473477962e-05)	(120, 0.00011115153546499412)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.119148052712323e-05)	(145, 0.0)	(150, 0.0)
15R_S15_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00034932031000680427)	(10, 3.493203100068043e-05)	(15, 4.990290142954347e-06)	(20, 4.990290142954347e-06)	(25, 0.0)	(30, 7.486038911731566e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 7.490016930933606e-05)	(55, 4.994427218110033e-06)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.4994639416408633e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 5.003845705617052e-06)	(105, 0.000886080752694061)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.5050960293911138e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.0041654792409874e-05)	(150, 0.0)
16R_S16_R1	(1, 0.0)	(2, 0.07780384025745817)	(3, 0.0)	(4, 0.0032022159334259307)	(5, 0.0)	(6, 0.0010507271031553835)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002101454206310767)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00012033199597690026)	(35, 0.0)	(40, 0.0)	(45, 1.0124357482963236e-05)	(50, 0.002742308332960921)	(55, 3.055468050345558e-05)	(60, 0.0002652991380431005)	(65, 0.0)	(70, 1.0234058024038779e-05)	(75, 0.0001741951058962789)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.00010300186577579667)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.083942018064443e-05)	(120, 0.00013598497052264252)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00010544663503970594)	(145, 0.0)	(150, 0.0)
16R_S16_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005003462395978017)	(10, 3.0020774375868097e-05)	(15, 2.0013849583912068e-05)	(20, 0.0)	(25, 0.0)	(30, 8.009135219631511e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.022101715506079e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008588976644652615)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.0152595541507973e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
17R_S17_R1	(1, 0.0)	(2, 0.0780197438622133)	(3, 0.0)	(4, 0.0014011107120813352)	(5, 0.0)	(6, 0.00014748533811382477)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001327368043024423)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.417402769717533e-05)	(35, 0.0)	(40, 0.0)	(45, 1.5184700624516368e-05)	(50, 0.001975349173592001)	(55, 3.0823342332208126e-05)	(60, 0.00010831785161754142)	(65, 0.0)	(70, 0.0)	(75, 7.79087302341656e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 7.830286986282277e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 6.339695799206618e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 6.374269369293136e-05)	(145, 0.0)	(150, 0.0)
17R_S17_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005161986833983866)	(10, 4.4245601434147426e-05)	(15, 1.4748533811382477e-05)	(20, 0.0)	(25, 0.0)	(30, 4.4329457116348126e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 4.4618157805500525e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0010234305391672888)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.5174808482535843e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
18R_S18_R1	(1, 0.0)	(2, 0.0751860362738587)	(3, 0.0)	(4, 0.0016262573238309478)	(5, 0.0)	(6, 0.0007942186930337187)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 9.833183818512709e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 6.0545194338721606e-05)	(35, 0.0)	(40, 0.0)	(45, 7.590488874544551e-06)	(50, 0.001937795694324356)	(55, 0.0)	(60, 0.00012178673316222298)	(65, 0.0)	(70, 0.0)	(75, 8.384960551809681e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 5.347596034039435e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 8.459509480726085e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 6.942497223965345e-05)	(145, 0.0)	(150, 0.0)
18R_S18_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0003025595021080833)	(10, 2.269196265810625e-05)	(15, 7.563987552702083e-06)	(20, 0.0)	(25, 0.0)	(30, 4.5390627198608504e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 1.514317493319967e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.2749493122335326e-05)	(80, 0.0)	(85, 7.586040108304378e-06)	(90, 0.0)	(95, 0.0)	(100, 7.590537271891072e-06)	(105, 0.000736499918529442)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 3.8022267208478905e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 2.282329482409516e-05)	(150, 0.0)
19R_S19_R1	(1, 0.0)	(2, 0.07400376136451096)	(3, 0.0)	(4, 0.0023023392424514517)	(5, 0.0)	(6, 0.0007564828939483341)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00011182790606192766)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.239211041823819e-05)	(35, 0.0)	(40, 0.0)	(45, 1.9788862076446616e-05)	(50, 0.0019869234035747065)	(55, 1.3210349384017923e-05)	(60, 0.00012555418958471167)	(65, 0.0)	(70, 6.6130502595126255e-06)	(75, 0.00011907727811040765)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.00011267170256155138)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.6637612135190412e-05)	(120, 0.00010004349891332751)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00010705507675915913)	(145, 6.69094364050898e-06)	(150, 0.0)
19R_S19_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004933584090967396)	(10, 3.946867272773917e-05)	(15, 3.946867272773917e-05)	(20, 0.0)	(25, 0.0)	(30, 0.00010525900293409472)	(35, 6.579365504412977e-06)	(40, 0.0)	(45, 0.0)	(50, 7.240843147473397e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 5.2721253637601745e-05)	(80, 0.0)	(85, 6.5934394881486555e-06)	(90, 0.0)	(95, 0.0)	(100, 2.641154871379059e-05)	(105, 0.0007203506799284328)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.6559841214645286e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.3303984742990297e-05)	(150, 0.0)
