Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
12R_S12_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0004421689122092049)	(3, 0.0004421689122092049)	(4, 0.0004421689122092049)	(5, 0.0004421689122092049)	(6, 0.0004421689122092049)	(7, 0.0004421689122092049)	(8, 0.0004421689122092049)	(9, 0.0004421689122092049)	(10, 0.0004569078759495117)	(15, 0.000479016321559972)	(20, 0.000515863730910739)	(25, 0.0008769683425482562)	(30, 0.0016655029026546718)	(35, 0.003507873370193025)	(40, 0.005814521195551044)	(45, 0.008172755394000137)	(50, 0.011032114359619661)	(55, 0.013574585604822586)	(60, 0.0165150088710138)	(65, 0.01845318260286415)	(70, 0.020126054987388974)	(75, 0.021975794936797483)	(80, 0.024886740275508083)	(85, 0.02969164245484811)	(90, 0.03616941701871296)	(95, 0.04437901982206386)	(100, 0.055167941279968456)	(105, 0.06695911227221392)	(110, 0.0801578543016587)	(115, 0.09468310306773106)	(120, 0.10951050059047973)	(125, 0.1267919355759895)	(130, 0.1419435903010249)	(135, 0.19032423877858207)	(140, 0.25037814653846224)
12R_S12_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0182394676286297)	(4, 0.023729731621893995)	(5, 0.1695349304228793)	(6, 0.17509888923484512)	(7, 0.18622680685877677)	(8, 0.19621245479283464)	(9, 0.2068982035045571)	(10, 0.23375259543939614)	(15, 0.291197706617242)	(20, 0.3135124977200665)	(25, 0.3269396936874861)	(30, 0.33713168711390823)	(35, 0.3409269702770372)	(40, 0.3424229750966784)	(45, 0.34335152981231776)	(50, 0.34412532540868385)	(55, 0.3447148839582961)	(60, 0.34524548665294713)	(65, 0.34579082831133856)	(70, 0.34654988494396427)	(75, 0.3475595039601753)	(80, 0.348458580748334)	(85, 0.3494313523551943)	(90, 0.35092735717483536)	(95, 0.35344771997442787)	(100, 0.3588421807033802)	(105, 0.36987429506299985)	(110, 0.38753894310575754)	(115, 0.4139216882009068)	(120, 0.4519555841327686)	(125, 0.49605456364376666)	(130, 0.5469703138846566)	(135, 0.5871413595588628)	(140, 0.6045185978086846)
12R_S12_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00014738963740306828)	(3, 0.00014738963740306828)	(4, 0.00014738963740306828)	(5, 0.00014738963740306828)	(6, 0.00014738963740306828)	(7, 0.00014738963740306828)	(8, 0.00014738963740306828)	(9, 0.00014738963740306828)	(10, 0.00014738963740306828)	(15, 0.00014738963740306828)	(20, 0.00016949808301352853)	(25, 0.0003463656478972105)	(30, 0.0012380729541857736)	(35, 0.002284539379747559)	(40, 0.0031025518673345877)	(45, 0.004090062437935145)	(50, 0.0054976334751344474)	(55, 0.006993638294775589)	(60, 0.008349622958883817)	(65, 0.009491892648757598)	(70, 0.010759443530423986)	(75, 0.012535488661130958)	(80, 0.015358000217399716)	(85, 0.020126054987388974)	(90, 0.025328909187717286)	(95, 0.0320498766532972)	(100, 0.041983938214264)	(105, 0.052809707081519365)	(110, 0.06299433102607138)	(115, 0.0756772093246054)	(120, 0.08822743694947668)	(125, 0.10199362908292327)	(130, 0.11403536245875394)	(135, 0.13536264299097792)	(140, 0.15641725269400622)
12R_S12_R2 - polya	(1, 0.00014738963740306828)	(2, 0.0004790163215599719)	(3, 0.0007001007776645744)	(4, 0.0009580326431199438)	(5, 0.0013265067366276145)	(6, 0.0017318282394860522)	(7, 0.002100302332993723)	(8, 0.002653013473255229)	(9, 0.0034268090696213376)	(10, 0.0062935375171110156)	(15, 0.012447054878689117)	(20, 0.0187774398051509)	(25, 0.02602900996538186)	(30, 0.03347955613610697)	(35, 0.042146066815407376)	(40, 0.05279496811777905)	(45, 0.06491776579418143)	(50, 0.07750484082840345)	(55, 0.09392404643510527)	(60, 0.1129004622507503)	(65, 0.13198005081257752)	(70, 0.14950467869980233)	(75, 0.16209175373402435)	(80, 0.17197422892190006)	(85, 0.18082497664795433)	(90, 0.18953570421847568)	(95, 0.1980843031878536)	(100, 0.20567486951411165)	(105, 0.21340545599590258)	(110, 0.22199827185650145)	(115, 0.23078269424572434)	(120, 0.24022300052139084)	(125, 0.24961908990583645)	(130, 0.257666564108044)	(135, 0.26515395768811983)	(140, 0.26928086753540575)
12R_S12_R2 - polyg	(1, 0.4772476459111351)	(2, 1.020489001969494)	(3, 1.037438810270847)	(4, 1.0419341942116405)	(5, 1.0705646312771864)	(6, 1.0792606198839676)	(7, 1.095178700723499)	(8, 1.1139708794923902)	(9, 1.1407589460903977)	(10, 1.1985062060249199)	(15, 1.2625691119221636)	(20, 1.2944494904924473)	(25, 1.320574303722141)	(30, 1.3474065872113696)	(35, 1.3781889129830005)	(40, 1.3949176368282488)	(45, 1.4105261994292335)	(50, 1.4262674127038815)	(55, 1.444801659607317)	(60, 1.4603733747989511)	(65, 1.4756650496795196)	(70, 1.4899765834713576)	(75, 1.5081349867994156)	(80, 1.5302286934461358)	(85, 1.5494409326816254)	(90, 1.5719031134218533)	(95, 1.594859049447381)	(100, 1.6225240843879365)	(105, 1.656578460109916)	(110, 1.7086659579681602)	(115, 1.8144032838411213)	(120, 1.8931683060693214)	(125, 1.9787427295455422)	(130, 2.0823355361942886)	(135, 2.1941674235738673)	(140, 2.2745537318135005)
13R_S13_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0005961537861017248)	(3, 0.0005961537861017248)	(4, 0.0005961537861017248)	(5, 0.0005961537861017248)	(6, 0.0005961537861017248)	(7, 0.0005961537861017248)	(8, 0.0005961537861017248)	(9, 0.0005961537861017248)	(10, 0.0005961537861017248)	(15, 0.0005961537861017248)	(20, 0.0006131867514189169)	(25, 0.0011014650905117583)	(30, 0.0026457872792705122)	(35, 0.004882783390928413)	(40, 0.007908973562282883)	(45, 0.011309888970615582)	(50, 0.014699449068736816)	(55, 0.017748349860514205)	(60, 0.020689375205282717)	(65, 0.021785162640688745)	(70, 0.02263113325144262)	(75, 0.023675821790897073)	(80, 0.026100180521044087)	(85, 0.02883681028200629)	(90, 0.03306098568066994)	(95, 0.0374895566631399)	(100, 0.0437576878998666)	(105, 0.05185402408063859)	(110, 0.06165365679312982)	(115, 0.07261720880229583)	(120, 0.08552819651272744)	(125, 0.09998350641191786)	(130, 0.11328057466953918)	(135, 0.1606662841819677)	(140, 0.21927104018332014)
13R_S13_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.01737362462353598)	(4, 0.022341572841050355)	(5, 0.2269926511271139)	(6, 0.23406133173374863)	(7, 0.24504759436333756)	(8, 0.25997982729140934)	(9, 0.2755366022811115)	(10, 0.30926755126425765)	(15, 0.37684867998777033)	(20, 0.4037153439480881)	(25, 0.4199420822402664)	(30, 0.4358508718465239)	(35, 0.44052925965364603)	(40, 0.441857830948387)	(45, 0.4427832887306211)	(50, 0.44360654872095207)	(55, 0.44464555960530083)	(60, 0.4457697353162354)	(65, 0.4466157059269893)	(70, 0.44758658495006926)	(75, 0.44897193279586756)	(80, 0.4502210169191283)	(85, 0.4519016028304246)	(90, 0.45445654762800347)	(95, 0.4584876827530723)	(100, 0.4679125902285852)	(105, 0.48490581196003724)	(110, 0.507934381068881)	(115, 0.5409158795780709)	(120, 0.5800576338769783)	(125, 0.628493709583967)	(130, 0.6798651329806183)	(135, 0.7212609163565011)	(140, 0.7391739182150815)
13R_S13_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 8.516482658596069e-05)	(3, 8.516482658596069e-05)	(4, 8.516482658596069e-05)	(5, 8.516482658596069e-05)	(6, 8.516482658596069e-05)	(7, 8.516482658596069e-05)	(8, 8.516482658596069e-05)	(9, 8.516482658596069e-05)	(10, 8.516482658596069e-05)	(15, 8.516482658596069e-05)	(20, 8.516482658596069e-05)	(25, 0.000493955994198572)	(30, 0.002015567562534403)	(35, 0.0035769227166103494)	(40, 0.004632966566276262)	(45, 0.005830951793585443)	(50, 0.00734120805170981)	(55, 0.008471061417750225)	(60, 0.009634980714425019)	(65, 0.010378753533275744)	(70, 0.010895420147897237)	(75, 0.011661903587170884)	(80, 0.013211903431035368)	(85, 0.015335346440578653)	(90, 0.018117397442386704)	(95, 0.021796517950900207)	(100, 0.026565748239714006)	(105, 0.03283387947644072)	(110, 0.040311351250688056)	(115, 0.04819193653744229)	(120, 0.05679926167773005)	(125, 0.06792746568496225)	(130, 0.07793717163636549)	(135, 0.12796866842806454)	(140, 0.18923624467400466)
13R_S13_R2 - polya	(1, 8.516482658596069e-05)	(2, 0.00019871792870057494)	(3, 0.00034065930634384275)	(4, 0.000652930337159032)	(5, 0.0010219779190315283)	(6, 0.001618131705133253)	(7, 0.0021007323891203637)	(8, 0.0025549447975788207)	(9, 0.003434981338967081)	(10, 0.007386629292555657)	(15, 0.014568863001305008)	(20, 0.023499814482619417)	(25, 0.032300179896502024)	(30, 0.03977765167074937)	(35, 0.05009395099786208)	(40, 0.06184669706672465)	(45, 0.07591592641872535)	(50, 0.09332929462800146)	(55, 0.11643167325321972)	(60, 0.14061280634852683)	(65, 0.16556610053821333)	(70, 0.18761243531376565)	(75, 0.20197122507615867)	(80, 0.2120320299235135)	(85, 0.2209232378190878)	(90, 0.22928074613472335)	(95, 0.2371783643867948)	(100, 0.24600711807620607)	(105, 0.2551878863821726)	(110, 0.2653963102622764)	(115, 0.2747644411867321)	(120, 0.2835818395659319)	(125, 0.2918825713305102)	(130, 0.2999050979949077)	(135, 0.30789355872867086)	(140, 0.3125833018460044)
13R_S13_R2 - polyg	(1, 0.3179486859209199)	(2, 1.096809413325059)	(3, 1.1175328544609762)	(4, 1.1238918281793946)	(5, 1.1602288208560712)	(6, 1.1716692958941186)	(7, 1.1928185611629654)	(8, 1.2152452988306017)	(9, 1.246188519156834)	(10, 1.3140251423601046)	(15, 1.38601780910077)	(20, 1.424642896785056)	(25, 1.4535251283079083)	(30, 1.4840027809154708)	(35, 1.5184547920970446)	(40, 1.5355331786550828)	(45, 1.5518166934983184)	(50, 1.5691789628116428)	(55, 1.5896696200882252)	(60, 1.6065379334073508)	(65, 1.6217824373662382)	(70, 1.6384577104117692)	(75, 1.6598113712644225)	(80, 1.6846340793866772)	(85, 1.7070608170543131)	(90, 1.7314520233885324)	(95, 1.7586252807245597)	(100, 1.7907608086229956)	(105, 1.8340302181837693)	(110, 1.903172702061358)	(115, 2.025815730000247)	(120, 2.1132800069040285)	(125, 2.206018825401034)	(130, 2.3238244911898405)	(135, 2.451333269554341)	(140, 2.550203955565536)
