.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
31R_S30_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31R_S30_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
32R_S31_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
32R_S31_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
3R_S2_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
3R_S2_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.25	1
4R_S3_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
4R_S3_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
5R_S4_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
5R_S4_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
6R_S5_R1	1	0.25	1	1	0.25	1	1	0.5	0.5	0.5	1
6R_S5_R2	1	0.25	1	1	0.25	1	1	0.5	0.5	0.5	1
7R_S6_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
7R_S6_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.5	0.5	1
8R_S7_R1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
8R_S7_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
9R_S9_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
9R_S9_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
