Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16R_S16_R1	(1.0, 3.2700838526178293)	(2.0, 1.3494965397787737)	(3.0, 0.8856153430457959)	(4.0, 0.6546927599257368)	(5.0, 0.5246673736198315)	(6.0, 0.48743372548561237)	(7.0, 0.4093845148698815)	(8.0, 0.3757070498719782)	(9.0, 0.341717199853209)	('>10', 6.828585735206127)	('>50', 4.152044848090963)	('>100', 14.451960314020598)	('>500', 8.014526579814628)	('>1k', 21.043546003234017)	('>5k', 8.169586660983107)	('>10k+', 29.040951499581862)
16R_S16_R2	(1.0, 6.0851966421613435)	(2.0, 1.4870255521975757)	(3.0, 0.9487823381435447)	(4.0, 0.729591271640311)	(5.0, 0.5980299113911451)	(6.0, 0.5299254515388336)	(7.0, 0.44516723245548495)	(8.0, 0.40855284960766663)	(9.0, 0.3627030911986008)	('>10', 7.96655760796844)	('>50', 4.87586417238263)	('>100', 16.576842886147997)	('>500', 9.233157012127673)	('>1k', 23.24680592898073)	('>5k', 8.414895797814742)	('>10k+', 18.090902254243304)
17R_S17_R1	(1.0, 3.9076186692629418)	(2.0, 1.5829354805557023)	(3.0, 1.0705882691225241)	(4.0, 0.8142137716245095)	(5.0, 0.6033818947166899)	(6.0, 0.5283597523391266)	(7.0, 0.4781411570101163)	(8.0, 0.4196319233198384)	(9.0, 0.38654633319631054)	('>10', 7.351354521191468)	('>50', 4.28683820198587)	('>100', 13.945601108593017)	('>500', 7.6675517358789)	('>1k', 18.58957421808089)	('>5k', 6.966056285025404)	('>10k+', 31.401606678096684)
17R_S17_R2	(1.0, 4.279806709507875)	(2.0, 1.6081129025700456)	(3.0, 1.0677668178337447)	(4.0, 0.8239430357221985)	(5.0, 0.6635588408398275)	(6.0, 0.5838370969700253)	(7.0, 0.5289652004018697)	(8.0, 0.469901544083433)	(9.0, 0.4414201828441279)	('>10', 9.172867019498288)	('>50', 5.645013480115567)	('>100', 18.078142306892868)	('>500', 9.133443827415947)	('>1k', 20.713578101731436)	('>5k', 8.575739830868361)	('>10k+', 18.21390310270438)
18R_S18_R1	(1.0, 4.108987185308047)	(2.0, 1.334680522946013)	(3.0, 0.8317084208863953)	(4.0, 0.6090247094859219)	(5.0, 0.5204283681546287)	(6.0, 0.4226832707241037)	(7.0, 0.3963758064407714)	(8.0, 0.35924330516324365)	(9.0, 0.33933956925201825)	('>10', 6.8779148370405165)	('>50', 3.989313744219009)	('>100', 13.238833860105762)	('>500', 7.309770883053794)	('>1k', 20.736213247208443)	('>5k', 9.365310840403104)	('>10k+', 29.56017142960824)
18R_S18_R2	(1.0, 5.103929401398416)	(2.0, 1.3617645539801508)	(3.0, 0.8219391170714139)	(4.0, 0.6312378417510607)	(5.0, 0.5285140279531274)	(6.0, 0.4636604208006709)	(7.0, 0.42055919824310645)	(8.0, 0.37844523603778524)	(9.0, 0.3481243984483775)	('>10', 7.39023557006466)	('>50', 4.578692141616549)	('>100', 15.463099960121163)	('>500', 8.689553739767542)	('>1k', 24.356307209228667)	('>5k', 10.110441106905137)	('>10k+', 19.353496076612156)
19R_S19_R1	(1.0, 6.3426045026957905)	(2.0, 2.05593186496016)	(3.0, 1.2114749470226895)	(4.0, 0.8478269058276736)	(5.0, 0.6825386816837891)	(6.0, 0.5748965767013196)	(7.0, 0.5233481683668653)	(8.0, 0.4708752337442228)	(9.0, 0.4454935089968577)	('>10', 8.364631683031428)	('>50', 4.682631650918677)	('>100', 14.617713351118947)	('>500', 7.5538571202159845)	('>1k', 20.09558578849807)	('>5k', 8.446953819577857)	('>10k+', 23.083636196639652)
19R_S19_R2	(1.0, 7.556190719993252)	(2.0, 2.1160432671591756)	(3.0, 1.2330188542234968)	(4.0, 0.9040847463462396)	(5.0, 0.7270111657504926)	(6.0, 0.6696792674107309)	(7.0, 0.5742853744225938)	(8.0, 0.4956655334204263)	(9.0, 0.48174306179567145)	('>10', 9.199540145301325)	('>50', 5.088983874590418)	('>100', 15.460689248110665)	('>500', 8.071617231406426)	('>1k', 22.234328338515326)	('>5k', 9.30782332331494)	('>10k+', 15.879295848238822)
1R_S1_R1	(1.0, 5.439223675448681)	(2.0, 1.8958694713786757)	(3.0, 0.9465352143236485)	(4.0, 0.6359134860213376)	(5.0, 0.47771681239763875)	(6.0, 0.4032054173429018)	(7.0, 0.3518380332915071)	(8.0, 0.3254965467629828)	(9.0, 0.2792659243593455)	('>10', 5.636795815676968)	('>50', 3.330877586031701)	('>100', 11.529273616692615)	('>500', 6.397229456340395)	('>1k', 18.05720559901691)	('>5k', 8.31563596352555)	('>10k+', 35.97791738138912)
1R_S1_R2	(1.0, 7.174051840215956)	(2.0, 1.8164356922848106)	(3.0, 0.9192655255785042)	(4.0, 0.5873906371221338)	(5.0, 0.4518972841038028)	(6.0, 0.38241774554138336)	(7.0, 0.3411709196049657)	(8.0, 0.29777444683424814)	(9.0, 0.2956944605046166)	('>10', 5.938660565542047)	('>50', 3.7528684770026426)	('>100', 13.435733668731567)	('>500', 8.213631506242415)	('>1k', 22.550278144845475)	('>5k', 10.248715371485705)	('>10k+', 23.59401371435975)
20R_S20_R1	(1.0, 4.160943159550505)	(2.0, 1.4611283229434662)	(3.0, 0.8868229732305631)	(4.0, 0.6809433247413558)	(5.0, 0.528789300481333)	(6.0, 0.47335024579472873)	(7.0, 0.42170726296046335)	(8.0, 0.3991736619531826)	(9.0, 0.36222326038812863)	('>10', 7.191072888455236)	('>50', 4.31182975320418)	('>100', 14.191284508973245)	('>500', 7.664171727900946)	('>1k', 19.634851909479654)	('>5k', 8.915002262197072)	('>10k+', 28.716705437745926)
20R_S20_R2	(1.0, 6.164428925405105)	(2.0, 1.5473885086302759)	(3.0, 0.9534975042339364)	(4.0, 0.7280787021614287)	(5.0, 0.6158146773513294)	(6.0, 0.555402929077539)	(7.0, 0.4899172564682977)	(8.0, 0.42068033800365146)	(9.0, 0.4048777400950676)	('>10', 8.389715481843716)	('>50', 4.9299734789712355)	('>100', 16.07157083116154)	('>500', 8.874310137246441)	('>1k', 22.081857327496117)	('>5k', 9.737791221430994)	('>10k+', 18.034694940423268)
21R_S21_R1	(1.0, 5.377721629310855)	(2.0, 1.6217659351934768)	(3.0, 0.9010721768932705)	(4.0, 0.6794534541492704)	(5.0, 0.5414822138912306)	(6.0, 0.45833118931466205)	(7.0, 0.41980740534039807)	(8.0, 0.3846741206139962)	(9.0, 0.3622271499613624)	('>10', 7.066471738671902)	('>50', 4.273925861847833)	('>100', 13.608205686579058)	('>500', 7.656611534312361)	('>1k', 19.87128543922343)	('>5k', 8.62609482144949)	('>10k+', 28.150869643247372)
21R_S21_R2	(1.0, 6.873102132906108)	(2.0, 1.7031284451259028)	(3.0, 0.9347520053818311)	(4.0, 0.6999513929076766)	(5.0, 0.5704285139493391)	(6.0, 0.4864588642313841)	(7.0, 0.435223435579992)	(8.0, 0.4000423817604515)	(9.0, 0.3599556145766207)	('>10', 7.54249701472368)	('>50', 4.447579194891763)	('>100', 14.486090505438812)	('>500', 8.479078552063113)	('>1k', 22.64645853490861)	('>5k', 9.889774951110496)	('>10k+', 20.045478460444244)
22R_S22_R1	(1.0, 4.137310719062691)	(2.0, 1.4254932571219066)	(3.0, 0.8517218554950359)	(4.0, 0.632257319928658)	(5.0, 0.5268642710246904)	(6.0, 0.43409349808948294)	(7.0, 0.4028115843905171)	(8.0, 0.35837983121517775)	(9.0, 0.3214059667830555)	('>10', 6.755352456628574)	('>50', 4.0760021372411295)	('>100', 14.03895895623776)	('>500', 8.364005361587544)	('>1k', 24.808402008055932)	('>5k', 11.816529825689514)	('>10k+', 21.05041095144834)
22R_S22_R2	(1.0, 6.49515324048196)	(2.0, 1.523778653874894)	(3.0, 0.9204782918723989)	(4.0, 0.6841104807001558)	(5.0, 0.5781599938934181)	(6.0, 0.471210743937803)	(7.0, 0.4202928271804529)	(8.0, 0.38174992208591096)	(9.0, 0.33028454447665867)	('>10', 7.147288174169749)	('>50', 4.378132990280804)	('>100', 15.28741184135245)	('>500', 9.173734832367202)	('>1k', 26.635585361559205)	('>5k', 11.404531875160837)	('>10k+', 14.168096226606117)
23R_S94_R1	(1.0, 2.826391237537978)	(2.0, 1.4249455353490352)	(3.0, 1.5759571970237238)	(4.0, 1.5754442071047698)	(5.0, 1.4997852874983189)	(6.0, 1.4562179559203663)	(7.0, 1.294196247211295)	(8.0, 1.2128166029599072)	(9.0, 1.0605470334336244)	('>10', 13.250243572605505)	('>50', 5.343994731130725)	('>100', 15.92640737840369)	('>500', 8.475537073081547)	('>1k', 20.27228862956231)	('>5k', 7.168719943709603)	('>10k+', 15.636507367467638)
23R_S94_R2	(1.0, 5.8638260053121005)	(2.0, 1.8093299925214874)	(3.0, 1.7216383495585321)	(4.0, 1.5508516928080311)	(5.0, 1.3346193263542327)	(6.0, 1.2286119280367476)	(7.0, 1.1234511180924343)	(8.0, 1.0282076577307893)	(9.0, 0.9576147709266982)	('>10', 14.442176640712335)	('>50', 6.184866288777478)	('>100', 18.973414283388536)	('>500', 9.702634355878669)	('>1k', 20.015003718643392)	('>5k', 6.361242063132753)	('>10k+', 7.702511808125823)
24R_S23_R1	(1.0, 9.042725216048392)	(2.0, 3.0925669995571923)	(3.0, 1.5367183902349864)	(4.0, 1.0357925135485901)	(5.0, 0.8104100336882611)	(6.0, 0.6802365781884407)	(7.0, 0.6112028521247463)	(8.0, 0.5507702387943925)	(9.0, 0.515711293329388)	('>10', 10.072252888107311)	('>50', 5.831277517266179)	('>100', 17.932289276581912)	('>500', 9.248367087286788)	('>1k', 19.87160093653087)	('>5k', 6.913951639515304)	('>10k+', 12.254126539197209)
24R_S23_R2	(1.0, 10.743539152552472)	(2.0, 3.044970257390763)	(3.0, 1.5531391546346045)	(4.0, 1.0181041771041777)	(5.0, 0.8282333714251706)	(6.0, 0.7181942489579638)	(7.0, 0.6191353357981966)	(8.0, 0.5430062795444914)	(9.0, 0.517256326126768)	('>10', 11.085960259098394)	('>50', 6.629648489106656)	('>100', 20.117941569176477)	('>500', 9.531326407443261)	('>1k', 19.853231928683417)	('>5k', 6.320734661494365)	('>10k+', 6.875578381462799)
