Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
17R_S17_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.015366623258350288)	(4, 0.02050864612816576)	(5, 0.08870237139394593)	(6, 0.09135264329698184)	(7, 0.09565747747219344)	(8, 0.09957096308602217)	(9, 0.10113140355229566)	(10, 0.10976286853145412)	(15, 0.13077481863223378)	(20, 0.1377517213392166)	(25, 0.14207537987560862)	(30, 0.14687361046491812)	(35, 0.14796443265753217)	(40, 0.14826463168056764)	(45, 0.14846674587429448)	(50, 0.14868471216164697)	(55, 0.1489165490309219)	(60, 0.14922863712417658)	(65, 0.1494188622476842)	(70, 0.14961205963874663)	(75, 0.14992018470859492)	(80, 0.1500975300060317)	(85, 0.15037296013277715)	(90, 0.1508128557308885)	(95, 0.15158069151588022)	(100, 0.1545747556994221)	(105, 0.16109591071466786)	(110, 0.17219336700846422)	(115, 0.1843202186320753)	(120, 0.1984791105073225)	(125, 0.21567070604432406)	(130, 0.23233125644486682)	(135, 0.24438974591471735)	(140, 0.249620936811177)
17R_S17_R2 - polya	(1, 2.9722675548066323e-05)	(2, 5.944535109613265e-05)	(3, 9.412180590221003e-05)	(4, 0.00016347471551436476)	(5, 0.0002229200666104974)	(6, 0.00037153344435082904)	(7, 0.0005399619391232048)	(8, 0.0007083904338955806)	(9, 0.0008768189286679565)	(10, 0.001616913549814808)	(15, 0.0030584633138960246)	(20, 0.004594134883879451)	(25, 0.006323994600776911)	(30, 0.008207421474672714)	(35, 0.011448183865263546)	(40, 0.01654562272175692)	(45, 0.0228547559847598)	(50, 0.03065893982783041)	(55, 0.04229338579319517)	(60, 0.05407347286874546)	(65, 0.0633657720009226)	(70, 0.06983144468847863)	(75, 0.07419968723819277)	(80, 0.0773968563713131)	(85, 0.08014224083610283)	(90, 0.08194541648601886)	(95, 0.08366140562099388)	(100, 0.08556266610021851)	(105, 0.08759470635185465)	(110, 0.08981697172699842)	(115, 0.09198375477445245)	(120, 0.09411784287880362)	(125, 0.09602306638143465)	(130, 0.09772221266693246)	(135, 0.0993044497619412)	(140, 0.10028926107843378)
17R_S17_R2 - polyg	(1, 0.07543615054099233)	(2, 0.12541978325432385)	(3, 0.13519854350963767)	(4, 0.13700667293881172)	(5, 0.1454776354700106)	(6, 0.1475334538620852)	(7, 0.15104568335601504)	(8, 0.1540328122485957)	(9, 0.15675243706124378)	(10, 0.16672736697517482)	(15, 0.17798334420522754)	(20, 0.18462438067851714)	(25, 0.18897776189045729)	(30, 0.19528887666516334)	(35, 0.2053400947796678)	(40, 0.20738897788078114)	(45, 0.2094229996441205)	(50, 0.21200391863754428)	(55, 0.21452142925646545)	(60, 0.21664858206985543)	(65, 0.2191383515249318)	(70, 0.22181141081255454)	(75, 0.224873837149857)	(80, 0.22839300193474804)	(85, 0.232241097662371)	(90, 0.23718100633845962)	(95, 0.24248452241208626)	(100, 0.251060505063555)	(105, 0.2685334752624116)	(110, 0.2963301214349632)	(115, 0.3486925589479916)	(120, 0.3884159240621307)	(125, 0.43008117064541007)	(130, 0.4843884618951336)	(135, 0.5390672865892081)	(140, 0.577655245497411)
18R_S18_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0030113061193150145)	(4, 0.0038863514172878632)	(5, 0.03434450089696251)	(6, 0.03521543800104816)	(7, 0.03663276489213095)	(8, 0.0391305467755464)	(9, 0.04081079807540976)	(10, 0.04582772445045409)	(15, 0.05664624223299728)	(20, 0.059881034099775785)	(25, 0.0617527272347825)	(30, 0.0635989495676886)	(35, 0.06416259376901194)	(40, 0.06429487761217968)	(45, 0.0644041555695791)	(50, 0.06449782239020718)	(55, 0.06457998626795111)	(60, 0.06464489573136882)	(65, 0.06471884322133835)	(70, 0.06480675857052436)	(75, 0.0648889224482683)	(80, 0.06497683779745429)	(85, 0.06510090525284762)	(90, 0.06527509267366476)	(95, 0.0655330872497807)	(100, 0.06620683104728091)	(105, 0.067822994522504)	(110, 0.0703569285121268)	(115, 0.07405019481671642)	(120, 0.07898002748135219)	(125, 0.08537155553105247)	(130, 0.09232426286574377)	(135, 0.09791469310744072)	(140, 0.1002892291742403)
18R_S18_R2 - polyg	(1, 0.024439645434931816)	(2, 0.08730322829681224)	(3, 0.08981333476188928)	(4, 0.09039259009998399)	(5, 0.09444737746664691)	(6, 0.095285449019635)	(7, 0.09683423811510807)	(8, 0.09927861347798995)	(9, 0.10226937862786899)	(10, 0.10901174643553584)	(15, 0.11692823605616345)	(20, 0.12028709537833529)	(25, 0.12280706150874159)	(30, 0.12614455822270002)	(35, 0.13061755972707953)	(40, 0.1321244452449032)	(45, 0.13354259377476344)	(50, 0.13505933895791636)	(55, 0.13683490035596269)	(60, 0.13824811905315829)	(65, 0.13957506567872274)	(70, 0.14099403584736037)	(75, 0.14266607075944934)	(80, 0.14449586031680667)	(85, 0.14634372592726763)	(90, 0.14828279344202439)	(95, 0.15055544630042145)	(100, 0.15359550977694686)	(105, 0.15822051445515264)	(110, 0.16600718514894483)	(115, 0.18110397604561443)	(120, 0.19185429780963018)	(125, 0.2035371795860395)	(130, 0.21842280931690716)	(135, 0.2360149171806599)	(140, 0.25070664016005195)
19R_S19_R2 - polyg	(1, 0.053825325477634335)	(2, 0.10020275585803293)	(3, 0.10240257053305478)	(4, 0.10289521954270198)	(5, 0.10608033223701822)	(6, 0.10688088687769493)	(7, 0.10833146451721166)	(8, 0.11015837126132003)	(9, 0.11208791321577154)	(10, 0.11718409352667754)	(15, 0.12307877577405338)	(20, 0.1262440456610366)	(25, 0.12864981499148043)	(30, 0.13150444230849168)	(35, 0.13520957340187997)	(40, 0.1367436276791425)	(45, 0.1381894156755099)	(50, 0.1398363686841499)	(55, 0.14149153250961735)	(60, 0.1429366362712491)	(65, 0.14435368640872043)	(70, 0.14591989971855715)	(75, 0.14778786054680276)	(80, 0.15005336175644426)	(85, 0.1520444848371017)	(90, 0.1545227830495213)	(95, 0.15710508494175537)	(100, 0.15993713251249114)	(105, 0.16402132964941352)	(110, 0.169885905568422)	(115, 0.18133452116483434)	(120, 0.188733835595841)	(125, 0.19684612262136486)	(130, 0.20690026782658139)	(135, 0.21821614188428323)	(140, 0.22745673198884628)
1R_S1_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.010935153185354011)	(4, 0.012791363526642216)	(5, 0.028500008922042543)	(6, 0.029343015624318132)	(7, 0.030531734854340808)	(8, 0.032946403894297385)	(9, 0.034190968994186895)	(10, 0.0385990696556759)	(15, 0.04665789461017415)	(20, 0.04927307691622405)	(25, 0.05151329409602516)	(30, 0.054449723120166195)	(35, 0.05514008444480576)	(40, 0.05573736931966726)	(45, 0.05602829970840212)	(50, 0.05619264612543882)	(55, 0.05630061480718136)	(60, 0.05640326483465088)	(65, 0.05652027522865759)	(70, 0.05676227399808055)	(75, 0.05712660181578325)	(80, 0.057815367544140905)	(85, 0.05881633827832555)	(90, 0.05942426046173312)	(95, 0.06075179656828193)	(100, 0.06365259060879365)	(105, 0.06787400650529922)	(110, 0.07813794552139658)	(115, 0.09293656917068113)	(120, 0.10657200313045354)	(125, 0.12343320090681993)	(130, 0.1400582504334637)	(135, 0.15356975974867443)	(140, 0.1602404159379113)
1R_S1_R2 - polya	(1, 2.1274617092128427e-05)	(2, 4.2549234184256855e-05)	(3, 0.0001196697211432224)	(4, 0.00025263607796902505)	(5, 0.0004786788845728896)	(6, 0.000797798140954816)	(7, 0.00109830210738113)	(8, 0.0012844550069372538)	(9, 0.0017285626387354347)	(10, 0.0031119446151510856)	(15, 0.005911684224475187)	(20, 0.009274137455886084)	(25, 0.012611061146786427)	(30, 0.01648144586127189)	(35, 0.020406612714769585)	(40, 0.0246498350937946)	(45, 0.030219529848513827)	(50, 0.03837781363791777)	(55, 0.04965176510046393)	(60, 0.06053639107022414)	(65, 0.06985946014542212)	(70, 0.07710665845785566)	(75, 0.08284814574559382)	(80, 0.08648344594121125)	(85, 0.08918479044648428)	(90, 0.0916914722053643)	(95, 0.09392424326918317)	(100, 0.09640911854554379)	(105, 0.09900728115791996)	(110, 0.10193413660436954)	(115, 0.10507905687601342)	(120, 0.10816068516180824)	(125, 0.11111147455248645)	(130, 0.11383834859827)	(135, 0.11641630032440867)	(140, 0.11778957685770555)
1R_S1_R2 - polyg	(1, 0.09745902089904032)	(2, 0.24630422005698033)	(3, 0.2573031970936107)	(4, 0.2596168117023797)	(5, 0.2673208824168667)	(6, 0.2690068958214179)	(7, 0.27151464131115255)	(8, 0.27495315129866776)	(9, 0.27852462764300884)	(10, 0.2873684859682066)	(15, 0.2967628250106632)	(20, 0.3023617723638842)	(25, 0.3074107708652735)	(30, 0.3131618317307031)	(35, 0.3199117358686082)	(40, 0.3226678625128934)	(45, 0.3252170935059577)	(50, 0.32794822247515965)	(55, 0.33104421112749166)	(60, 0.3338630978921987)	(65, 0.3369090911943642)	(70, 0.3400577345239992)	(75, 0.34417596852760796)	(80, 0.34842450956090604)	(85, 0.3527969752387657)	(90, 0.35825019146490555)	(95, 0.36391296266940276)	(100, 0.37172447020020505)	(105, 0.3839727991255707)	(110, 0.39961815253512195)	(115, 0.4289436166003391)	(120, 0.46311809776627955)	(125, 0.49793347677212046)	(130, 0.5401396577557667)	(135, 0.5821027762391353)	(140, 0.6037310838404205)
20R_S20_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.004266886501553146)	(4, 0.005657065652059172)	(5, 0.0634068510230801)	(6, 0.06523748297374644)	(7, 0.06737092622452302)	(8, 0.07119277187591416)	(9, 0.07267471202645359)	(10, 0.07893740027873322)	(15, 0.09465422436445414)	(20, 0.09968272716628453)	(25, 0.10303750932750566)	(30, 0.10609131540861723)	(35, 0.1072181404890274)	(40, 0.10784853855925687)	(45, 0.10816419639937176)	(50, 0.10831835487942787)	(55, 0.10845966681947931)	(60, 0.1086991630295665)	(65, 0.10899555105967437)	(70, 0.10957364535988481)	(75, 0.11019211450010993)	(80, 0.11194383199074756)	(85, 0.11366710357137481)	(90, 0.1141497664315505)	(95, 0.11519217139192994)	(100, 0.11673559141249175)	(105, 0.11881948372325028)	(110, 0.12269455075466082)	(115, 0.12920866414703194)	(120, 0.1363467523396302)	(125, 0.14545586681294592)	(130, 0.15519813218649214)	(135, 0.16310884799937161)	(140, 0.16663797606065622)
