Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
15R_S15_R2	(25, 214.0)	(30, 438.0)	(35, 494.0)	(40, 611.0)	(45, 781.0)	(50, 1162.0)	(55, 1086.0)	(60, 1347.0)	(65, 1636.0)	(70, 1869.0)	(75, 1947.0)	(80, 1446.0)	(85, 1126.0)	(90, 1088.0)	(95, 1491.0)	(100, 1930.0)	(105, 2451.0)	(110, 2594.0)	(115, 2857.0)	(120, 2951.0)	(125, 2784.0)	(130, 2385.0)	(135, 0.0)	(140, 0.0)	(145, 1.0)	(150, 27340501.0)
16R_S16_R1	(25, 2458.0)	(30, 5757.0)	(35, 7631.0)	(40, 5866.0)	(45, 6098.0)	(50, 7018.0)	(55, 4705.0)	(60, 4491.0)	(65, 4250.0)	(70, 4074.0)	(75, 3891.0)	(80, 3163.0)	(85, 3280.0)	(90, 3081.0)	(95, 4511.0)	(100, 4877.0)	(105, 6160.0)	(110, 7108.0)	(115, 8176.0)	(120, 7440.0)	(125, 7478.0)	(130, 5016.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 29805896.0)
16R_S16_R2	(25, 605.0)	(30, 1180.0)	(35, 1157.0)	(40, 1419.0)	(45, 1874.0)	(50, 2529.0)	(55, 2085.0)	(60, 2501.0)	(65, 2591.0)	(70, 2946.0)	(75, 2751.0)	(80, 1784.0)	(85, 1428.0)	(90, 1094.0)	(95, 1636.0)	(100, 1829.0)	(105, 2580.0)	(110, 2939.0)	(115, 3222.0)	(120, 2942.0)	(125, 2898.0)	(130, 2318.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 29876117.0)
17R_S17_R1	(25, 4882.0)	(30, 9392.0)	(35, 11965.0)	(40, 10397.0)	(45, 11100.0)	(50, 11071.0)	(55, 6430.0)	(60, 5663.0)	(65, 4678.0)	(70, 3598.0)	(75, 3062.0)	(80, 2711.0)	(85, 2182.0)	(90, 1855.0)	(95, 2454.0)	(100, 2789.0)	(105, 3387.0)	(110, 3717.0)	(115, 3779.0)	(120, 3704.0)	(125, 3216.0)	(130, 2177.0)	(135, 0.0)	(140, 2.0)	(145, 0.0)	(150, 20072397.0)
17R_S17_R2	(25, 1793.0)	(30, 2930.0)	(35, 2632.0)	(40, 2614.0)	(45, 2650.0)	(50, 3031.0)	(55, 2276.0)	(60, 2254.0)	(65, 2567.0)	(70, 2692.0)	(75, 2626.0)	(80, 2097.0)	(85, 1721.0)	(90, 1451.0)	(95, 1924.0)	(100, 2172.0)	(105, 3014.0)	(110, 3373.0)	(115, 3484.0)	(120, 3254.0)	(125, 3171.0)	(130, 2774.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 20130108.0)
18R_S18_R1	(25, 858.0)	(30, 2048.0)	(35, 2970.0)	(40, 2529.0)	(45, 3071.0)	(50, 3333.0)	(55, 2384.0)	(60, 2125.0)	(65, 2216.0)	(70, 2331.0)	(75, 2277.0)	(80, 2144.0)	(85, 1869.0)	(90, 1805.0)	(95, 2393.0)	(100, 3210.0)	(105, 3575.0)	(110, 4386.0)	(115, 4406.0)	(120, 3885.0)	(125, 3843.0)	(130, 2665.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 24281273.0)
18R_S18_R2	(25, 276.0)	(30, 465.0)	(35, 526.0)	(40, 597.0)	(45, 908.0)	(50, 1315.0)	(55, 1200.0)	(60, 1526.0)	(65, 1664.0)	(70, 1889.0)	(75, 1770.0)	(80, 1294.0)	(85, 825.0)	(90, 611.0)	(95, 713.0)	(100, 856.0)	(105, 1095.0)	(110, 1482.0)	(115, 1264.0)	(120, 1198.0)	(125, 1091.0)	(130, 889.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 24318143.0)
19R_S19_R1	(25, 830.0)	(30, 1781.0)	(35, 3180.0)	(40, 1998.0)	(45, 2274.0)	(50, 2334.0)	(55, 1773.0)	(60, 1546.0)	(65, 1834.0)	(70, 1840.0)	(75, 1919.0)	(80, 1750.0)	(85, 1804.0)	(90, 1774.0)	(95, 2536.0)	(100, 3288.0)	(105, 4000.0)	(110, 4738.0)	(115, 5149.0)	(120, 4598.0)	(125, 4815.0)	(130, 3125.0)	(135, 0.0)	(140, 2.0)	(145, 0.0)	(150, 29170847.0)
19R_S19_R2	(25, 174.0)	(30, 352.0)	(35, 395.0)	(40, 505.0)	(45, 699.0)	(50, 958.0)	(55, 925.0)	(60, 1067.0)	(65, 1381.0)	(70, 1580.0)	(75, 1635.0)	(80, 1359.0)	(85, 1236.0)	(90, 1343.0)	(95, 2094.0)	(100, 2869.0)	(105, 3916.0)	(110, 4360.0)	(115, 4865.0)	(120, 5135.0)	(125, 5063.0)	(130, 4330.0)	(135, 0.0)	(140, 0.0)	(145, 1.0)	(150, 29183493.0)
1R_S1_R1	(25, 8468.0)	(30, 13838.0)	(35, 20807.0)	(40, 20539.0)	(45, 21433.0)	(50, 22041.0)	(55, 18895.0)	(60, 21129.0)	(65, 23345.0)	(70, 23051.0)	(75, 24030.0)	(80, 20297.0)	(85, 14084.0)	(90, 9662.0)	(95, 9677.0)	(100, 11966.0)	(105, 13361.0)	(110, 16267.0)	(115, 16137.0)	(120, 14292.0)	(125, 13336.0)	(130, 7639.0)	(135, 0.0)	(140, 3.0)	(145, 0.0)	(150, 37239200.0)
