.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
39R_S38_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
39R_S38_R2	1	0.25	1	1	0.25	1	1	0.5	0.25	0.5	1
3R_S2_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
3R_S2_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
40R_S39_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
40R_S39_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
41R_S40_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
41R_S40_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
42R_S41_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
42R_S41_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
43R_S42_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
43R_S42_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
44R_S43_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
44R_S43_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
45R_S44_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
45R_S44_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
46R_S45_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
46R_S45_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
47R_S46_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
47R_S46_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
48R_S47_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
48R_S47_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
49R_S48_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
49R_S48_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
4R_S3_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
4R_S3_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
50R_S49_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
50R_S49_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
51R_S50_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
51R_S50_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
52R_S51_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
52R_S51_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
53R_S52_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
53R_S52_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
54R_S53_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
54R_S53_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
55R_S54_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
55R_S54_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
56R_S55_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
56R_S55_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
57R_S56_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
57R_S56_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
58R_S57_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
58R_S57_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
59R_S58_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
59R_S58_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
5R_S4_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
5R_S4_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
60R_S59_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
60R_S59_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
61R_S60_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
61R_S60_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
62R_S61_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
62R_S61_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
63R_S95_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
63R_S95_R2	1	0.25	1	1	0.25	1	1	0.5	0.25	0.5	1
64R_S62_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
64R_S62_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
65R_S63_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
65R_S63_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
66R_S64_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
66R_S64_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
67R_S65_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
67R_S65_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
68R_S66_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
68R_S66_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
69R_S67_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
69R_S67_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
6R_S5_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
6R_S5_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
70R_S68_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
70R_S68_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
71R_S69_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
71R_S69_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
72R_S70_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
72R_S70_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
73R_S71_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
73R_S71_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
74R_S72_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
74R_S72_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
75R_S73_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
75R_S73_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
76R_S74_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
76R_S74_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
