Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
15R_S15_R1	(1, 19.55268964343261)	(2, 36.11895055340255)	(3, 35.96748303847389)	(4, 36.22809880041015)	(5, 36.31533662414763)	(6, 36.343952352476826)	(7, 36.35724763919447)	(8, 36.28068356785834)	(9, 36.3337974275247)	(10, 36.393317591585664)	(15, 36.39431003035961)	(20, 36.384072658491135)	(25, 36.313620965495815)	(30, 36.255227643216514)	(35, 36.247046944329554)	(40, 36.25567296541446)	(45, 36.235357104637906)	(50, 36.2087448894888)	(55, 36.15142531691238)	(60, 36.12501191629692)	(65, 36.15879049562817)	(70, 36.15284675004163)	(75, 36.093108647540205)	(80, 36.02807298971197)	(85, 36.05856595479355)	(90, 36.028340530449306)	(95, 36.01507334742326)	(100, 35.96668920719142)	(105, 35.96106667166261)	(110, 35.94282799237059)	(115, 35.896645323667386)	(120, 35.82882189341433)	(125, 35.83183897764333)	(130, 35.808952781255535)	(135, 35.71261464131105)	(140, 35.62965149035891)	(145, 35.63847519821981)	(150, 35.58238160656771)
15R_S15_R2	(1, 19.08116699829298)	(2, 36.008364727331575)	(3, 35.818319288377545)	(4, 35.772707330981085)	(5, 35.74848094205008)	(6, 35.82800323942957)	(7, 35.742667502947015)	(8, 35.730434966844065)	(9, 35.83796086894739)	(10, 35.89632391227239)	(15, 35.909510903851256)	(20, 35.890633935326115)	(25, 35.82814564286211)	(30, 35.81853553035008)	(35, 35.79062508893873)	(40, 35.758936438489044)	(45, 35.74124800439861)	(50, 35.736492399983526)	(55, 35.726085421836515)	(60, 35.728882421139446)	(65, 35.68344285591731)	(70, 35.57340474375367)	(75, 35.611349780248716)	(80, 35.6028048892356)	(85, 35.602846059692794)	(90, 35.53023557689288)	(95, 35.4963122088071)	(100, 35.47423828196859)	(105, 35.42603596769151)	(110, 35.39739003209597)	(115, 35.281634251288395)	(120, 35.2465022759443)	(125, 35.165631738514506)	(130, 35.2437680674098)	(135, 35.17505277701192)	(140, 35.16368767479105)	(145, 35.21909283883821)	(150, 35.08506318154155)
16R_S16_R1	(1, 19.817728375958833)	(2, 36.21577001195592)	(3, 36.140595857454734)	(4, 36.31291023371268)	(5, 36.38777742779872)	(6, 36.41721728770312)	(7, 36.418554679308244)	(8, 36.34777104462623)	(9, 36.37550729929142)	(10, 36.43435591867972)	(15, 36.448355552733446)	(20, 36.434007156839726)	(25, 36.32892273129313)	(30, 36.30369867596971)	(35, 36.31860816330418)	(40, 36.326352086608594)	(45, 36.30571661675275)	(50, 36.29215427262683)	(55, 36.22287761043985)	(60, 36.17943990308712)	(65, 36.22916330851221)	(70, 36.219172429890385)	(75, 36.16100051209882)	(80, 36.118831685785125)	(85, 36.155175773652914)	(90, 36.12019249616861)	(95, 36.10531914809168)	(100, 36.01946118497388)	(105, 36.02364849215057)	(110, 36.01193612132779)	(115, 35.92930657596766)	(120, 35.87487066676688)	(125, 35.93730992352824)	(130, 35.911456012666534)	(135, 35.83882704281059)	(140, 35.75703441359387)	(145, 35.784942220827716)	(150, 35.71222338003247)
16R_S16_R2	(1, 19.65000019216357)	(2, 35.957957785841224)	(3, 35.787583158784756)	(4, 35.7699700809677)	(5, 35.77635205034351)	(6, 35.792751590153536)	(7, 35.70147837282573)	(8, 35.66729223985021)	(9, 35.77451526739561)	(10, 35.85575366301361)	(15, 35.857916281852155)	(20, 35.824682224117865)	(25, 35.777001221107085)	(30, 35.76648348084458)	(35, 35.72662286949883)	(40, 35.713688084974045)	(45, 35.707393190474264)	(50, 35.69280587324509)	(55, 35.67362553903878)	(60, 35.67899266508027)	(65, 35.62409074249787)	(70, 35.516551846239054)	(75, 35.54688916323408)	(80, 35.50058290958758)	(85, 35.494192262744875)	(90, 35.452283009471955)	(95, 35.4211339413388)	(100, 35.38018476547254)	(105, 35.37141006816772)	(110, 35.3550575114953)	(115, 35.23216935372293)	(120, 35.18612254861716)	(125, 35.12135595169137)	(130, 35.23791026826599)	(135, 35.17853000107076)	(140, 35.2048987155861)	(145, 35.25515080825262)	(150, 35.0950771815494)
17R_S17_R1	(1, 22.216827314425483)	(2, 34.207928246290805)	(3, 34.804656037309485)	(4, 35.31180716443298)	(5, 35.732959891032706)	(6, 35.787318255746584)	(7, 35.79080774739372)	(8, 35.654171815294575)	(9, 35.78974516174287)	(10, 35.96385642402131)	(15, 36.03038983072342)	(20, 36.02338821856549)	(25, 35.83159174664086)	(30, 35.797189476187995)	(35, 35.826635753138774)	(40, 35.828857664400175)	(45, 35.79903650007697)	(50, 35.809721995205486)	(55, 35.70123710018821)	(60, 35.597857651372166)	(65, 35.70388674275474)	(70, 35.67305095018956)	(75, 35.51410239625858)	(80, 35.47226250132686)	(85, 35.54312703775506)	(90, 35.525983785815654)	(95, 35.5341030591816)	(100, 35.431125650070044)	(105, 35.401624872150386)	(110, 35.34669009679034)	(115, 35.20239511333183)	(120, 35.120244296865124)	(125, 35.28656812526593)	(130, 35.255440868894745)	(135, 35.183594915585324)	(140, 35.009088967788415)	(145, 35.03404232190106)	(150, 34.775511248045596)
17R_S17_R2	(1, 19.615416121420697)	(2, 36.39513820251525)	(3, 36.278260518062275)	(4, 36.27903043443455)	(5, 36.23797420547325)	(6, 36.28524831908362)	(7, 36.20128592183491)	(8, 36.17722670396136)	(9, 36.2448839349335)	(10, 36.2875790028716)	(15, 36.27678793782492)	(20, 36.25513261068922)	(25, 36.21737128298955)	(30, 36.18879463756603)	(35, 36.16566818460234)	(40, 36.14301690543946)	(45, 36.13437632630318)	(50, 36.1058142329833)	(55, 36.08818753326782)	(60, 36.090573408054595)	(65, 36.026408438428675)	(70, 35.929982278091195)	(75, 35.942972939211764)	(80, 35.898404134841215)	(85, 35.89188042868657)	(90, 35.85405348242939)	(95, 35.82103257832258)	(100, 35.76662132724947)	(105, 35.738260974039676)	(110, 35.74540088311552)	(115, 35.63000464100061)	(120, 35.598405237469585)	(125, 35.550876560109884)	(130, 35.69584574141164)	(135, 35.62588218602702)	(140, 35.69064990610085)	(145, 35.72130189266744)	(150, 35.577200728381584)
18R_S18_R1	(1, 19.173237359898778)	(2, 36.0742830061643)	(3, 35.87285719174465)	(4, 36.1671829913214)	(5, 36.265586888156925)	(6, 36.312787940741934)	(7, 36.28395700577904)	(8, 36.167465142077575)	(9, 36.2678072026252)	(10, 36.34323674818871)	(15, 36.35723674991415)	(20, 36.36660162437165)	(25, 36.2805059226049)	(30, 36.22837748706881)	(35, 36.25046070798493)	(40, 36.273885274455445)	(45, 36.24137924712784)	(50, 36.24522134123595)	(55, 36.20275770239413)	(60, 36.16101365820923)	(65, 36.18650323576502)	(70, 36.18225812390189)	(75, 36.11724374358389)	(80, 36.04274708773745)	(85, 36.0621882500002)	(90, 36.01800261786833)	(95, 36.023243023267106)	(100, 35.97511587969785)	(105, 35.97491655388983)	(110, 35.925419491121474)	(115, 35.86657943015139)	(120, 35.80325136972651)	(125, 35.86814051105538)	(130, 35.83062746164167)	(135, 35.673068620699226)	(140, 35.683182837925266)	(145, 35.65432424403779)	(150, 35.5963257468434)
18R_S18_R2	(1, 19.545491900141144)	(2, 36.13412197235868)	(3, 36.043668005842015)	(4, 36.033464895503776)	(5, 36.03971222594804)	(6, 36.0717039642058)	(7, 35.98162326818573)	(8, 35.95230916853976)	(9, 36.07746545964096)	(10, 36.15099408637815)	(15, 36.14960766132148)	(20, 36.13591838694889)	(25, 36.07879965426683)	(30, 36.07361320921406)	(35, 36.04896758761431)	(40, 36.01688542302745)	(45, 35.98901424943781)	(50, 36.00338886737475)	(55, 35.98360887903938)	(60, 35.98972127029065)	(65, 35.928636446926916)	(70, 35.81606353034495)	(75, 35.82314618006941)	(80, 35.8180630709325)	(85, 35.82254646582187)	(90, 35.78259742746586)	(95, 35.759362082915665)	(100, 35.72967167507009)	(105, 35.67707469004718)	(110, 35.64526146632617)	(115, 35.551449302316364)	(120, 35.547843748214845)	(125, 35.45105385902832)	(130, 35.51125616072403)	(135, 35.45644697459012)	(140, 35.470518789201954)	(145, 35.498457707070806)	(150, 35.37855596128372)
19R_S19_R1	(1, 19.39643048423121)	(2, 36.01172306214887)	(3, 35.908905263766506)	(4, 36.152000249061444)	(5, 36.26010557399853)	(6, 36.320245257098634)	(7, 36.306553617403644)	(8, 36.229594383938135)	(9, 36.28143652345805)	(10, 36.34686558738901)	(15, 36.36173261919754)	(20, 36.36093370672023)	(25, 36.258230297963635)	(30, 36.21677716762132)	(35, 36.21687817863741)	(40, 36.22751597083977)	(45, 36.19732918807445)	(50, 36.17454319585162)	(55, 36.10269285082977)	(60, 36.07151682391283)	(65, 36.108822618313184)	(70, 36.087584815193935)	(75, 36.03044362961337)	(80, 35.97698750208038)	(85, 36.00641091696882)	(90, 35.9680048009764)	(95, 35.9469305395131)	(100, 35.89291756614115)	(105, 35.89762427512266)	(110, 35.85975083239994)	(115, 35.7958363636463)	(120, 35.74309105499551)	(125, 35.77864244139685)	(130, 35.74280994015652)	(135, 35.66554498979444)	(140, 35.569250942380656)	(145, 35.55563915576398)	(150, 35.50791032381834)
19R_S19_R2	(1, 19.076831076299527)	(2, 36.182652391477376)	(3, 35.97933422933872)	(4, 35.91807927783129)	(5, 35.919775906281735)	(6, 35.95895381877393)	(7, 35.88858643432792)	(8, 35.897889905604686)	(9, 36.00426647727049)	(10, 36.06840673033813)	(15, 36.07302144203497)	(20, 36.04920159556698)	(25, 35.9975605754476)	(30, 35.99425037002406)	(35, 35.967178875336266)	(40, 35.951419198724075)	(45, 35.93495036168395)	(50, 35.931916932759066)	(55, 35.91926021641347)	(60, 35.92844331972206)	(65, 35.8788738926548)	(70, 35.77842474752194)	(75, 35.804301446456996)	(80, 35.798951289056255)	(85, 35.80344824522446)	(90, 35.74969093890642)	(95, 35.72591312613912)	(100, 35.71175889553963)	(105, 35.67804869892818)	(110, 35.64019124963792)	(115, 35.5360157981831)	(120, 35.485141308127666)	(125, 35.41493013909045)	(130, 35.48233087812148)	(135, 35.413388664153786)	(140, 35.383145883765664)	(145, 35.430172109246975)	(150, 35.267535966308074)
