Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
15R_S15_R1	(12.0, 1.0)	(13.0, 15.0)	(14.0, 176.0)	(15.0, 596.0)	(16.0, 2014.0)	(17.0, 3932.0)	(18.0, 4146.0)	(19.0, 3845.0)	(20.0, 4858.0)	(21.0, 7769.0)	(22.0, 13774.0)	(23.0, 21758.0)	(24.0, 30235.0)	(25.0, 41250.0)	(26.0, 55258.0)	(27.0, 82155.0)	(28.0, 124035.0)	(29.0, 186029.0)	(30.0, 265483.0)	(31.0, 371201.0)	(32.0, 499855.0)	(33.0, 721865.0)	(34.0, 1126234.0)	(35.0, 2671177.0)	(36.0, 20394013.0)	(37.0, 743516.0)	
15R_S15_R2	(11.0, 135.0)	(12.0, 1867.0)	(13.0, 3348.0)	(14.0, 3617.0)	(15.0, 3733.0)	(16.0, 4177.0)	(17.0, 6058.0)	(18.0, 9881.0)	(19.0, 14166.0)	(20.0, 16681.0)	(21.0, 19138.0)	(22.0, 25982.0)	(23.0, 41743.0)	(24.0, 64982.0)	(25.0, 91382.0)	(26.0, 115541.0)	(27.0, 152374.0)	(28.0, 198054.0)	(29.0, 261683.0)	(30.0, 341783.0)	(31.0, 467211.0)	(32.0, 648778.0)	(33.0, 1017878.0)	(34.0, 1888017.0)	(35.0, 5347731.0)	(36.0, 16368373.0)	(37.0, 260877.0)
16R_S16_R1	(13.0, 17.0)	(14.0, 204.0)	(15.0, 937.0)	(16.0, 3917.0)	(17.0, 8046.0)	(18.0, 7881.0)	(19.0, 6025.0)	(20.0, 6355.0)	(21.0, 8453.0)	(22.0, 13270.0)	(23.0, 20527.0)	(24.0, 28809.0)	(25.0, 40220.0)	(26.0, 56008.0)	(27.0, 83127.0)	(28.0, 124797.0)	(29.0, 187123.0)	(30.0, 265545.0)	(31.0, 373969.0)	(32.0, 502287.0)	(33.0, 717243.0)	(34.0, 1097899.0)	(35.0, 2516084.0)	(36.0, 22793737.0)	(37.0, 1059945.0)		
16R_S16_R2	(11.0, 159.0)	(12.0, 2003.0)	(13.0, 4109.0)	(14.0, 4471.0)	(15.0, 4608.0)	(16.0, 5765.0)	(17.0, 8766.0)	(18.0, 14174.0)	(19.0, 21060.0)	(20.0, 25622.0)	(21.0, 29048.0)	(22.0, 35760.0)	(23.0, 56275.0)	(24.0, 85405.0)	(25.0, 117010.0)	(26.0, 145269.0)	(27.0, 187011.0)	(28.0, 237455.0)	(29.0, 307334.0)	(30.0, 392206.0)	(31.0, 518351.0)	(32.0, 696624.0)	(33.0, 1065626.0)	(34.0, 1947951.0)	(35.0, 5690831.0)	(36.0, 17938371.0)	(37.0, 381161.0)
17R_S17_R1	(13.0, 3.0)	(14.0, 53.0)	(15.0, 445.0)	(16.0, 2231.0)	(17.0, 4214.0)	(18.0, 5366.0)	(19.0, 6813.0)	(20.0, 8512.0)	(21.0, 11390.0)	(22.0, 15868.0)	(23.0, 21722.0)	(24.0, 27698.0)	(25.0, 35366.0)	(26.0, 45809.0)	(27.0, 69318.0)	(28.0, 107100.0)	(29.0, 167030.0)	(30.0, 249042.0)	(31.0, 369626.0)	(32.0, 535488.0)	(33.0, 851235.0)	(34.0, 1597419.0)	(35.0, 4978535.0)	(36.0, 11011509.0)	(37.0, 64816.0)		
17R_S17_R2	(11.0, 167.0)	(12.0, 2194.0)	(13.0, 3914.0)	(14.0, 3880.0)	(15.0, 3908.0)	(16.0, 4481.0)	(17.0, 6633.0)	(18.0, 9973.0)	(19.0, 14000.0)	(20.0, 18084.0)	(21.0, 22659.0)	(22.0, 22872.0)	(23.0, 22807.0)	(24.0, 23784.0)	(25.0, 25909.0)	(26.0, 29708.0)	(27.0, 38877.0)	(28.0, 52947.0)	(29.0, 78078.0)	(30.0, 115266.0)	(31.0, 180713.0)	(32.0, 285213.0)	(33.0, 507789.0)	(34.0, 1061115.0)	(35.0, 3529483.0)	(36.0, 13834121.0)	(37.0, 288033.0)
18R_S18_R1	(12.0, 2.0)	(13.0, 6.0)	(14.0, 103.0)	(15.0, 409.0)	(16.0, 1487.0)	(17.0, 3031.0)	(18.0, 3475.0)	(19.0, 3290.0)	(20.0, 3191.0)	(21.0, 3322.0)	(22.0, 4506.0)	(23.0, 7991.0)	(24.0, 13648.0)	(25.0, 22466.0)	(26.0, 35642.0)	(27.0, 59484.0)	(28.0, 95712.0)	(29.0, 152861.0)	(30.0, 226714.0)	(31.0, 328434.0)	(32.0, 455355.0)	(33.0, 669909.0)	(34.0, 1085352.0)	(35.0, 2714377.0)	(36.0, 18021666.0)	(37.0, 429164.0)	
18R_S18_R2	(11.0, 163.0)	(12.0, 2028.0)	(13.0, 3603.0)	(14.0, 3479.0)	(15.0, 3023.0)	(16.0, 3371.0)	(17.0, 4626.0)	(18.0, 7076.0)	(19.0, 9952.0)	(20.0, 11752.0)	(21.0, 13274.0)	(22.0, 15281.0)	(23.0, 21456.0)	(24.0, 31142.0)	(25.0, 44950.0)	(26.0, 60689.0)	(27.0, 85088.0)	(28.0, 119439.0)	(29.0, 168637.0)	(30.0, 233642.0)	(31.0, 334150.0)	(32.0, 475812.0)	(33.0, 762204.0)	(34.0, 1415325.0)	(35.0, 4157459.0)	(36.0, 15856077.0)	(37.0, 497899.0)
19R_S19_R1	(13.0, 11.0)	(14.0, 103.0)	(15.0, 425.0)	(16.0, 1583.0)	(17.0, 2965.0)	(18.0, 3312.0)	(19.0, 3854.0)	(20.0, 6737.0)	(21.0, 13736.0)	(22.0, 24439.0)	(23.0, 33860.0)	(24.0, 42619.0)	(25.0, 51973.0)	(26.0, 65107.0)	(27.0, 93034.0)	(28.0, 139815.0)	(29.0, 208123.0)	(30.0, 295857.0)	(31.0, 413294.0)	(32.0, 556669.0)	(33.0, 798265.0)	(34.0, 1255652.0)	(35.0, 2994022.0)	(36.0, 21555849.0)	(37.0, 668431.0)		
19R_S19_R2	(11.0, 99.0)	(12.0, 1387.0)	(13.0, 3147.0)	(14.0, 3628.0)	(15.0, 3526.0)	(16.0, 3835.0)	(17.0, 4959.0)	(18.0, 7491.0)	(19.0, 11044.0)	(20.0, 13776.0)	(21.0, 17021.0)	(22.0, 21847.0)	(23.0, 34649.0)	(24.0, 52258.0)	(25.0, 71762.0)	(26.0, 92438.0)	(27.0, 123143.0)	(28.0, 162959.0)	(29.0, 221243.0)	(30.0, 297265.0)	(31.0, 414244.0)	(32.0, 582952.0)	(33.0, 922306.0)	(34.0, 1704642.0)	(35.0, 5013096.0)	(36.0, 19161978.0)	(37.0, 283040.0)
