Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
HSM67VFR_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 7.41438608388933e-05)	(34, 0.00017300234195741769)	(36, 0.000247146202796311)	(38, 0.00037071930419446653)	(40, 0.0004695777853129909)	(42, 0.0006178655069907775)	(44, 0.0006425801272704086)	(46, 0.0006425801272704086)	(48, 0.0007167239881093019)	(50, 0.0008650117097870884)	(52, 0.0008897263300667196)	(54, 0.0009638701909056129)	(56, 0.000988584811185244)	(58, 0.0010627286720241373)	(60, 0.001235731013981555)	(62, 0.0019030257615315948)	(64, 0.0030893275349538874)	(66, 0.0050170679167651135)	(68, 0.007735676147524535)	(70, 0.01080028906219879)	(72, 0.014285050521626775)	(74, 0.016286934764276895)	(76, 0.1443333824330456)	(78, 0.6761425816101476)	(80, 1.1945070273551304)					
HSM67VFR_R2 - illumina_universal_adapter	(1, 0.0)	(2, 4.94292405592622e-05)	(3, 4.94292405592622e-05)	(4, 4.94292405592622e-05)	(5, 4.94292405592622e-05)	(6, 4.94292405592622e-05)	(7, 4.94292405592622e-05)	(8, 4.94292405592622e-05)	(9, 4.94292405592622e-05)	(10, 4.94292405592622e-05)	(12, 4.94292405592622e-05)	(14, 4.94292405592622e-05)	(16, 4.94292405592622e-05)	(18, 4.94292405592622e-05)	(20, 4.94292405592622e-05)	(22, 4.94292405592622e-05)	(24, 4.94292405592622e-05)	(26, 4.94292405592622e-05)	(28, 4.94292405592622e-05)	(30, 4.94292405592622e-05)	(32, 7.414386083889329e-05)	(34, 0.0001235731013981555)	(36, 0.0002718608230759421)	(38, 0.0004695777853129909)	(40, 0.0005931508867111464)	(42, 0.0008897263300667196)	(44, 0.000988584811185244)	(46, 0.0010132994314648752)	(48, 0.0011121579125833994)	(50, 0.0013345894951000794)	(52, 0.0013345894951000794)	(54, 0.0016064503181760215)	(56, 0.0018041672804130703)	(58, 0.0020513134832093813)	(60, 0.002446747407683479)	(62, 0.002743322851039052)	(64, 0.002990469053835363)	(66, 0.0035341906999872474)	(68, 0.004498060890892859)	(70, 0.005807935765713309)	(72, 0.00741438608388933)	(74, 0.009292697225141294)	(76, 0.011319296088071043)	(78, 0.01571849849784538)	(80, 0.06717433792003732)	(82, 0.34583168157287797)	(84, 0.7813280055202576)	(86, 1.0670537305730727)	(88, 1.1053861066267805)	(90, 1.106226403716288)
HSM67VI3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.1248730580753963e-05)	(18, 2.2497461161507925e-05)	(20, 2.2497461161507925e-05)	(22, 2.2497461161507925e-05)	(24, 2.2497461161507925e-05)	(26, 2.2497461161507925e-05)	(28, 2.2497461161507925e-05)	(30, 2.2497461161507925e-05)	(32, 2.2497461161507925e-05)	(34, 4.499492232301585e-05)	(36, 4.499492232301585e-05)	(38, 6.749238348452377e-05)	(40, 6.749238348452377e-05)	(42, 8.99898446460317e-05)	(44, 0.00013498476696904754)	(46, 0.00020247715045357132)	(48, 0.00021372588103432528)	(50, 0.0002362233421958332)	(52, 0.0003824568397456347)	(54, 0.00042745176206865056)	(56, 0.0005174416067146823)	(58, 0.0005736852596184521)	(60, 0.0007649136794912693)	(62, 0.001406091322594245)	(64, 0.002598456764154165)	(66, 0.0039595531644253945)	(68, 0.005376893217600393)	(70, 0.007232933763424798)	(72, 0.009572669724221623)	(74, 0.011417461539465271)	(76, 0.07993347950683766)	(78, 0.377732372901718)	(80, 0.6864987786128336)					
HSM67VI3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 8.99898446460317e-05)	(16, 8.99898446460317e-05)	(18, 8.99898446460317e-05)	(20, 0.00013498476696904754)	(22, 0.00015748222813055548)	(24, 0.0001799796892920634)	(26, 0.00019122841987281736)	(28, 0.00021372588103432528)	(30, 0.00022497461161507924)	(32, 0.0002362233421958332)	(34, 0.00024747207277658716)	(36, 0.00028121826451884906)	(38, 0.0003599593785841268)	(40, 0.00040495430090714264)	(42, 0.0005061928761339282)	(44, 0.0006299289125222218)	(46, 0.0006524263736837298)	(48, 0.0007761624100720234)	(50, 0.0009336446382025789)	(52, 0.0010011370216871027)	(54, 0.0010348832134293644)	(56, 0.0011136243274946422)	(58, 0.001158619249817658)	(60, 0.001214862902721428)	(62, 0.0012936040167867056)	(64, 0.001484832436659523)	(66, 0.0019797765822126973)	(68, 0.0027784364534462285)	(70, 0.003768324744552577)	(72, 0.004893197802627973)	(74, 0.006884223115421424)	(76, 0.008976487003441662)	(78, 0.01294728889844781)	(80, 0.04163155187937041)	(82, 0.18768506973987983)	(84, 0.4622890806772456)	(86, 0.6681408503050431)	(88, 0.6961951843734435)	(90, 0.696768869633062)
HSM6XRQ8_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 6.27055173330591e-05)	(30, 6.27055173330591e-05)	(32, 9.405827599958865e-05)	(34, 0.00015676379333264776)	(36, 0.0004389386213314137)	(38, 0.0005643496559975319)	(40, 0.0007054370699969149)	(42, 0.0010032882773289456)	(44, 0.0012697867259944468)	(46, 0.0016930489679925958)	(48, 0.0019752237959913617)	(50, 0.0022103694859903333)	(52, 0.002664984486655012)	(54, 0.0029785120733203073)	(56, 0.0037936837986500757)	(58, 0.004075858626648842)	(60, 0.004796972075979022)	(62, 0.007587367597300151)	(64, 0.012807601915277321)	(66, 0.018592185889252023)	(68, 0.023514568999897165)	(70, 0.027715838661212123)	(72, 0.032481457978524614)	(74, 0.037482222985836075)	(76, 0.225222541881015)	(78, 0.985558292303023)	(80, 1.759124906882307)					
HSM6XRQ8_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.135275866652955e-05)	(7, 3.135275866652955e-05)	(8, 3.135275866652955e-05)	(9, 9.405827599958865e-05)	(10, 0.0002664984486655012)	(12, 0.00028217482799876596)	(14, 0.00028217482799876596)	(16, 0.00028217482799876596)	(18, 0.00028217482799876596)	(20, 0.0003762331039983546)	(22, 0.0003762331039983546)	(24, 0.0003762331039983546)	(26, 0.0003762331039983546)	(28, 0.0003762331039983546)	(30, 0.0003919094833316194)	(32, 0.0005016441386644728)	(34, 0.0007994953459965035)	(36, 0.0010816701739952694)	(38, 0.0014892560366601536)	(40, 0.0017714308646589196)	(42, 0.002304427761989922)	(44, 0.0031039231079864255)	(46, 0.003542861729317839)	(48, 0.0041542405233151655)	(50, 0.004216946040648224)	(52, 0.004624531903313109)	(54, 0.005047794145311257)	(56, 0.005392674490643083)	(58, 0.006631108457971)	(60, 0.00732086914863465)	(62, 0.007806836907965858)	(64, 0.008480921219296243)	(66, 0.010644261567286782)	(68, 0.01503364778060092)	(70, 0.021617727100572123)	(72, 0.028076395385877213)	(74, 0.034049095911851096)	(76, 0.04027261850715721)	(78, 0.049850886279781986)	(80, 0.12125679414280303)	(82, 0.5092001535031064)	(84, 1.2268491230006346)	(86, 1.706452272322537)	(88, 1.779378788980885)	(90, 1.780397753637547)
HSM6XRT8_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 3.949322296293956e-05)	(36, 5.9239834444409335e-05)	(38, 0.00011847966888881867)	(40, 0.00015797289185175823)	(42, 0.0005134118985182142)	(44, 0.0007898644592587912)	(46, 0.000809611070740261)	(48, 0.001066317019999368)	(50, 0.0014217560266658242)	(52, 0.0015402356955546428)	(54, 0.0017179551988878708)	(56, 0.00179694164481375)	(58, 0.001974661148146978)	(60, 0.0025670594925910712)	(62, 0.003672869735553379)	(64, 0.006496635177403558)	(66, 0.009557359957031372)	(68, 0.012637831348140659)	(70, 0.016685886701841963)	(72, 0.020102050488136236)	(74, 0.024485798237022526)	(76, 0.2464772045117058)	(78, 1.1213113329752615)	(80, 2.0263577770054657)					
HSM6XRT8_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 7.898644592587911e-05)	(6, 7.898644592587911e-05)	(7, 7.898644592587911e-05)	(8, 7.898644592587911e-05)	(9, 7.898644592587911e-05)	(10, 7.898644592587911e-05)	(12, 7.898644592587911e-05)	(14, 7.898644592587911e-05)	(16, 7.898644592587911e-05)	(18, 7.898644592587911e-05)	(20, 7.898644592587911e-05)	(22, 7.898644592587911e-05)	(24, 7.898644592587911e-05)	(26, 7.898644592587911e-05)	(28, 0.00011847966888881867)	(30, 0.00015797289185175823)	(32, 0.0001974661148146978)	(34, 0.00023695933777763737)	(36, 0.00041467884111086534)	(38, 0.0005529051214811538)	(40, 0.0006713847903699725)	(42, 0.0007108780133329121)	(44, 0.0007898644592587912)	(46, 0.0010070771855549589)	(48, 0.0011847966888881866)	(50, 0.0012835297462955356)	(52, 0.0014612492496287638)	(54, 0.001540235695554643)	(56, 0.0017574484218508104)	(58, 0.0018561814792581594)	(60, 0.0021918738744431455)	(62, 0.0025275662696281316)	(64, 0.002784272218887239)	(66, 0.003396417174812802)	(68, 0.004837919812960096)	(70, 0.006773087738144135)	(72, 0.008787242109254051)	(74, 0.01070266342295662)	(76, 0.013309216138510632)	(78, 0.022649363369245838)	(80, 0.10025354649142207)	(82, 0.5483831474518972)	(84, 1.3303094688951376)	(86, 1.8609799058481564)	(88, 1.9556846545132855)	(90, 1.9578370351647658)
HSMA33J3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.7830632527424403e-05)	(22, 1.7830632527424403e-05)	(24, 1.7830632527424403e-05)	(26, 1.7830632527424403e-05)	(28, 1.7830632527424403e-05)	(30, 2.6745948791136605e-05)	(32, 0.00011589911142825862)	(34, 0.0003031207529662149)	(36, 0.0005705802408775809)	(38, 0.0007667171986792494)	(40, 0.0009985154215357665)	(42, 0.0012035676956011472)	(44, 0.001364043388347967)	(46, 0.0016047569274681964)	(48, 0.0027102561441685095)	(50, 0.0028439858881241925)	(52, 0.003049038162189573)	(54, 0.003271921068782378)	(56, 0.004199113960208447)	(58, 0.012829140103481858)	(60, 0.013640433883479668)	(62, 0.015860347633144006)	(64, 0.01974742552412253)	(66, 0.024383389981252872)	(68, 0.02939379772145913)	(70, 0.03461817305199448)	(72, 0.039147153713960284)	(74, 0.04441610562581419)	(76, 0.293946892530855)	(78, 1.3271874709137808)	(80, 2.382743085904778)					
HSMA33J3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00011589911142825864)	(12, 0.00016939100901053184)	(14, 0.00017830632527424405)	(16, 0.00017830632527424405)	(18, 0.00019613695780166846)	(20, 0.00023179822285651725)	(22, 0.00024071353912022945)	(24, 0.0002496288553839417)	(26, 0.0002496288553839417)	(28, 0.0003298667017573515)	(30, 0.0004368504969218979)	(32, 0.000704309984833264)	(34, 0.001016346054063191)	(36, 0.0011589911142825863)	(38, 0.0013818740208753914)	(40, 0.0016493335087867573)	(42, 0.0020505227406538064)	(44, 0.002255575014719187)	(46, 0.002567611083949114)	(48, 0.0029866309483435874)	(50, 0.0034056508127380614)	(52, 0.003780094095813974)	(54, 0.00611590695690657)	(56, 0.0065349268213010445)	(58, 0.007194660224815747)	(60, 0.007836562995803025)	(62, 0.011848455314473517)	(64, 0.015370005238639836)	(66, 0.017179814440173413)	(68, 0.02056763462038405)	(70, 0.02441905124630772)	(72, 0.02907284633596549)	(74, 0.03328087561243765)	(76, 0.03739975172627269)	(78, 0.046252660776138904)	(80, 0.1304310769381095)	(82, 0.6643247913905148)	(84, 1.591419614337683)	(86, 2.185946394699595)	(88, 2.2816166535254903)	(90, 2.2842110105582307)
