Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSM67VI3_R1	(1.0, 6.911195756140604)	(2.0, 5.166563186102912)	(3.0, 3.4175751729241486)	(4.0, 2.207036238526743)	(5.0, 1.3954611002488462)	(6.0, 0.9973966857036212)	(7.0, 0.7633744740461831)	(8.0, 0.6441619915764829)	(9.0, 0.5266429781339991)	('>10', 8.097736000122712)	('>50', 3.897439332387504)	('>100', 9.386013578761144)	('>500', 3.755039808568144)	('>1k', 11.529420706599618)	('>5k', 6.672499432306051)	('>10k+', 34.632443557851296)
HSM67VI3_R2	(1.0, 8.386453843331193)	(2.0, 5.434181731334273)	(3.0, 3.571714353525883)	(4.0, 2.316207085936277)	(5.0, 1.5440432450458315)	(6.0, 1.1109959778337395)	(7.0, 0.8436610083046029)	(8.0, 0.7014451686436509)	(9.0, 0.6125224164634656)	('>10', 9.02480011845813)	('>50', 4.291787981748133)	('>100', 11.428384859569489)	('>500', 5.353407911085802)	('>1k', 12.928818008009818)	('>5k', 4.019875833242339)	('>10k+', 28.431700457467368)
HSM6XRQ8_R1	(1.0, 13.282267990033633)	(2.0, 10.804566165978306)	(3.0, 7.800751709968721)	(4.0, 5.287442751623158)	(5.0, 3.6442759541497907)	(6.0, 2.535553094061461)	(7.0, 1.8918514842314411)	(8.0, 1.3916292847767793)	(9.0, 1.112438708441658)	('>10', 12.400936252283525)	('>50', 4.4885938977456865)	('>100', 10.481513988637062)	('>500', 4.952538320922203)	('>1k', 9.786104191357333)	('>5k', 4.703101227581138)	('>10k+', 5.436434978208095)
HSM6XRQ8_R2	(1.0, 14.795853886000323)	(2.0, 10.014315043079954)	(3.0, 7.3108360420778755)	(4.0, 5.125841295128879)	(5.0, 3.614847702565046)	(6.0, 2.6113088747686954)	(7.0, 1.9646593274400583)	(8.0, 1.5314515545286222)	(9.0, 1.3132439259271111)	('>10', 14.100289950578224)	('>50', 5.199305657063674)	('>100', 12.089923717001467)	('>500', 4.949124250293866)	('>1k', 8.30125592125405)	('>5k', 3.793528023170785)	('>10k+', 3.2842148291214)
HSM6XRT8_R1	(1.0, 14.865130820026144)	(2.0, 9.933890630849646)	(3.0, 6.436250493294668)	(4.0, 4.345450997917289)	(5.0, 2.9097867936562207)	(6.0, 2.235222737867087)	(7.0, 1.7945430860121039)	(8.0, 1.4773643150514626)	(9.0, 1.275591790240067)	('>10', 16.377322388716646)	('>50', 5.283814649301377)	('>100', 11.253608585102626)	('>500', 4.031653322328986)	('>1k', 9.007474044257066)	('>5k', 3.4197002938151653)	('>10k+', 5.353195051563453)
HSM6XRT8_R2	(1.0, 21.001971249149893)	(2.0, 9.069335129569827)	(3.0, 5.599039868606503)	(4.0, 3.651013103060586)	(5.0, 2.5219391160992086)	(6.0, 1.9565923202012514)	(7.0, 1.6115660931031994)	(8.0, 1.3032375626712527)	(9.0, 1.1809335259163989)	('>10', 16.70703664439854)	('>50', 6.261038781939128)	('>100', 10.951898705936552)	('>500', 3.6697137576012673)	('>1k', 5.710078530605982)	('>5k', 2.0919232213071797)	('>10k+', 6.712682389833222)
HSMA33J3_R1	(1.0, 13.841396405979973)	(2.0, 6.090275936710291)	(3.0, 3.0322219329609275)	(4.0, 1.7619638415566259)	(5.0, 1.2041691856350094)	(6.0, 0.9887519869237766)	(7.0, 0.7797977388151448)	(8.0, 0.66236984154365)	(9.0, 0.5996968066116132)	('>10', 9.133675114593254)	('>50', 4.316705841408526)	('>100', 11.684908389007855)	('>500', 5.41983797851766)	('>1k', 12.462658666396614)	('>5k', 4.449209668513177)	('>10k+', 23.57236066482593)
HSMA33J3_R2	(1.0, 16.695526738634356)	(2.0, 5.772571627884409)	(3.0, 2.901150412229623)	(4.0, 1.849958932620705)	(5.0, 1.3161938357870138)	(6.0, 1.0367582403767146)	(7.0, 0.8448529964089927)	(8.0, 0.7716762240110926)	(9.0, 0.6462331819435159)	('>10', 10.20479681998587)	('>50', 4.572873597283602)	('>100', 11.88120476007843)	('>500', 5.562988261498024)	('>1k', 11.296691619067083)	('>5k', 2.796420529201296)	('>10k+', 21.850102222989282)
MSM6J2HP_R1	(1.0, 17.602334797707776)	(2.0, 12.435241616927835)	(3.0, 6.971405795089369)	(4.0, 3.774586309726103)	(5.0, 2.219182226378758)	(6.0, 1.4351630978575491)	(7.0, 1.1200802232448108)	(8.0, 0.8878522036563254)	(9.0, 0.750990819603651)	('>10', 9.81591546488459)	('>50', 4.213966396645041)	('>100', 10.513075903092336)	('>500', 4.282014540281684)	('>1k', 9.237459902478772)	('>5k', 4.332691412149918)	('>10k+', 10.40803929027548)
MSM6J2HP_R2	(1.0, 18.175149427797983)	(2.0, 11.523186433287078)	(3.0, 6.697067413450572)	(4.0, 3.723701808729163)	(5.0, 2.258041289765018)	(6.0, 1.5422762656017739)	(7.0, 1.1446179229592166)	(8.0, 0.9424327611416117)	(9.0, 0.8037576098965099)	('>10', 10.66762633677905)	('>50', 4.591642858281228)	('>100', 11.699892067517544)	('>500', 5.179812165088136)	('>1k', 9.518911601453299)	('>5k', 2.331606448976245)	('>10k+', 9.200277589275615)
