Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
MSM9VZFL_R1	(50, 6421.0)	(51, 6545.0)	(52, 6541.0)	(53, 7165.0)	(54, 7718.0)	(55, 8204.0)	(56, 9974.0)	(57, 8661.0)	(58, 9629.0)	(59, 9059.0)	(60, 8536.0)	(61, 9153.0)	(62, 10781.0)	(63, 9482.0)	(64, 10077.0)	(65, 9212.0)	(66, 9343.0)	(67, 10057.0)	(68, 12461.0)	(69, 14864.0)	(70, 13179.0)	(71, 13924.0)	(72, 17534.0)	(73, 15730.0)	(74, 14055.0)	(75, 13593.0)	(76, 2149.0)	(77, 2281.0)	(78, 2314.0)	(79, 2254.0)	(80, 2526.0)	(81, 2484.0)	(82, 2687.0)	(83, 2804.0)	(84, 3106.0)	(85, 3523.0)	(86, 4289.0)	(87, 5605.0)	(88, 8596.0)	(89, 20253.0)	(90, 39385.0)	(91, 213204.0)	(92, 4143308.0)
MSM9VZFL_R2	(50, 21917.0)	(52, 21567.0)	(54, 26677.0)	(56, 30514.0)	(58, 31904.0)	(60, 33328.0)	(62, 32850.0)	(64, 34459.0)	(66, 35966.0)	(68, 33282.0)	(70, 34907.0)	(72, 40105.0)	(74, 47209.0)	(76, 50121.0)	(78, 45825.0)	(80, 38505.0)	(82, 25391.0)	(84, 27122.0)	(86, 28925.0)	(88, 41314.0)	(90, 45808.0)	(92, 104352.0)	(94, 502807.0)	(96, 1862463.0)	(98, 1510451.0)	(100, 24897.0)																	
MSM9VZL5_R1	(50, 8272.0)	(51, 8443.0)	(52, 8580.0)	(53, 9078.0)	(54, 9938.0)	(55, 11183.0)	(56, 14342.0)	(57, 11833.0)	(58, 11983.0)	(59, 12288.0)	(60, 12594.0)	(61, 14744.0)	(62, 13806.0)	(63, 12748.0)	(64, 15877.0)	(65, 12592.0)	(66, 12460.0)	(67, 13500.0)	(68, 14193.0)	(69, 13422.0)	(70, 13705.0)	(71, 13781.0)	(72, 15725.0)	(73, 17023.0)	(74, 17267.0)	(75, 18789.0)	(76, 2534.0)	(77, 2457.0)	(78, 2588.0)	(79, 2514.0)	(80, 2710.0)	(81, 2722.0)	(82, 2858.0)	(83, 2911.0)	(84, 3185.0)	(85, 3568.0)	(86, 4230.0)	(87, 5039.0)	(88, 7101.0)	(89, 13289.0)	(90, 34637.0)	(91, 221233.0)	(92, 4553235.0)
MSM9VZL5_R2	(50, 24912.0)	(52, 23725.0)	(54, 29197.0)	(56, 34965.0)	(58, 38676.0)	(60, 38559.0)	(62, 40760.0)	(64, 42187.0)	(66, 44026.0)	(68, 43150.0)	(70, 41161.0)	(72, 43112.0)	(74, 46858.0)	(76, 47459.0)	(78, 51435.0)	(80, 43421.0)	(82, 24554.0)	(84, 25829.0)	(86, 26823.0)	(88, 29987.0)	(90, 40204.0)	(92, 88934.0)	(94, 515058.0)	(96, 2012636.0)	(98, 1773585.0)	(100, 33764.0)																	
MSM9VZL9_R1	(50, 20589.0)	(51, 21523.0)	(52, 21878.0)	(53, 23298.0)	(54, 28806.0)	(55, 33532.0)	(56, 34100.0)	(57, 29364.0)	(58, 30368.0)	(59, 29124.0)	(60, 31943.0)	(61, 37654.0)	(62, 36487.0)	(63, 44620.0)	(64, 41619.0)	(65, 31459.0)	(66, 34330.0)	(67, 40027.0)	(68, 42886.0)	(69, 34880.0)	(70, 33437.0)	(71, 37097.0)	(72, 65473.0)	(73, 42202.0)	(74, 35934.0)	(75, 36752.0)	(76, 4171.0)	(77, 4271.0)	(78, 4176.0)	(79, 4470.0)	(80, 4440.0)	(81, 4689.0)	(82, 4992.0)	(83, 5306.0)	(84, 5716.0)	(85, 6333.0)	(86, 7564.0)	(87, 9803.0)	(88, 14266.0)	(89, 51195.0)	(90, 70128.0)	(91, 341914.0)	(92, 6028983.0)
MSM9VZL9_R2	(50, 32521.0)	(52, 33006.0)	(54, 45877.0)	(56, 65613.0)	(58, 83315.0)	(60, 77233.0)	(62, 77030.0)	(64, 85085.0)	(66, 90748.0)	(68, 97591.0)	(70, 85866.0)	(72, 101008.0)	(74, 93277.0)	(76, 123867.0)	(78, 91067.0)	(80, 68565.0)	(82, 31654.0)	(84, 34298.0)	(86, 37064.0)	(88, 69456.0)	(90, 66149.0)	(92, 114363.0)	(94, 672684.0)	(96, 3059322.0)	(98, 2098396.0)	(100, 36744.0)																	
PSM7J14X_R1	(50, 5704.0)	(51, 6052.0)	(52, 6616.0)	(53, 8024.0)	(54, 9974.0)	(55, 9824.0)	(56, 8729.0)	(57, 7860.0)	(58, 8508.0)	(59, 9044.0)	(60, 10020.0)	(61, 10499.0)	(62, 11021.0)	(63, 13874.0)	(64, 13414.0)	(65, 10602.0)	(66, 11847.0)	(67, 12654.0)	(68, 13512.0)	(69, 12724.0)	(70, 12392.0)	(71, 14410.0)	(72, 18170.0)	(73, 14722.0)	(74, 13626.0)	(75, 14047.0)	(76, 5262.0)	(77, 5535.0)	(78, 5717.0)	(79, 6230.0)	(80, 6629.0)	(81, 6790.0)	(82, 7429.0)	(83, 7935.0)	(84, 8323.0)	(85, 9310.0)	(86, 10546.0)	(87, 12276.0)	(88, 16153.0)	(89, 27687.0)	(90, 63399.0)	(91, 301020.0)	(92, 2502522.0)
PSM7J14X_R2	(50, 27555.0)	(52, 26735.0)	(54, 29016.0)	(56, 34053.0)	(58, 37711.0)	(60, 33807.0)	(62, 34379.0)	(64, 36020.0)	(66, 39083.0)	(68, 43011.0)	(70, 38867.0)	(72, 41256.0)	(74, 42358.0)	(76, 46614.0)	(78, 41289.0)	(80, 35179.0)	(82, 25352.0)	(84, 26544.0)	(86, 27323.0)	(88, 31107.0)	(90, 37965.0)	(92, 69073.0)	(94, 305154.0)	(96, 1252378.0)	(98, 872079.0)	(100, 56724.0)																	
PSM7J15O_R1	(50, 12368.0)	(51, 13049.0)	(52, 13719.0)	(53, 13620.0)	(54, 15125.0)	(55, 15234.0)	(56, 18744.0)	(57, 17570.0)	(58, 18632.0)	(59, 16557.0)	(60, 19247.0)	(61, 20694.0)	(62, 22488.0)	(63, 24603.0)	(64, 24647.0)	(65, 27413.0)	(66, 25734.0)	(67, 25804.0)	(68, 26391.0)	(69, 48393.0)	(70, 27414.0)	(71, 35038.0)	(72, 51051.0)	(73, 36025.0)	(74, 31437.0)	(75, 32549.0)	(76, 4201.0)	(77, 4512.0)	(78, 4752.0)	(79, 4748.0)	(80, 4708.0)	(81, 4672.0)	(82, 4868.0)	(83, 5052.0)	(84, 5485.0)	(85, 6886.0)	(86, 7514.0)	(87, 9627.0)	(88, 14653.0)	(89, 46246.0)	(90, 70564.0)	(91, 300928.0)	(92, 4703977.0)
PSM7J15O_R2	(50, 32258.0)	(52, 29417.0)	(54, 34381.0)	(56, 47836.0)	(58, 49774.0)	(60, 53138.0)	(62, 56548.0)	(64, 52680.0)	(66, 58290.0)	(68, 63986.0)	(70, 71807.0)	(72, 71938.0)	(74, 97552.0)	(76, 100999.0)	(78, 82458.0)	(80, 62574.0)	(82, 29474.0)	(84, 32483.0)	(86, 35682.0)	(88, 65364.0)	(90, 66410.0)	(92, 90075.0)	(94, 387642.0)	(96, 2148555.0)	(98, 1987481.0)	(100, 28137.0)																	
PSM7J16U_R1	(50, 6517.0)	(51, 6830.0)	(52, 7019.0)	(53, 7541.0)	(54, 7497.0)	(55, 7551.0)	(56, 8416.0)	(57, 8512.0)	(58, 8533.0)	(59, 8167.0)	(60, 9392.0)	(61, 9164.0)	(62, 9707.0)	(63, 10544.0)	(64, 11868.0)	(65, 11634.0)	(66, 9739.0)	(67, 10451.0)	(68, 10563.0)	(69, 11964.0)	(70, 10907.0)	(71, 11468.0)	(72, 13241.0)	(73, 13573.0)	(74, 11885.0)	(75, 12088.0)	(76, 3874.0)	(77, 3978.0)	(78, 4083.0)	(79, 4550.0)	(80, 4426.0)	(81, 4467.0)	(82, 4798.0)	(83, 5036.0)	(84, 5597.0)	(85, 6126.0)	(86, 7829.0)	(87, 9197.0)	(88, 14636.0)	(89, 28887.0)	(90, 55681.0)	(91, 249227.0)	(92, 3135458.0)
PSM7J16U_R2	(50, 45580.0)	(52, 47876.0)	(54, 46572.0)	(56, 50360.0)	(58, 47061.0)	(60, 44186.0)	(62, 41781.0)	(64, 41097.0)	(66, 43184.0)	(68, 41617.0)	(70, 41610.0)	(72, 41823.0)	(74, 43855.0)	(76, 44714.0)	(78, 42437.0)	(80, 38667.0)	(82, 28061.0)	(84, 27404.0)	(86, 28478.0)	(88, 38501.0)	(90, 41468.0)	(92, 58573.0)	(94, 220801.0)	(96, 1593009.0)	(98, 1045481.0)	(100, 18425.0)																	
