Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
HSM67VFR_R1	(50, 4425.0)	(51, 4263.0)	(52, 4470.0)	(53, 4206.0)	(54, 4487.0)	(55, 5275.0)	(56, 6890.0)	(57, 5648.0)	(58, 5714.0)	(59, 4996.0)	(60, 5025.0)	(61, 5499.0)	(62, 5778.0)	(63, 6088.0)	(64, 6251.0)	(65, 5890.0)	(66, 6053.0)	(67, 6793.0)	(68, 7450.0)	(69, 7304.0)	(70, 8070.0)	(71, 8147.0)	(72, 7421.0)	(73, 7100.0)	(74, 6888.0)	(75, 6910.0)	(76, 2788.0)	(77, 3072.0)	(78, 2961.0)	(79, 3200.0)	(80, 3095.0)	(81, 3331.0)	(82, 3259.0)	(83, 3663.0)	(84, 4387.0)	(85, 4643.0)	(86, 5509.0)	(87, 7787.0)	(88, 11378.0)	(89, 18910.0)	(90, 33255.0)	(91, 129107.0)	(92, 1625708.0)
HSM67VFR_R2	(50, 25584.0)	(52, 25778.0)	(54, 26845.0)	(56, 25013.0)	(58, 25868.0)	(60, 24602.0)	(62, 22854.0)	(64, 22406.0)	(66, 24476.0)	(68, 22361.0)	(70, 23016.0)	(72, 25956.0)	(74, 27568.0)	(76, 24028.0)	(78, 25464.0)	(80, 23851.0)	(82, 19800.0)	(84, 18075.0)	(86, 19252.0)	(88, 24809.0)	(90, 25278.0)	(92, 54387.0)	(94, 256482.0)	(96, 713092.0)	(98, 487419.0)	(100, 8830.0)																	
HSM67VI3_R1	(50, 5072.0)	(51, 5096.0)	(52, 5031.0)	(53, 5692.0)	(54, 5864.0)	(55, 6076.0)	(56, 6749.0)	(57, 6424.0)	(58, 6757.0)	(59, 6564.0)	(60, 6077.0)	(61, 6320.0)	(62, 6372.0)	(63, 6318.0)	(64, 5987.0)	(65, 6129.0)	(66, 6601.0)	(67, 6593.0)	(68, 7083.0)	(69, 7674.0)	(70, 7861.0)	(71, 8771.0)	(72, 8468.0)	(73, 8111.0)	(74, 8161.0)	(75, 8598.0)	(76, 2714.0)	(77, 2783.0)	(78, 2790.0)	(79, 2999.0)	(80, 3086.0)	(81, 3151.0)	(82, 3015.0)	(83, 3304.0)	(84, 3773.0)	(85, 4211.0)	(86, 4924.0)	(87, 6155.0)	(88, 8716.0)	(89, 19171.0)	(90, 42009.0)	(91, 195299.0)	(92, 3962397.0)
HSM67VI3_R2	(50, 35338.0)	(52, 31110.0)	(54, 35801.0)	(56, 34478.0)	(58, 32977.0)	(60, 33769.0)	(62, 30036.0)	(64, 30309.0)	(66, 30141.0)	(68, 29814.0)	(70, 33713.0)	(72, 36768.0)	(74, 44115.0)	(76, 41252.0)	(78, 40535.0)	(80, 35823.0)	(82, 31404.0)	(84, 35713.0)	(86, 36582.0)	(88, 48939.0)	(90, 52613.0)	(92, 98509.0)	(94, 411710.0)	(96, 1664693.0)	(98, 1476868.0)	(100, 31936.0)																	
HSM6XRQ8_R1	(50, 8196.0)	(51, 8358.0)	(52, 8354.0)	(53, 9226.0)	(54, 9850.0)	(55, 9839.0)	(56, 11923.0)	(57, 9748.0)	(58, 9455.0)	(59, 10079.0)	(60, 9635.0)	(61, 12813.0)	(62, 12352.0)	(63, 17139.0)	(64, 13231.0)	(65, 11870.0)	(66, 12370.0)	(67, 11885.0)	(68, 10827.0)	(69, 11601.0)	(70, 10496.0)	(71, 11169.0)	(72, 11699.0)	(73, 12040.0)	(74, 12013.0)	(75, 11635.0)	(76, 1489.0)	(77, 1571.0)	(78, 1567.0)	(79, 1523.0)	(80, 1654.0)	(81, 1695.0)	(82, 1874.0)	(83, 1997.0)	(84, 2216.0)	(85, 2518.0)	(86, 3429.0)	(87, 4837.0)	(88, 9404.0)	(89, 18682.0)	(90, 29833.0)	(91, 153831.0)	(92, 2663589.0)
HSM6XRQ8_R2	(50, 18046.0)	(52, 18918.0)	(54, 23853.0)	(56, 31701.0)	(58, 34341.0)	(60, 33655.0)	(62, 32000.0)	(64, 33923.0)	(66, 36983.0)	(68, 40627.0)	(70, 36565.0)	(72, 35116.0)	(74, 35973.0)	(76, 35390.0)	(78, 35292.0)	(80, 29526.0)	(82, 17126.0)	(84, 18394.0)	(86, 20828.0)	(88, 33956.0)	(90, 31184.0)	(92, 55929.0)	(94, 279802.0)	(96, 1189053.0)	(98, 1010758.0)	(100, 20573.0)																	
HSM6XRT8_R1	(50, 8509.0)	(51, 7654.0)	(52, 7051.0)	(53, 7580.0)	(54, 7523.0)	(55, 7591.0)	(56, 9028.0)	(57, 8595.0)	(58, 8367.0)	(59, 7987.0)	(60, 8073.0)	(61, 8325.0)	(62, 8715.0)	(63, 8291.0)	(64, 8734.0)	(65, 9061.0)	(66, 9133.0)	(67, 9720.0)	(68, 10376.0)	(69, 11526.0)	(70, 10864.0)	(71, 10129.0)	(72, 12495.0)	(73, 12629.0)	(74, 14294.0)	(75, 14661.0)	(76, 3226.0)	(77, 3251.0)	(78, 3392.0)	(79, 3422.0)	(80, 3775.0)	(81, 3896.0)	(82, 3959.0)	(83, 4469.0)	(84, 4691.0)	(85, 5049.0)	(86, 6212.0)	(87, 7376.0)	(88, 10442.0)	(89, 22336.0)	(90, 42832.0)	(91, 178396.0)	(92, 1978445.0)
HSM6XRT8_R2	(50, 35280.0)	(52, 33134.0)	(54, 35668.0)	(56, 38120.0)	(58, 36432.0)	(60, 38652.0)	(62, 32774.0)	(64, 33484.0)	(66, 32338.0)	(68, 32567.0)	(70, 31755.0)	(72, 32472.0)	(74, 37051.0)	(76, 37926.0)	(78, 39821.0)	(80, 36306.0)	(82, 21467.0)	(84, 20882.0)	(86, 20964.0)	(88, 26705.0)	(90, 32077.0)	(92, 102213.0)	(94, 230591.0)	(96, 834205.0)	(98, 666806.0)	(100, 12390.0)																	
HSMA33J3_R1	(50, 24001.0)	(51, 21561.0)	(52, 21979.0)	(53, 22089.0)	(54, 26271.0)	(55, 37072.0)	(56, 137377.0)	(57, 791190.0)	(58, 33364.0)	(59, 22777.0)	(60, 22279.0)	(61, 25854.0)	(62, 29714.0)	(63, 24884.0)	(64, 27833.0)	(65, 25371.0)	(66, 29801.0)	(67, 30660.0)	(68, 25702.0)	(69, 31134.0)	(70, 27851.0)	(71, 26586.0)	(72, 29111.0)	(73, 28492.0)	(74, 27927.0)	(75, 27518.0)	(76, 3533.0)	(77, 3591.0)	(78, 3712.0)	(79, 3826.0)	(80, 3866.0)	(81, 4223.0)	(82, 4323.0)	(83, 5020.0)	(84, 5412.0)	(85, 6129.0)	(86, 7445.0)	(87, 8405.0)	(88, 12103.0)	(89, 22188.0)	(90, 50319.0)	(91, 232931.0)	(92, 3652902.0)
HSMA33J3_R2	(50, 61764.0)	(52, 65855.0)	(54, 78322.0)	(56, 89955.0)	(58, 89497.0)	(60, 170179.0)	(62, 865800.0)	(64, 83102.0)	(66, 82202.0)	(68, 72378.0)	(70, 74479.0)	(72, 75724.0)	(74, 82142.0)	(76, 79041.0)	(78, 78084.0)	(80, 60829.0)	(82, 34846.0)	(84, 33833.0)	(86, 32035.0)	(88, 37261.0)	(90, 43774.0)	(92, 88875.0)	(94, 437604.0)	(96, 1551794.0)	(98, 1222923.0)	(100, 16028.0)																	
