Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSM6XRT8_R2	(22.0, 1.0)	(23.0, 6.0)	(24.0, 114.0)	(25.0, 1048.0)	(26.0, 5929.0)	(27.0, 22632.0)	(28.0, 64799.0)	(29.0, 148916.0)	(30.0, 286415.0)	(31.0, 467683.0)	(32.0, 660346.0)	(33.0, 812149.0)	(34.0, 845635.0)	(35.0, 669832.0)	(36.0, 273309.0)	(37.0, 225.0)
HSMA33J3_R1	(25.0, 5.0)	(26.0, 68.0)	(27.0, 313.0)	(28.0, 1333.0)	(29.0, 4291.0)	(30.0, 12312.0)	(31.0, 30352.0)	(32.0, 69455.0)	(33.0, 155001.0)	(34.0, 358479.0)	(35.0, 994787.0)	(36.0, 7173744.0)	(37.0, 2282292.0)			
HSMA33J3_R2	(23.0, 9.0)	(24.0, 268.0)	(25.0, 2517.0)	(26.0, 13716.0)	(27.0, 52137.0)	(28.0, 148000.0)	(29.0, 334088.0)	(30.0, 631020.0)	(31.0, 1043040.0)	(32.0, 1530419.0)	(33.0, 2012134.0)	(34.0, 2292317.0)	(35.0, 2053459.0)	(36.0, 968287.0)	(37.0, 1021.0)	
MSM6J2HP_R1	(25.0, 4.0)	(26.0, 85.0)	(27.0, 340.0)	(28.0, 1544.0)	(29.0, 4888.0)	(30.0, 13757.0)	(31.0, 33245.0)	(32.0, 70967.0)	(33.0, 142523.0)	(34.0, 283883.0)	(35.0, 667546.0)	(36.0, 5571664.0)	(37.0, 1995520.0)			
MSM6J2HP_R2	(24.0, 12.0)	(25.0, 151.0)	(26.0, 972.0)	(27.0, 4628.0)	(28.0, 16003.0)	(29.0, 43956.0)	(30.0, 100169.0)	(31.0, 196491.0)	(32.0, 339337.0)	(33.0, 542028.0)	(34.0, 853981.0)	(35.0, 1511701.0)	(36.0, 5038334.0)	(37.0, 138203.0)		
MSM6J2JN_R1	(25.0, 12.0)	(26.0, 65.0)	(27.0, 401.0)	(28.0, 1653.0)	(29.0, 5231.0)	(30.0, 14801.0)	(31.0, 37194.0)	(32.0, 88585.0)	(33.0, 204505.0)	(34.0, 488958.0)	(35.0, 1429545.0)	(36.0, 10762667.0)	(37.0, 3776575.0)			
MSM6J2JN_R2	(23.0, 16.0)	(24.0, 328.0)	(25.0, 3554.0)	(26.0, 19406.0)	(27.0, 75101.0)	(28.0, 218196.0)	(29.0, 508655.0)	(30.0, 988439.0)	(31.0, 1638580.0)	(32.0, 2379344.0)	(33.0, 3082076.0)	(34.0, 3454447.0)	(35.0, 3041433.0)	(36.0, 1399240.0)	(37.0, 1377.0)	
MSM6J2JZ_R1	(24.0, 1.0)	(25.0, 12.0)	(26.0, 88.0)	(27.0, 453.0)	(28.0, 1816.0)	(29.0, 5524.0)	(30.0, 15104.0)	(31.0, 36138.0)	(32.0, 79354.0)	(33.0, 160178.0)	(34.0, 327182.0)	(35.0, 776451.0)	(36.0, 7908080.0)	(37.0, 4605792.0)		
MSM6J2JZ_R2	(23.0, 1.0)	(24.0, 31.0)	(25.0, 372.0)	(26.0, 2414.0)	(27.0, 10274.0)	(28.0, 33529.0)	(29.0, 87349.0)	(30.0, 187761.0)	(31.0, 351222.0)	(32.0, 589474.0)	(33.0, 918316.0)	(34.0, 1411754.0)	(35.0, 2433246.0)	(36.0, 7728704.0)	(37.0, 161726.0)	
MSM6J2M3_R1	(25.0, 7.0)	(26.0, 67.0)	(27.0, 300.0)	(28.0, 1199.0)	(29.0, 3927.0)	(30.0, 11378.0)	(31.0, 28466.0)	(32.0, 65406.0)	(33.0, 145986.0)	(34.0, 322355.0)	(35.0, 777573.0)	(36.0, 3282674.0)	(37.0, 484110.0)			
MSM6J2M3_R2	(23.0, 9.0)	(24.0, 209.0)	(25.0, 1625.0)	(26.0, 8196.0)	(27.0, 29173.0)	(28.0, 82292.0)	(29.0, 184130.0)	(30.0, 347210.0)	(31.0, 561819.0)	(32.0, 788603.0)	(33.0, 962640.0)	(34.0, 995888.0)	(35.0, 807754.0)	(36.0, 353678.0)	(37.0, 222.0)	
