Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSM67VI3_R1	(1.0, 5.405240910350425)	(2.0, 3.8693140434936746)	(3.0, 2.6404595718189485)	(4.0, 1.719095648347273)	(5.0, 1.1359251911941008)	(6.0, 0.8800368800971159)	(7.0, 0.6971438754510174)	(8.0, 0.5928313390161173)	(9.0, 0.5072203365109738)	('>10', 8.76123333011832)	('>50', 4.743142193406559)	('>100', 13.441394934819773)	('>500', 5.074451799053773)	('>1k', 11.278519260895122)	('>5k', 5.373582741846785)	('>10k+', 33.88040794358004)
HSM67VI3_R2	(1.0, 6.576944664063856)	(2.0, 4.085691481239008)	(3.0, 2.718712436738531)	(4.0, 1.8038292533185623)	(5.0, 1.2485776632100065)	(6.0, 0.9296480152289099)	(7.0, 0.7218006847126128)	(8.0, 0.6049212795214566)	(9.0, 0.5267874238467196)	('>10', 8.846096682148039)	('>50', 4.637250216276582)	('>100', 13.906749153060288)	('>500', 6.835844048582904)	('>1k', 14.30176383082947)	('>5k', 4.68909819456834)	('>10k+', 27.566284972654742)
HSM6XRQ8_R1	(1.0, 7.178096414484829)	(2.0, 5.7184467499085825)	(3.0, 4.178786163247816)	(4.0, 2.8979729384126074)	(5.0, 2.0545384493309853)	(6.0, 1.4763671742530093)	(7.0, 1.0887111451269078)	(8.0, 0.8501495833825192)	(9.0, 0.6970591077001663)	('>10', 8.450723836011951)	('>50', 3.8051930998344634)	('>100', 10.329709792448584)	('>500', 5.164986754159163)	('>1k', 17.54831035267651)	('>5k', 10.438003387323755)	('>10k+', 18.122945051698146)
HSM6XRQ8_R2	(1.0, 8.205105374987854)	(2.0, 5.36056847072517)	(3.0, 3.944485767395807)	(4.0, 2.8282306287956107)	(5.0, 2.0311552663788035)	(6.0, 1.533183443232856)	(7.0, 1.1453445755819076)	(8.0, 0.9123192860614828)	(9.0, 0.783266975267345)	('>10', 9.503530064162312)	('>50', 4.158774067401189)	('>100', 11.714244267826095)	('>500', 6.009548371541677)	('>1k', 15.375515586857016)	('>5k', 7.173505766544842)	('>10k+', 19.321222087240038)
HSM6XRT8_R1	(1.0, 10.137637797821194)	(2.0, 6.839518355060896)	(3.0, 4.552534654092657)	(4.0, 3.1313788927733275)	(5.0, 2.140643515719349)	(6.0, 1.6787959610955183)	(7.0, 1.377742813371024)	(8.0, 1.1469670203449773)	(9.0, 1.0119366578735218)	('>10', 14.860669438988259)	('>50', 6.128094232185339)	('>100', 14.117308092866324)	('>500', 6.588915803972001)	('>1k', 12.197666599965222)	('>5k', 4.752862264091004)	('>10k+', 9.337327899779382)
HSM6XRT8_R2	(1.0, 15.474681143211285)	(2.0, 6.5183845594129615)	(3.0, 4.137551487744898)	(4.0, 2.780926212459077)	(5.0, 1.9103691114968937)	(6.0, 1.5582532050137134)	(7.0, 1.300496338359613)	(8.0, 1.0930683763356739)	(9.0, 0.9436540925385319)	('>10', 14.97462805746258)	('>50', 6.531659790333441)	('>100', 14.55885726532087)	('>500', 5.693047347050343)	('>1k', 9.74676374757159)	('>5k', 4.319382954549078)	('>10k+', 8.458276311139452)
HSMA33J3_R1	(1.0, 8.30908421430617)	(2.0, 3.772182647260126)	(3.0, 1.9862205526966314)	(4.0, 1.2211915489208445)	(5.0, 0.8873829910408495)	(6.0, 0.7328729488521827)	(7.0, 0.6015060353809587)	(8.0, 0.5144696368880995)	(9.0, 0.4632093117657539)	('>10', 7.9425049238296825)	('>50', 3.9690535112044207)	('>100', 11.648633097526929)	('>500', 5.874862323072862)	('>1k', 15.693151423070791)	('>5k', 7.542256762697192)	('>10k+', 28.841418071486512)
HSMA33J3_R2	(1.0, 10.642050551962342)	(2.0, 3.7648855274641826)	(3.0, 1.9498783039995395)	(4.0, 1.3092758099246296)	(5.0, 0.9683693454397935)	(6.0, 0.7799629602902907)	(7.0, 0.6622067666584839)	(8.0, 0.5949090136919242)	(9.0, 0.5121254479534462)	('>10', 8.746828761610118)	('>50', 4.222885696799865)	('>100', 12.019607220183246)	('>500', 6.005168115503217)	('>1k', 15.066637531568519)	('>5k', 5.601393131031278)	('>10k+', 27.15381581591913)
MSM6J2HP_R1	(1.0, 11.224775701392396)	(2.0, 7.779469033529843)	(3.0, 4.5277883166459265)	(4.0, 2.510791407137084)	(5.0, 1.5470101464076276)	(6.0, 1.0801865250853206)	(7.0, 0.8381432851419226)	(8.0, 0.7100238752817408)	(9.0, 0.6023888560144391)	('>10', 9.293819909863332)	('>50', 4.756293523659972)	('>100', 14.487636344769317)	('>500', 6.184736607886608)	('>1k', 14.565266533221532)	('>5k', 6.645255093100054)	('>10k+', 13.246414840862888)
MSM6J2HP_R2	(1.0, 11.700504926616901)	(2.0, 7.315650922174968)	(3.0, 4.327372870611288)	(4.0, 2.445065541784865)	(5.0, 1.5776032753461133)	(6.0, 1.113471807686346)	(7.0, 0.8592210447288784)	(8.0, 0.7307916696479995)	(9.0, 0.6275743161742849)	('>10', 9.546055051014077)	('>50', 4.684854150543108)	('>100', 14.258647444708538)	('>500', 7.607762797939813)	('>1k', 17.220945794946633)	('>5k', 4.844990611034867)	('>10k+', 11.139487775041289)
