Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
MSM79H54_R1	(50, 12985.0)	(51, 13312.0)	(52, 13728.0)	(53, 15800.0)	(54, 19656.0)	(55, 19027.0)	(56, 33614.0)	(57, 15640.0)	(58, 14809.0)	(59, 14729.0)	(60, 15398.0)	(61, 15552.0)	(62, 15878.0)	(63, 16908.0)	(64, 17913.0)	(65, 17411.0)	(66, 19096.0)	(67, 19157.0)	(68, 19456.0)	(69, 20502.0)	(70, 20185.0)	(71, 22606.0)	(72, 23688.0)	(73, 24821.0)	(74, 23845.0)	(75, 25337.0)	(76, 6115.0)	(77, 5956.0)	(78, 6275.0)	(79, 6546.0)	(80, 6819.0)	(81, 6907.0)	(82, 7688.0)	(83, 8335.0)	(84, 8568.0)	(85, 9544.0)	(86, 10774.0)	(87, 12755.0)	(88, 18592.0)	(89, 37295.0)	(90, 70470.0)	(91, 242493.0)	(92, 2757889.0)
MSM79H54_R2	(50, 37992.0)	(52, 37075.0)	(54, 42623.0)	(56, 59139.0)	(58, 70689.0)	(60, 56227.0)	(62, 50009.0)	(64, 50078.0)	(66, 50019.0)	(68, 51401.0)	(70, 53681.0)	(72, 53880.0)	(74, 61346.0)	(76, 59857.0)	(78, 62442.0)	(80, 54330.0)	(82, 29791.0)	(84, 29573.0)	(86, 31064.0)	(88, 42986.0)	(90, 46966.0)	(92, 71589.0)	(94, 305056.0)	(96, 1287632.0)	(98, 1000687.0)	(100, 17942.0)																	
MSM79H5E_R1	(50, 241.0)	(51, 216.0)	(52, 209.0)	(53, 240.0)	(54, 277.0)	(55, 187.0)	(56, 233.0)	(57, 260.0)	(58, 290.0)	(59, 260.0)	(60, 268.0)	(61, 305.0)	(62, 271.0)	(63, 341.0)	(64, 249.0)	(65, 337.0)	(66, 321.0)	(67, 376.0)	(68, 330.0)	(69, 450.0)	(70, 376.0)	(71, 432.0)	(72, 387.0)	(73, 388.0)	(74, 432.0)	(75, 418.0)	(76, 218.0)	(77, 200.0)	(78, 212.0)	(79, 208.0)	(80, 225.0)	(81, 243.0)	(82, 239.0)	(83, 251.0)	(84, 280.0)	(85, 326.0)	(86, 356.0)	(87, 425.0)	(88, 724.0)	(89, 1332.0)	(90, 2765.0)	(91, 12355.0)	(92, 165546.0)
MSM79H5E_R2	(50, 2140.0)	(52, 1971.0)	(54, 2445.0)	(56, 2205.0)	(58, 1840.0)	(60, 1740.0)	(62, 1728.0)	(64, 1826.0)	(66, 1726.0)	(68, 1638.0)	(70, 1702.0)	(72, 1779.0)	(74, 2312.0)	(76, 2241.0)	(78, 2008.0)	(80, 1971.0)	(82, 1799.0)	(84, 1772.0)	(86, 1664.0)	(88, 1856.0)	(90, 2069.0)	(92, 3719.0)	(94, 18741.0)	(96, 69964.0)	(98, 60219.0)	(100, 924.0)																	
MSM79H81_R1	(50, 2930.0)	(51, 2898.0)	(52, 2843.0)	(53, 3076.0)	(54, 3024.0)	(55, 3157.0)	(56, 3425.0)	(57, 3402.0)	(58, 3492.0)	(59, 3682.0)	(60, 3710.0)	(61, 4011.0)	(62, 4281.0)	(63, 4068.0)	(64, 4486.0)	(65, 4354.0)	(66, 4730.0)	(67, 4815.0)	(68, 4715.0)	(69, 4973.0)	(70, 5135.0)	(71, 5597.0)	(72, 5708.0)	(73, 6045.0)	(74, 5774.0)	(75, 5612.0)	(76, 3732.0)	(77, 3837.0)	(78, 3979.0)	(79, 4203.0)	(80, 4329.0)	(81, 4687.0)	(82, 4701.0)	(83, 5361.0)	(84, 5753.0)	(85, 6243.0)	(86, 7291.0)	(87, 9132.0)	(88, 12720.0)	(89, 22730.0)	(90, 48277.0)	(91, 213162.0)	(92, 2482649.0)
MSM79H81_R2	(50, 33229.0)	(52, 32121.0)	(54, 32220.0)	(56, 30170.0)	(58, 29559.0)	(60, 27722.0)	(62, 29987.0)	(64, 31984.0)	(66, 31876.0)	(68, 29105.0)	(70, 30018.0)	(72, 31654.0)	(74, 33686.0)	(76, 32913.0)	(78, 32694.0)	(80, 32229.0)	(82, 29194.0)	(84, 28182.0)	(86, 27148.0)	(88, 30215.0)	(90, 36167.0)	(92, 111116.0)	(94, 547299.0)	(96, 1217725.0)	(98, 402050.0)	(100, 22466.0)																	
MSM79H8D_R1	(50, 13791.0)	(51, 13782.0)	(52, 14607.0)	(53, 16623.0)	(54, 18191.0)	(55, 20465.0)	(56, 21215.0)	(57, 16723.0)	(58, 17522.0)	(59, 17973.0)	(60, 18283.0)	(61, 21014.0)	(62, 22292.0)	(63, 21828.0)	(64, 24087.0)	(65, 23626.0)	(66, 22346.0)	(67, 24491.0)	(68, 24567.0)	(69, 24947.0)	(70, 25931.0)	(71, 27957.0)	(72, 30200.0)	(73, 33519.0)	(74, 32488.0)	(75, 31273.0)	(76, 5149.0)	(77, 5074.0)	(78, 5216.0)	(79, 5292.0)	(80, 5596.0)	(81, 5703.0)	(82, 6073.0)	(83, 6241.0)	(84, 6742.0)	(85, 7749.0)	(86, 9149.0)	(87, 11626.0)	(88, 15682.0)	(89, 30547.0)	(90, 94653.0)	(91, 491825.0)	(92, 10546431.0)
MSM79H8D_R2	(50, 44532.0)	(52, 44471.0)	(54, 50706.0)	(56, 62686.0)	(58, 66898.0)	(60, 68169.0)	(62, 67575.0)	(64, 69967.0)	(66, 76724.0)	(68, 78036.0)	(70, 84613.0)	(72, 83467.0)	(74, 94944.0)	(76, 95625.0)	(78, 99488.0)	(80, 83665.0)	(82, 53871.0)	(84, 58468.0)	(86, 60904.0)	(88, 71925.0)	(90, 103326.0)	(92, 222044.0)	(94, 1219921.0)	(96, 4783118.0)	(98, 4033581.0)	(100, 59765.0)																	
MSM9VZFL_R1	(50, 9039.0)	(51, 9468.0)	(52, 9534.0)	(53, 11009.0)	(54, 11649.0)	(55, 12167.0)	(56, 14744.0)	(57, 12385.0)	(58, 13499.0)	(59, 12913.0)	(60, 12467.0)	(61, 13367.0)	(62, 14966.0)	(63, 13930.0)	(64, 15299.0)	(65, 14659.0)	(66, 15296.0)	(67, 16663.0)	(68, 18064.0)	(69, 20531.0)	(70, 19904.0)	(71, 20745.0)	(72, 24352.0)	(73, 22898.0)	(74, 21374.0)	(75, 20923.0)	(76, 3558.0)	(77, 3727.0)	(78, 3753.0)	(79, 3779.0)	(80, 4159.0)	(81, 4168.0)	(82, 4519.0)	(83, 4709.0)	(84, 5058.0)	(85, 5763.0)	(86, 6867.0)	(87, 9103.0)	(88, 13870.0)	(89, 33474.0)	(90, 68704.0)	(91, 382605.0)	(92, 6887922.0)
MSM9VZFL_R2	(50, 29298.0)	(52, 28964.0)	(54, 35452.0)	(56, 42117.0)	(58, 44378.0)	(60, 45846.0)	(62, 45790.0)	(64, 47333.0)	(66, 50728.0)	(68, 49099.0)	(70, 53738.0)	(72, 59504.0)	(74, 67342.0)	(76, 70872.0)	(78, 66986.0)	(80, 56502.0)	(82, 38163.0)	(84, 40148.0)	(86, 42266.0)	(88, 61589.0)	(90, 69235.0)	(92, 144614.0)	(94, 767879.0)	(96, 3237771.0)	(98, 2613610.0)	(100, 38359.0)																	
MSM9VZHX_R1	(50, 3974.0)	(51, 4359.0)	(52, 4361.0)	(53, 5115.0)	(54, 5207.0)	(55, 9060.0)	(56, 7751.0)	(57, 5820.0)	(58, 5574.0)	(59, 5298.0)	(60, 5694.0)	(61, 8013.0)	(62, 6648.0)	(63, 10275.0)	(64, 8804.0)	(65, 6571.0)	(66, 6089.0)	(67, 6761.0)	(68, 7106.0)	(69, 6736.0)	(70, 6987.0)	(71, 7576.0)	(72, 7916.0)	(73, 8809.0)	(74, 8496.0)	(75, 8468.0)	(76, 4828.0)	(77, 4991.0)	(78, 4953.0)	(79, 5167.0)	(80, 5251.0)	(81, 5468.0)	(82, 5681.0)	(83, 6393.0)	(84, 6786.0)	(85, 7686.0)	(86, 9644.0)	(87, 11426.0)	(88, 17425.0)	(89, 33207.0)	(90, 67749.0)	(91, 332309.0)	(92, 4073207.0)
MSM9VZHX_R2	(50, 50361.0)	(52, 50689.0)	(54, 53298.0)	(56, 46920.0)	(58, 51108.0)	(60, 43449.0)	(62, 42741.0)	(64, 47569.0)	(66, 51772.0)	(68, 46919.0)	(70, 41190.0)	(72, 41555.0)	(74, 44202.0)	(76, 42670.0)	(78, 44466.0)	(80, 46338.0)	(82, 49988.0)	(84, 39392.0)	(86, 38040.0)	(88, 41988.0)	(90, 51896.0)	(92, 235038.0)	(94, 919683.0)	(96, 1969015.0)	(98, 660146.0)	(100, 29206.0)																	
MSM9VZL5_R1	(50, 12426.0)	(51, 13093.0)	(52, 13375.0)	(53, 15200.0)	(54, 18876.0)	(55, 19360.0)	(56, 24520.0)	(57, 17143.0)	(58, 17612.0)	(59, 18326.0)	(60, 18759.0)	(61, 20928.0)	(62, 20752.0)	(63, 21338.0)	(64, 26328.0)	(65, 20921.0)	(66, 20539.0)	(67, 22556.0)	(68, 23525.0)	(69, 22822.0)	(70, 23656.0)	(71, 24134.0)	(72, 25553.0)	(73, 27690.0)	(74, 28691.0)	(75, 29231.0)	(76, 4286.0)	(77, 4255.0)	(78, 4349.0)	(79, 4342.0)	(80, 4619.0)	(81, 4544.0)	(82, 4867.0)	(83, 4976.0)	(84, 5350.0)	(85, 6058.0)	(86, 6915.0)	(87, 8239.0)	(88, 12147.0)	(89, 22988.0)	(90, 59576.0)	(91, 448221.0)	(92, 8013401.0)
MSM9VZL5_R2	(50, 34517.0)	(52, 33670.0)	(54, 41564.0)	(56, 56596.0)	(58, 63828.0)	(60, 56072.0)	(62, 60276.0)	(64, 61372.0)	(66, 66454.0)	(68, 70765.0)	(70, 66535.0)	(72, 70854.0)	(74, 77283.0)	(76, 75802.0)	(78, 81270.0)	(80, 67838.0)	(82, 38753.0)	(84, 41160.0)	(86, 42406.0)	(88, 48769.0)	(90, 62457.0)	(92, 135887.0)	(94, 871822.0)	(96, 3683259.0)	(98, 3203013.0)	(100, 54265.0)																	
MSM9VZL9_R1	(50, 31623.0)	(51, 33413.0)	(52, 33434.0)	(53, 38103.0)	(54, 48532.0)	(55, 50185.0)	(56, 48822.0)	(57, 42779.0)	(58, 46176.0)	(59, 44742.0)	(60, 47609.0)	(61, 53210.0)	(62, 54046.0)	(63, 66845.0)	(64, 85168.0)	(65, 52304.0)	(66, 53710.0)	(67, 59977.0)	(68, 62958.0)	(69, 54483.0)	(70, 55328.0)	(71, 60069.0)	(72, 90426.0)	(73, 68609.0)	(74, 66893.0)	(75, 60402.0)	(76, 8304.0)	(77, 8757.0)	(78, 8408.0)	(79, 9002.0)	(80, 9160.0)	(81, 9321.0)	(82, 9912.0)	(83, 10541.0)	(84, 11274.0)	(85, 12775.0)	(86, 15167.0)	(87, 20510.0)	(88, 29482.0)	(89, 92624.0)	(90, 149870.0)	(91, 792556.0)	(92, 12641445.0)
MSM9VZL9_R2	(50, 49335.0)	(52, 50711.0)	(54, 71228.0)	(56, 105862.0)	(58, 126576.0)	(60, 113217.0)	(62, 117832.0)	(64, 125674.0)	(66, 143953.0)	(68, 182386.0)	(70, 144164.0)	(72, 157199.0)	(74, 155321.0)	(76, 188294.0)	(78, 160656.0)	(80, 115385.0)	(82, 57409.0)	(84, 63293.0)	(86, 68077.0)	(88, 120927.0)	(90, 123380.0)	(92, 212170.0)	(94, 1371837.0)	(96, 6502802.0)	(98, 4651163.0)	(100, 70103.0)																	
PSM7J14X_R1	(50, 9666.0)	(51, 9825.0)	(52, 10718.0)	(53, 14299.0)	(54, 18124.0)	(55, 20932.0)	(56, 15711.0)	(57, 12655.0)	(58, 13574.0)	(59, 14160.0)	(60, 15423.0)	(61, 16117.0)	(62, 16803.0)	(63, 19909.0)	(64, 21321.0)	(65, 17627.0)	(66, 18939.0)	(67, 20444.0)	(68, 20278.0)	(69, 20075.0)	(70, 20788.0)	(71, 24333.0)	(72, 27085.0)	(73, 24254.0)	(74, 25960.0)	(75, 24270.0)	(76, 9008.0)	(77, 9789.0)	(78, 9784.0)	(79, 10353.0)	(80, 11388.0)	(81, 11227.0)	(82, 11768.0)	(83, 13577.0)	(84, 14078.0)	(85, 15871.0)	(86, 18319.0)	(87, 21429.0)	(88, 29950.0)	(89, 51936.0)	(90, 120001.0)	(91, 570012.0)	(92, 4915975.0)
PSM7J14X_R2	(50, 44002.0)	(52, 43761.0)	(54, 46874.0)	(56, 57746.0)	(58, 64504.0)	(60, 52304.0)	(62, 53845.0)	(64, 55876.0)	(66, 66409.0)	(68, 80261.0)	(70, 72208.0)	(72, 72183.0)	(74, 72201.0)	(76, 78825.0)	(78, 73301.0)	(80, 60279.0)	(82, 48074.0)	(84, 51196.0)	(86, 50973.0)	(88, 55991.0)	(90, 65645.0)	(92, 123058.0)	(94, 568536.0)	(96, 2578430.0)	(98, 1672151.0)	(100, 109122.0)																	
PSM7J15O_R1	(50, 19049.0)	(51, 19975.0)	(52, 20302.0)	(53, 20258.0)	(54, 21665.0)	(55, 22267.0)	(56, 25937.0)	(57, 26118.0)	(58, 28217.0)	(59, 26460.0)	(60, 28910.0)	(61, 32152.0)	(62, 34216.0)	(63, 41421.0)	(64, 80989.0)	(65, 61390.0)	(66, 39706.0)	(67, 41161.0)	(68, 60608.0)	(69, 64217.0)	(70, 42281.0)	(71, 50806.0)	(72, 69237.0)	(73, 55561.0)	(74, 51421.0)	(75, 48715.0)	(76, 6574.0)	(77, 6903.0)	(78, 7284.0)	(79, 7242.0)	(80, 7667.0)	(81, 7496.0)	(82, 7934.0)	(83, 8666.0)	(84, 8980.0)	(85, 11153.0)	(86, 12814.0)	(87, 16333.0)	(88, 25174.0)	(89, 75179.0)	(90, 121658.0)	(91, 543938.0)	(92, 7702109.0)
PSM7J15O_R2	(50, 43376.0)	(52, 39395.0)	(54, 48943.0)	(56, 66528.0)	(58, 69775.0)	(60, 74207.0)	(62, 82007.0)	(64, 78006.0)	(66, 92047.0)	(68, 160588.0)	(70, 108402.0)	(72, 110358.0)	(74, 156294.0)	(76, 143745.0)	(78, 133553.0)	(80, 96052.0)	(82, 45701.0)	(84, 50279.0)	(86, 56020.0)	(88, 106061.0)	(90, 101957.0)	(92, 151252.0)	(94, 700290.0)	(96, 3788825.0)	(98, 3058449.0)	(100, 48033.0)																	
PSM7J16U_R1	(50, 8961.0)	(51, 9204.0)	(52, 9884.0)	(53, 10443.0)	(54, 11106.0)	(55, 12006.0)	(56, 12009.0)	(57, 11177.0)	(58, 11321.0)	(59, 10882.0)	(60, 12458.0)	(61, 12266.0)	(62, 13237.0)	(63, 15353.0)	(64, 17867.0)	(65, 17050.0)	(66, 13831.0)	(67, 15623.0)	(68, 15002.0)	(69, 16492.0)	(70, 15729.0)	(71, 16198.0)	(72, 18651.0)	(73, 20087.0)	(74, 18908.0)	(75, 16898.0)	(76, 4943.0)	(77, 5165.0)	(78, 5337.0)	(79, 6054.0)	(80, 5781.0)	(81, 5810.0)	(82, 6320.0)	(83, 6586.0)	(84, 7134.0)	(85, 7881.0)	(86, 9895.0)	(87, 11911.0)	(88, 18402.0)	(89, 36929.0)	(90, 75135.0)	(91, 344958.0)	(92, 4452457.0)
PSM7J16U_R2	(50, 54075.0)	(52, 57147.0)	(54, 56969.0)	(56, 68930.0)	(58, 61279.0)	(60, 56035.0)	(62, 53929.0)	(64, 53432.0)	(66, 58237.0)	(68, 56492.0)	(70, 60976.0)	(72, 58710.0)	(74, 60626.0)	(76, 63582.0)	(78, 60712.0)	(80, 53688.0)	(82, 39552.0)	(84, 39439.0)	(86, 40194.0)	(88, 51520.0)	(90, 56599.0)	(92, 87357.0)	(94, 354238.0)	(96, 2225322.0)	(98, 1518403.0)	(100, 25898.0)																	
