Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
HSM67VFR_R1	(50, 6434.0)	(51, 6334.0)	(52, 6567.0)	(53, 6392.0)	(54, 6897.0)	(55, 7645.0)	(56, 9396.0)	(57, 8175.0)	(58, 8158.0)	(59, 7717.0)	(60, 7675.0)	(61, 8081.0)	(62, 8375.0)	(63, 8945.0)	(64, 9256.0)	(65, 9071.0)	(66, 9737.0)	(67, 10305.0)	(68, 10888.0)	(69, 10928.0)	(70, 11740.0)	(71, 12190.0)	(72, 11644.0)	(73, 11780.0)	(74, 11948.0)	(75, 11434.0)	(76, 4640.0)	(77, 4883.0)	(78, 4877.0)	(79, 5296.0)	(80, 5274.0)	(81, 5570.0)	(82, 5638.0)	(83, 6298.0)	(84, 7101.0)	(85, 7914.0)	(86, 9330.0)	(87, 13234.0)	(88, 19870.0)	(89, 33090.0)	(90, 57366.0)	(91, 245045.0)	(92, 2799346.0)
HSM67VFR_R2	(50, 34614.0)	(52, 34943.0)	(54, 36828.0)	(56, 35995.0)	(58, 36705.0)	(60, 34867.0)	(62, 34147.0)	(64, 33380.0)	(66, 36403.0)	(68, 34614.0)	(70, 36737.0)	(72, 39826.0)	(74, 43349.0)	(76, 39246.0)	(78, 41462.0)	(80, 38805.0)	(82, 32934.0)	(84, 30892.0)	(86, 32866.0)	(88, 43596.0)	(90, 42178.0)	(92, 87085.0)	(94, 418083.0)	(96, 1349986.0)	(98, 827889.0)	(100, 15054.0)																	
HSM67VI3_R1	(50, 6935.0)	(51, 7043.0)	(52, 6759.0)	(53, 7560.0)	(54, 8366.0)	(55, 9292.0)	(56, 9237.0)	(57, 8605.0)	(58, 8885.0)	(59, 8852.0)	(60, 8346.0)	(61, 8734.0)	(62, 8932.0)	(63, 9001.0)	(64, 9239.0)	(65, 9096.0)	(66, 10516.0)	(67, 10419.0)	(68, 10398.0)	(69, 11367.0)	(70, 11723.0)	(71, 12450.0)	(72, 13155.0)	(73, 12520.0)	(74, 13259.0)	(75, 13252.0)	(76, 4427.0)	(77, 4211.0)	(78, 4438.0)	(79, 4683.0)	(80, 4761.0)	(81, 5029.0)	(82, 5021.0)	(83, 5632.0)	(84, 6214.0)	(85, 6875.0)	(86, 7782.0)	(87, 9988.0)	(88, 13843.0)	(89, 31139.0)	(90, 69165.0)	(91, 323966.0)	(92, 5916878.0)
HSM67VI3_R2	(50, 41638.0)	(52, 41241.0)	(54, 45917.0)	(56, 45961.0)	(58, 45870.0)	(60, 44067.0)	(62, 40909.0)	(64, 41529.0)	(66, 44224.0)	(68, 44031.0)	(70, 52842.0)	(72, 66847.0)	(74, 90950.0)	(76, 72006.0)	(78, 62165.0)	(80, 53142.0)	(82, 50416.0)	(84, 55732.0)	(86, 53362.0)	(88, 69142.0)	(90, 76396.0)	(92, 188842.0)	(94, 663968.0)	(96, 2454525.0)	(98, 2185458.0)	(100, 46813.0)																	
HSM6XRQ8_R1	(50, 12762.0)	(51, 13192.0)	(52, 13669.0)	(53, 16169.0)	(54, 19823.0)	(55, 20190.0)	(56, 22747.0)	(57, 16888.0)	(58, 16068.0)	(59, 16548.0)	(60, 16155.0)	(61, 19386.0)	(62, 20262.0)	(63, 24553.0)	(64, 20633.0)	(65, 20818.0)	(66, 20651.0)	(67, 19914.0)	(68, 19603.0)	(69, 19984.0)	(70, 20358.0)	(71, 20689.0)	(72, 21594.0)	(73, 21784.0)	(74, 22672.0)	(75, 23595.0)	(76, 2864.0)	(77, 3025.0)	(78, 3131.0)	(79, 3114.0)	(80, 3404.0)	(81, 3400.0)	(82, 3824.0)	(83, 4021.0)	(84, 4413.0)	(85, 5056.0)	(86, 6831.0)	(87, 11787.0)	(88, 19672.0)	(89, 41521.0)	(90, 64289.0)	(91, 345519.0)	(92, 5638635.0)
HSM6XRQ8_R2	(50, 27599.0)	(52, 28943.0)	(54, 37195.0)	(56, 57683.0)	(58, 61763.0)	(60, 59251.0)	(62, 54261.0)	(64, 56192.0)	(66, 62223.0)	(68, 67655.0)	(70, 63203.0)	(72, 63174.0)	(74, 69683.0)	(76, 68408.0)	(78, 69317.0)	(80, 58551.0)	(82, 36773.0)	(84, 38575.0)	(86, 47407.0)	(88, 74805.0)	(90, 63714.0)	(92, 116700.0)	(94, 699376.0)	(96, 2587251.0)	(98, 2054574.0)	(100, 40937.0)																	
HSM6XRT8_R1	(50, 12115.0)	(51, 11084.0)	(52, 10691.0)	(53, 12095.0)	(54, 12776.0)	(55, 13657.0)	(56, 14331.0)	(57, 12863.0)	(58, 12159.0)	(59, 12123.0)	(60, 12454.0)	(61, 13169.0)	(62, 13870.0)	(63, 14252.0)	(64, 14422.0)	(65, 13982.0)	(66, 14357.0)	(67, 15289.0)	(68, 15337.0)	(69, 17202.0)	(70, 16418.0)	(71, 16484.0)	(72, 19388.0)	(73, 19675.0)	(74, 20794.0)	(75, 21688.0)	(76, 5002.0)	(77, 4972.0)	(78, 5355.0)	(79, 5567.0)	(80, 5777.0)	(81, 6013.0)	(82, 6218.0)	(83, 6973.0)	(84, 7375.0)	(85, 8058.0)	(86, 9926.0)	(87, 11744.0)	(88, 17230.0)	(89, 37400.0)	(90, 70166.0)	(91, 298910.0)	(92, 3369678.0)
HSM6XRT8_R2	(50, 45732.0)	(52, 43794.0)	(54, 49750.0)	(56, 69408.0)	(58, 54148.0)	(60, 56556.0)	(62, 48634.0)	(64, 50078.0)	(66, 51627.0)	(68, 52477.0)	(70, 51278.0)	(72, 53982.0)	(74, 60173.0)	(76, 62195.0)	(78, 61627.0)	(80, 56081.0)	(82, 35664.0)	(84, 36383.0)	(86, 36396.0)	(88, 44838.0)	(90, 51629.0)	(92, 139323.0)	(94, 447517.0)	(96, 1467870.0)	(98, 1111704.0)	(100, 20175.0)																	
HSMA33J3_R1	(50, 33103.0)	(51, 31518.0)	(52, 33672.0)	(53, 34034.0)	(54, 39612.0)	(55, 52671.0)	(56, 155057.0)	(57, 803594.0)	(58, 46013.0)	(59, 35044.0)	(60, 35229.0)	(61, 39765.0)	(62, 43687.0)	(63, 40093.0)	(64, 44125.0)	(65, 42472.0)	(66, 46032.0)	(67, 49298.0)	(68, 44569.0)	(69, 49070.0)	(70, 49142.0)	(71, 48700.0)	(72, 51264.0)	(73, 50897.0)	(74, 51406.0)	(75, 50997.0)	(76, 6423.0)	(77, 6502.0)	(78, 6843.0)	(79, 7104.0)	(80, 7135.0)	(81, 7607.0)	(82, 7817.0)	(83, 9201.0)	(84, 10034.0)	(85, 11053.0)	(86, 13284.0)	(87, 15368.0)	(88, 22975.0)	(89, 43186.0)	(90, 99856.0)	(91, 553729.0)	(92, 8253251.0)
HSMA33J3_R2	(50, 85003.0)	(52, 89319.0)	(54, 111334.0)	(56, 173874.0)	(58, 137322.0)	(60, 217412.0)	(62, 909039.0)	(64, 130253.0)	(66, 130819.0)	(68, 123198.0)	(70, 129337.0)	(72, 131200.0)	(74, 147545.0)	(76, 145170.0)	(78, 141549.0)	(80, 115006.0)	(82, 67671.0)	(84, 66141.0)	(86, 61358.0)	(88, 69937.0)	(90, 80880.0)	(92, 171911.0)	(94, 1097791.0)	(96, 3787615.0)	(98, 2725131.0)	(100, 36617.0)																	
MSM6J2HP_R1	(50, 14232.0)	(51, 15373.0)	(52, 15843.0)	(53, 20005.0)	(54, 24634.0)	(55, 22349.0)	(56, 28880.0)	(57, 17401.0)	(58, 17144.0)	(59, 17382.0)	(60, 17656.0)	(61, 20710.0)	(62, 21902.0)	(63, 20763.0)	(64, 21966.0)	(65, 21139.0)	(66, 22258.0)	(67, 24516.0)	(68, 25353.0)	(69, 36146.0)	(70, 28636.0)	(71, 30186.0)	(72, 32214.0)	(73, 31347.0)	(74, 31031.0)	(75, 28834.0)	(76, 4835.0)	(77, 5033.0)	(78, 5195.0)	(79, 5275.0)	(80, 5493.0)	(81, 5546.0)	(82, 5855.0)	(83, 6468.0)	(84, 6835.0)	(85, 7502.0)	(86, 8752.0)	(87, 10428.0)	(88, 15226.0)	(89, 29085.0)	(90, 87779.0)	(91, 448586.0)	(92, 7520173.0)
MSM6J2HP_R2	(50, 32611.0)	(52, 31520.0)	(54, 39724.0)	(56, 61481.0)	(58, 67672.0)	(60, 54944.0)	(62, 52679.0)	(64, 57924.0)	(66, 62592.0)	(68, 60596.0)	(70, 64283.0)	(72, 72169.0)	(74, 93639.0)	(76, 83644.0)	(78, 83119.0)	(80, 65277.0)	(82, 37201.0)	(84, 39573.0)	(86, 41511.0)	(88, 48051.0)	(90, 75009.0)	(92, 134402.0)	(94, 799077.0)	(96, 3515802.0)	(98, 3070023.0)	(100, 41443.0)																	
MSM6J2JN_R1	(50, 43348.0)	(51, 43958.0)	(52, 48721.0)	(53, 61808.0)	(54, 75607.0)	(55, 105709.0)	(56, 222309.0)	(57, 1032632.0)	(58, 60829.0)	(59, 51467.0)	(60, 52528.0)	(61, 62772.0)	(62, 65620.0)	(63, 90205.0)	(64, 116872.0)	(65, 67835.0)	(66, 63753.0)	(67, 88152.0)	(68, 88815.0)	(69, 123542.0)	(70, 67208.0)	(71, 66578.0)	(72, 84595.0)	(73, 84099.0)	(74, 72890.0)	(75, 67640.0)	(76, 8815.0)	(77, 8931.0)	(78, 9691.0)	(79, 10128.0)	(80, 10847.0)	(81, 11649.0)	(82, 10711.0)	(83, 11509.0)	(84, 12226.0)	(85, 13471.0)	(86, 15700.0)	(87, 17831.0)	(88, 30516.0)	(89, 58309.0)	(90, 137550.0)	(91, 818284.0)	(92, 12614532.0)
MSM6J2JN_R2	(50, 129636.0)	(52, 129246.0)	(54, 150858.0)	(56, 193330.0)	(58, 248708.0)	(60, 294871.0)	(62, 1179302.0)	(64, 169875.0)	(66, 219306.0)	(68, 318895.0)	(70, 227304.0)	(72, 257102.0)	(74, 308951.0)	(76, 259295.0)	(78, 208682.0)	(80, 161701.0)	(82, 97874.0)	(84, 107313.0)	(86, 92904.0)	(88, 97047.0)	(90, 100560.0)	(92, 206843.0)	(94, 1016248.0)	(96, 5979136.0)	(98, 4598453.0)	(100, 56752.0)																	
MSM6J2JZ_R1	(50, 24870.0)	(51, 23674.0)	(52, 24454.0)	(53, 23142.0)	(54, 25440.0)	(55, 25646.0)	(56, 27451.0)	(57, 25615.0)	(58, 27237.0)	(59, 26638.0)	(60, 27143.0)	(61, 33901.0)	(62, 36128.0)	(63, 31383.0)	(64, 36208.0)	(65, 33867.0)	(66, 36840.0)	(67, 36669.0)	(68, 32547.0)	(69, 38854.0)	(70, 34390.0)	(71, 34663.0)	(72, 37937.0)	(73, 38758.0)	(74, 38193.0)	(75, 37266.0)	(76, 5394.0)	(77, 5545.0)	(78, 5860.0)	(79, 6117.0)	(80, 6678.0)	(81, 6697.0)	(82, 7170.0)	(83, 7955.0)	(84, 7960.0)	(85, 9167.0)	(86, 10523.0)	(87, 13788.0)	(88, 19104.0)	(89, 35348.0)	(90, 107909.0)	(91, 607100.0)	(92, 12234944.0)
MSM6J2JZ_R2	(50, 47725.0)	(52, 53142.0)	(54, 66663.0)	(56, 103424.0)	(58, 88132.0)	(60, 92041.0)	(62, 85168.0)	(64, 93493.0)	(66, 105826.0)	(68, 99864.0)	(70, 107896.0)	(72, 106436.0)	(74, 113643.0)	(76, 112710.0)	(78, 113204.0)	(80, 93054.0)	(82, 57781.0)	(84, 61557.0)	(86, 65312.0)	(88, 74552.0)	(90, 108786.0)	(92, 180121.0)	(94, 1470064.0)	(96, 5127528.0)	(98, 5207455.0)	(100, 80596.0)																	
MSM6J2M3_R1	(50, 8178.0)	(51, 8573.0)	(52, 8949.0)	(53, 8601.0)	(54, 9415.0)	(55, 9333.0)	(56, 10013.0)	(57, 10011.0)	(58, 10180.0)	(59, 10114.0)	(60, 10578.0)	(61, 10872.0)	(62, 11502.0)	(63, 11290.0)	(64, 11407.0)	(65, 11750.0)	(66, 12624.0)	(67, 13986.0)	(68, 14103.0)	(69, 14464.0)	(70, 13939.0)	(71, 14606.0)	(72, 16138.0)	(73, 15499.0)	(74, 16213.0)	(75, 16368.0)	(76, 7879.0)	(77, 8090.0)	(78, 8029.0)	(79, 8376.0)	(80, 8871.0)	(81, 9231.0)	(82, 9588.0)	(83, 10800.0)	(84, 11521.0)	(85, 13132.0)	(86, 15059.0)	(87, 18249.0)	(88, 26274.0)	(89, 50065.0)	(90, 93112.0)	(91, 380465.0)	(92, 4136001.0)
MSM6J2M3_R2	(50, 56552.0)	(52, 57058.0)	(54, 55736.0)	(56, 57633.0)	(58, 55598.0)	(60, 53249.0)	(62, 50505.0)	(64, 50547.0)	(66, 49349.0)	(68, 49013.0)	(70, 50361.0)	(72, 52290.0)	(74, 54627.0)	(76, 55307.0)	(78, 55412.0)	(80, 52442.0)	(82, 42248.0)	(84, 41142.0)	(86, 40867.0)	(88, 52815.0)	(90, 56391.0)	(92, 98280.0)	(94, 423463.0)	(96, 1973825.0)	(98, 1511659.0)	(100, 27079.0)																	
MSM6J2PS_R1	(50, 30639.0)	(51, 32499.0)	(52, 33894.0)	(53, 39757.0)	(54, 45867.0)	(55, 44430.0)	(56, 48055.0)	(57, 39178.0)	(58, 41340.0)	(59, 39409.0)	(60, 41480.0)	(61, 46245.0)	(62, 47766.0)	(63, 47271.0)	(64, 51378.0)	(65, 48156.0)	(66, 51264.0)	(67, 52319.0)	(68, 49881.0)	(69, 59484.0)	(70, 59628.0)	(71, 58285.0)	(72, 62410.0)	(73, 64595.0)	(74, 64629.0)	(75, 59312.0)	(76, 6591.0)	(77, 6949.0)	(78, 7188.0)	(79, 7217.0)	(80, 7722.0)	(81, 7886.0)	(82, 8312.0)	(83, 9066.0)	(84, 9582.0)	(85, 10944.0)	(86, 13666.0)	(87, 22747.0)	(88, 38808.0)	(89, 86345.0)	(90, 116960.0)	(91, 515607.0)	(92, 7807095.0)
MSM6J2PS_R2	(50, 34528.0)	(52, 35570.0)	(54, 56783.0)	(56, 95612.0)	(58, 105784.0)	(60, 98156.0)	(62, 96147.0)	(64, 107619.0)	(66, 110648.0)	(68, 115515.0)	(70, 118675.0)	(72, 123335.0)	(74, 152079.0)	(76, 144796.0)	(78, 135118.0)	(80, 104183.0)	(82, 41739.0)	(84, 45378.0)	(86, 56812.0)	(88, 118454.0)	(90, 92383.0)	(92, 156024.0)	(94, 871222.0)	(96, 3829411.0)	(98, 3054614.0)	(100, 41271.0)																	
