Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
HSM67VFR_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 4.319674331112829e-05)	(34, 0.00010079240105929934)	(36, 0.00014398914437042763)	(38, 0.00021598371655564145)	(40, 0.0002735793743038125)	(42, 0.0003599728609260691)	(44, 0.00037437177536311185)	(46, 0.0003887706898001546)	(48, 0.00044636634754832564)	(50, 0.0005327598341705823)	(52, 0.000604754406355796)	(54, 0.0006623500641039671)	(56, 0.0007199457218521381)	(58, 0.0007631424651632665)	(60, 0.0009503283528448223)	(62, 0.0014686892725783618)	(64, 0.0026062035131047398)	(66, 0.0044492645610462135)	(68, 0.006753090870973056)	(70, 0.009172108496396238)	(72, 0.012210279442612262)	(74, 0.014672493811346575)	(76, 0.1318652584144376)	(78, 0.6215579395038249)	(80, 1.115843874298629)					
HSM67VFR_R2 - illumina_universal_adapter	(1, 2.8797828874085523e-05)	(2, 5.759565774817105e-05)	(3, 5.759565774817105e-05)	(4, 5.759565774817105e-05)	(5, 5.759565774817105e-05)	(6, 5.759565774817105e-05)	(7, 5.759565774817105e-05)	(8, 5.759565774817105e-05)	(9, 5.759565774817105e-05)	(10, 7.199457218521382e-05)	(12, 8.639348662225658e-05)	(14, 8.639348662225658e-05)	(16, 8.639348662225658e-05)	(18, 8.639348662225658e-05)	(20, 8.639348662225658e-05)	(22, 8.639348662225658e-05)	(24, 8.639348662225658e-05)	(26, 8.639348662225658e-05)	(28, 0.00010079240105929934)	(30, 0.0001151913154963421)	(32, 0.00012959022993338487)	(34, 0.0001583880588074704)	(36, 0.000244781545429727)	(38, 0.0003599728609260691)	(40, 0.00043196743311128285)	(42, 0.000604754406355796)	(44, 0.0007055468074150953)	(46, 0.0007631424651632665)	(48, 0.0008207381229114374)	(50, 0.0009503283528448223)	(52, 0.0009503283528448223)	(54, 0.0011375142405263782)	(56, 0.0012815033848968059)	(58, 0.0014974871014524472)	(60, 0.0017710664757562599)	(62, 0.001943853449000773)	(64, 0.0021022415078082433)	(66, 0.002548607855356569)	(68, 0.0033693459782680067)	(70, 0.004492461304357342)	(72, 0.006119538635743174)	(74, 0.007545031165010408)	(76, 0.009143310667522154)	(78, 0.013059815394397786)	(80, 0.06758850436747872)	(82, 0.32805046761914525)	(84, 0.7285418737710526)	(86, 1.0255914786072449)	(88, 1.0623519071650152)	(90, 1.0632446398601116)
HSM67VI3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 7.487279486516383e-06)	(18, 1.4974558973032767e-05)	(20, 1.4974558973032767e-05)	(22, 1.4974558973032767e-05)	(24, 1.4974558973032767e-05)	(26, 1.4974558973032767e-05)	(28, 1.4974558973032767e-05)	(30, 1.4974558973032767e-05)	(32, 1.4974558973032767e-05)	(34, 2.9949117946065533e-05)	(36, 2.9949117946065533e-05)	(38, 4.49236769190983e-05)	(40, 4.49236769190983e-05)	(42, 5.9898235892131066e-05)	(44, 8.98473538381966e-05)	(46, 0.0001347710307572949)	(48, 0.00014974558973032768)	(50, 0.0001722074281898768)	(52, 0.0002994911794606553)	(54, 0.00035190213586627)	(56, 0.00042677493073143386)	(58, 0.0004716986076505321)	(60, 0.0006888297127595072)	(62, 0.0013252484691133998)	(64, 0.002523213186956021)	(66, 0.0039158471714480685)	(68, 0.0055031504225895415)	(70, 0.007240199263461342)	(72, 0.00954628134530839)	(74, 0.01155287224769478)	(76, 0.07779283386490522)	(78, 0.3758015319872303)	(80, 0.6673711697511513)					
HSM67VI3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 7.487279486516383e-06)	(14, 7.487279486516383e-05)	(16, 7.487279486516383e-05)	(18, 7.487279486516383e-05)	(20, 0.00010482191281122936)	(22, 0.00011979647178426213)	(24, 0.0001347710307572949)	(26, 0.00014225831024381128)	(28, 0.00015723286921684405)	(30, 0.00016472014870336042)	(32, 0.0001722074281898768)	(34, 0.00018718198716290957)	(36, 0.0002171311051089751)	(38, 0.0002695420615145898)	(40, 0.0003219530179202045)	(42, 0.00041180037175840106)	(44, 0.0005241095640561468)	(46, 0.0005390841230291795)	(48, 0.0006214441973808598)	(50, 0.0007861643460842202)	(52, 0.0008310880230033184)	(54, 0.000861037140949384)	(56, 0.0009433972153010642)	(58, 0.0010257572896527445)	(60, 0.0010931428050313919)	(62, 0.0011530410409235229)	(64, 0.0013252484691133998)	(66, 0.001781972517790899)	(68, 0.0025831114228481522)	(70, 0.0036762542278795446)	(72, 0.004874218945722165)	(74, 0.006798449773756876)	(76, 0.008767604278710685)	(78, 0.012421396668130679)	(80, 0.04207851071422207)	(82, 0.20484447947160173)	(84, 0.4637321422768787)	(86, 0.6553840352932385)	(88, 0.681649411731938)	(90, 0.6822409068113728)
HSM6XRQ8_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 3.0006542926685164e-05)	(30, 3.0006542926685164e-05)	(32, 4.500981439002775e-05)	(34, 0.00010502290024339807)	(36, 0.0002700588863401665)	(38, 0.0003300719721935368)	(40, 0.0005701243156070181)	(42, 0.0007351603017037865)	(44, 0.0008701897448738698)	(46, 0.0010877371810923372)	(48, 0.0012752780743841194)	(50, 0.0014553173319442304)	(52, 0.0016878680396260407)	(54, 0.0019429236545028643)	(56, 0.0024905430629148686)	(58, 0.0027230937705966787)	(60, 0.00319569682169197)	(62, 0.005018594304488094)	(64, 0.008701897448738697)	(66, 0.013180373980546459)	(68, 0.017351283447355696)	(70, 0.020884553876972876)	(72, 0.024680381557198545)	(74, 0.028843789388276114)	(76, 0.19572517787503566)	(78, 0.8611052640028158)	(80, 1.5914870237455276)					
HSM6XRQ8_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 1.5003271463342582e-05)	(7, 1.5003271463342582e-05)	(8, 1.5003271463342582e-05)	(9, 4.500981439002775e-05)	(10, 0.00018754089329178227)	(12, 0.00019504252902345358)	(14, 0.00019504252902345358)	(16, 0.00019504252902345358)	(18, 0.00019504252902345358)	(20, 0.0002400523434134813)	(22, 0.0002400523434134813)	(24, 0.0002400523434134813)	(26, 0.0002400523434134813)	(28, 0.0002400523434134813)	(30, 0.0002475539791451526)	(32, 0.00030006542926685163)	(34, 0.0004575997796319488)	(36, 0.0005926292228020319)	(38, 0.0008176782947521707)	(40, 0.001057730638165652)	(42, 0.0015303336892609435)	(44, 0.002190477633648017)	(46, 0.00249804469864654)	(48, 0.002858123213766762)	(50, 0.0029256379353518034)	(52, 0.003150687007301942)	(54, 0.0034657557080321364)	(56, 0.0038558407660790437)	(58, 0.004575997796319488)	(60, 0.005198633562048204)	(62, 0.0056487317059484825)	(64, 0.006196351114360486)	(66, 0.007929228968376554)	(68, 0.01145499776226206)	(70, 0.01627104790199503)	(72, 0.02138716347099485)	(74, 0.026105692346216094)	(76, 0.03086172940009569)	(78, 0.038543404389327095)	(80, 0.10262237680926325)	(82, 0.4538639650375764)	(84, 1.1037081635650654)	(86, 1.5415636379512554)	(88, 1.6134968229822513)	(90, 1.614577058527612)
HSM6XRT8_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.3479475064680082e-05)	(36, 5.8698687661700206e-05)	(38, 0.00011739737532340041)	(40, 0.0001408768503880805)	(42, 0.00035219212597020126)	(44, 0.0005165484514229619)	(46, 0.000528288188955302)	(48, 0.0006926445144080624)	(50, 0.0009391790025872034)	(52, 0.0010096174277812436)	(54, 0.001138754540636984)	(56, 0.0012913711285574047)	(58, 0.001443987716477825)	(60, 0.0019487964303684469)	(62, 0.003064071495940751)	(64, 0.00547071769007046)	(66, 0.008006500997055908)	(68, 0.010683161154429438)	(70, 0.013817671075564229)	(72, 0.016764345196181578)	(74, 0.020415403568739332)	(76, 0.2054688862910154)	(78, 0.9526092623242004)	(80, 1.7232760723721947)					
HSM6XRT8_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 4.6958950129360165e-05)	(6, 4.6958950129360165e-05)	(7, 4.6958950129360165e-05)	(8, 4.6958950129360165e-05)	(9, 4.6958950129360165e-05)	(10, 0.0001408768503880805)	(12, 0.0001408768503880805)	(14, 0.0001408768503880805)	(16, 0.00018783580051744066)	(18, 0.00021131527558212077)	(20, 0.00021131527558212077)	(22, 0.00021131527558212077)	(24, 0.00021131527558212077)	(26, 0.00021131527558212077)	(28, 0.00023479475064680085)	(30, 0.00025827422571148093)	(32, 0.000281753700776161)	(34, 0.0003052331758408411)	(36, 0.00042263055116424154)	(38, 0.0005165484514229619)	(40, 0.0005869868766170021)	(42, 0.0006339458267463623)	(44, 0.0006809047768757224)	(46, 0.0008100418897314629)	(48, 0.0009156995275225233)	(50, 0.0009861379527165634)	(52, 0.001103535328039964)	(54, 0.0011504942781693241)	(56, 0.0013148506036220848)	(58, 0.0014674671915425052)	(60, 0.0017961798424480264)	(62, 0.002113152755821208)	(64, 0.002383166719065029)	(66, 0.00294667412061735)	(68, 0.004285004199304115)	(70, 0.005975526403961082)	(72, 0.007724747296279748)	(74, 0.009473968188598414)	(76, 0.011587120944419622)	(78, 0.018619223726291306)	(80, 0.08636924902542568)	(82, 0.474261916831473)	(84, 1.129679723524485)	(86, 1.606101752061909)	(88, 1.6842531848146964)	(90, 1.6862019812450648)
HSMA33J3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 9.02329019478757e-06)	(22, 9.02329019478757e-06)	(24, 9.02329019478757e-06)	(26, 9.02329019478757e-06)	(28, 9.02329019478757e-06)	(30, 1.3534935292181356e-05)	(32, 6.767467646090677e-05)	(34, 0.00017144251370096382)	(36, 0.00031581515681756495)	(38, 0.0004240946391550158)	(40, 0.0005504207018820418)	(42, 0.0006902816999012491)	(44, 0.0007850262469465187)	(46, 0.0009564687606474825)	(48, 0.0015429826233086745)	(50, 0.0016196805899643689)	(52, 0.0017775881683731514)	(54, 0.001971588907561084)	(56, 0.0025310328996379135)	(58, 0.006956956740181217)	(60, 0.007466772636186714)	(62, 0.009068406645761508)	(64, 0.0119784177335805)	(66, 0.01572308316441734)	(68, 0.01946323695015679)	(70, 0.023478601086837258)	(72, 0.02735410422549852)	(74, 0.03154091087587995)	(76, 0.25111816612093807)	(78, 1.1557210547287815)	(80, 2.1342337133221303)					
HSMA33J3_R2 - illumina_universal_adapter	(1, 9.02329019478757e-06)	(2, 9.02329019478757e-06)	(3, 9.02329019478757e-06)	(4, 9.02329019478757e-06)	(5, 9.02329019478757e-06)	(6, 9.02329019478757e-06)	(7, 9.02329019478757e-06)	(8, 9.02329019478757e-06)	(9, 9.02329019478757e-06)	(10, 0.00010376783724005705)	(12, 0.00013083770782441976)	(14, 0.00016241922350617626)	(16, 0.00018046580389575139)	(18, 0.00019851238428532654)	(20, 0.00021655896467490167)	(22, 0.00022107060977229545)	(24, 0.00022558225486968926)	(26, 0.00023009389996708304)	(28, 0.0002752103509410209)	(30, 0.0003293500921097463)	(32, 0.00046921109012895365)	(34, 0.0006406536038299174)	(36, 0.000735398150875187)	(38, 0.000861724213602213)	(40, 0.001028655082205783)	(42, 0.0012767955625624411)	(44, 0.001407633270386861)	(46, 0.001592610719380006)	(48, 0.0018768443605158146)	(50, 0.002165589646749017)	(52, 0.0023731253212291308)	(54, 0.0036408975935967847)	(56, 0.003920619589635199)	(58, 0.004412388905251122)	(60, 0.00488611164047747)	(62, 0.0070336547068369105)	(64, 0.009000731969300601)	(66, 0.01035873714361613)	(68, 0.012989026235396706)	(70, 0.01604792161142969)	(72, 0.019652726044247327)	(74, 0.023176320865311874)	(76, 0.02669089239618163)	(78, 0.033747105328505514)	(80, 0.1104044671783233)	(82, 0.5879485658021633)	(84, 1.417924332854016)	(86, 1.994891554489123)	(88, 2.0892706582815035)	(90, 2.091535504120395)
