Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
MSM6J2HP_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 1.7072681592439578e-05)	(30, 3.4145363184879156e-05)	(32, 4.552715091317221e-05)	(34, 0.000108126983418784)	(36, 0.00018210860365268884)	(38, 0.0002674720116148867)	(40, 0.0004268170398109895)	(42, 0.0005292531293656269)	(44, 0.0006146165373278248)	(46, 0.000756888883931488)	(48, 0.000853634079621979)	(50, 0.0010186700016822283)	(52, 0.0010641971525954005)	(54, 0.0012292330746556496)	(56, 0.0015536140249120018)	(58, 0.0018210860365268883)	(60, 0.002259284864066171)	(62, 0.0033291729105257182)	(64, 0.005673821182554087)	(66, 0.008564795265540522)	(68, 0.011768768511055017)	(70, 0.01579223047300661)	(72, 0.02000349193247504)	(74, 0.02439117110173201)	(76, 0.16966830966566454)	(78, 0.7638317744457468)	(80, 1.3574659860964635)					
MSM6J2HP_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 2.2763575456586105e-05)	(7, 2.2763575456586105e-05)	(8, 2.2763575456586105e-05)	(9, 2.2763575456586105e-05)	(10, 5.6908938641465265e-05)	(12, 7.967251409805137e-05)	(14, 7.967251409805137e-05)	(16, 0.00010243608955463746)	(18, 0.00012519966501122357)	(20, 0.00013658145273951662)	(22, 0.00013658145273951662)	(24, 0.00013658145273951662)	(26, 0.00014227234660366315)	(28, 0.00015934502819610273)	(30, 0.00015934502819610273)	(32, 0.0001707268159243958)	(34, 0.0001934903913809819)	(36, 0.00025039933002244714)	(38, 0.00033576273798464505)	(40, 0.0003642172073053777)	(42, 0.00041543525208269643)	(44, 0.0004894168723166012)	(46, 0.0005121804477731873)	(48, 0.0005918529618712387)	(50, 0.0006146165373278248)	(52, 0.000648761900512704)	(54, 0.0006715254759692901)	(56, 0.0007796524593880741)	(58, 0.0009503792753124699)	(60, 0.0010641971525954005)	(62, 0.0011438696666934518)	(64, 0.0013999598905800456)	(66, 0.0020942489420059216)	(68, 0.0036706265423745096)	(70, 0.005514476154357984)	(72, 0.007483525431352682)	(74, 0.010101336608860085)	(76, 0.013043528736623839)	(78, 0.01912140338353233)	(80, 0.07617261437160125)	(82, 0.4089988511223467)	(84, 0.9601733036526661)	(86, 1.377645895738727)	(88, 1.4424879404268125)	(90, 1.4437001008198758)
MSM6J2JN_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 8.923158046023508e-06)	(32, 2.0820702107388186e-05)	(34, 7.435965038352923e-05)	(36, 0.00019036070498183483)	(38, 0.0003390800057488933)	(40, 0.0004640042183932224)	(42, 0.0005948772030682338)	(44, 0.0007168270296972219)	(46, 0.0008595975584335979)	(48, 0.001496116165716608)	(50, 0.0017102719588211724)	(52, 0.0019274021379410778)	(54, 0.002209968809398489)	(56, 0.002763204608251946)	(58, 0.005823847818038009)	(60, 0.006326519054630667)	(62, 0.007882122940654098)	(64, 0.012275291085313006)	(66, 0.01653461185928156)	(68, 0.020817727721372845)	(70, 0.026079416582511374)	(72, 0.029708167521227596)	(74, 0.03382769215247512)	(76, 0.2220884806074791)	(78, 0.9553519674254762)	(80, 1.6969050680682292)					
MSM6J2JN_R2 - illumina_universal_adapter	(1, 5.9487720306823385e-06)	(2, 5.9487720306823385e-06)	(3, 5.9487720306823385e-06)	(4, 5.9487720306823385e-06)	(5, 5.9487720306823385e-06)	(6, 5.9487720306823385e-06)	(7, 1.7846316092047015e-05)	(8, 3.569263218409403e-05)	(9, 3.569263218409403e-05)	(10, 0.00016954000287444665)	(12, 0.0001844119329511525)	(14, 0.00020523263505854066)	(16, 0.00024687403927331703)	(18, 0.00025877158333468175)	(20, 0.00027066912739604637)	(22, 0.0002795922854420699)	(24, 0.0002795922854420699)	(26, 0.0002914898295034346)	(28, 0.0003004129875494581)	(30, 0.0003420543917642345)	(32, 0.00042236281417844604)	(34, 0.0005413382547920927)	(36, 0.0007614428199273393)	(38, 0.0009964193151392917)	(40, 0.001249242126443291)	(42, 0.001564527044069455)	(44, 0.001793554767250725)	(46, 0.0019809410862172186)	(48, 0.0022724309157206536)	(50, 0.0025222793410093116)	(52, 0.0028078203984820637)	(54, 0.0038072140996366966)	(56, 0.004152242877416272)	(58, 0.004645990955962906)	(60, 0.005196252368801023)	(62, 0.0070730899444813)	(64, 0.008714951024949626)	(66, 0.010089117364037246)	(68, 0.012932630394703402)	(70, 0.01803965118304419)	(72, 0.021525631593024043)	(74, 0.025835516929253396)	(76, 0.030338737356479926)	(78, 0.037968037485830025)	(80, 0.11091188012605685)	(82, 0.5126651736042039)	(84, 1.12935652370895)	(86, 1.57320035369019)	(88, 1.643821200852435)	(90, 1.6454600875468883)
MSM6J2JZ_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 2.155765094325861e-05)	(16, 2.155765094325861e-05)	(18, 2.155765094325861e-05)	(20, 2.155765094325861e-05)	(22, 2.155765094325861e-05)	(24, 2.155765094325861e-05)	(26, 2.155765094325861e-05)	(28, 2.155765094325861e-05)	(30, 2.155765094325861e-05)	(32, 5.3894127358146526e-05)	(34, 0.00010060237106854018)	(36, 0.0001616823820744396)	(38, 0.00028384240408623834)	(40, 0.00036648006603539636)	(42, 0.0004850471462233188)	(44, 0.0006431365864738819)	(46, 0.00082637661949158)	(48, 0.0009305719323839967)	(50, 0.0010599178380435482)	(52, 0.0012287861037657407)	(54, 0.0013545390676014159)	(56, 0.001512628507851979)	(58, 0.001710240308165183)	(60, 0.0021773227452691196)	(62, 0.003592941823876435)	(64, 0.005892424591157353)	(66, 0.008702105097428726)	(68, 0.01158005149835375)	(70, 0.014558600270347315)	(72, 0.01755870669328414)	(74, 0.02101152378602939)	(76, 0.14435003071605965)	(78, 0.6539836778401649)	(80, 1.2732631306035072)					
MSM6J2JZ_R2 - illumina_universal_adapter	(1, 7.18588364775287e-06)	(2, 7.18588364775287e-06)	(3, 7.18588364775287e-06)	(4, 7.18588364775287e-06)	(5, 2.874353459101148e-05)	(6, 2.874353459101148e-05)	(7, 3.592941823876435e-05)	(8, 5.748706918202296e-05)	(9, 8.623060377303444e-05)	(10, 0.0002155765094325861)	(12, 0.0002874353459101148)	(14, 0.0002874353459101148)	(16, 0.00029102828773399123)	(18, 0.00032336476414887913)	(20, 0.00035929418238764353)	(22, 0.0003808518333309021)	(24, 0.0003988165424502843)	(26, 0.0004095953679219136)	(28, 0.0004311530188651722)	(30, 0.000495825971694948)	(32, 0.0006323577610022526)	(34, 0.0007257742484230399)	(36, 0.0008658989795542209)	(38, 0.0010275813616286605)	(40, 0.0012287861037657407)	(42, 0.0014515484968460799)	(44, 0.0016240097043921486)	(46, 0.0019006662248306342)	(48, 0.0021701368616213667)	(50, 0.002360562778286818)	(52, 0.0024970945675941224)	(54, 0.0027234499024983375)	(56, 0.0031114876194769927)	(58, 0.003560605347461547)	(60, 0.004006130133622225)	(62, 0.004383389025129251)	(64, 0.004897179705943581)	(66, 0.006262497599016627)	(68, 0.008928460432332941)	(70, 0.012187258666588867)	(72, 0.01612512290555744)	(74, 0.0196533917766041)	(76, 0.023501432469975762)	(78, 0.029749558301696885)	(80, 0.08508086238939398)	(82, 0.37453544160452734)	(84, 0.9294150051167085)	(86, 1.312347151763635)	(88, 1.3690653313953485)	(90, 1.370326453975529)
MSM6J2M3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 1.9518105775641716e-05)	(20, 3.903621155128343e-05)	(22, 3.903621155128343e-05)	(24, 3.903621155128343e-05)	(26, 3.903621155128343e-05)	(28, 3.903621155128343e-05)	(30, 3.903621155128343e-05)	(32, 3.903621155128343e-05)	(34, 3.903621155128343e-05)	(36, 0.00014638579331731287)	(38, 0.00022445821641987974)	(40, 0.0002537353750833423)	(42, 0.0002537353750833423)	(44, 0.00031228969241026746)	(46, 0.0003903621155128343)	(48, 0.00048795264439104296)	(50, 0.0006636155963718185)	(52, 0.0007709651781378478)	(54, 0.0007807242310256686)	(56, 0.0008392785483525937)	(58, 0.0008587966541282355)	(60, 0.0009466281301186233)	(62, 0.0014833760389487706)	(64, 0.0025666309094968857)	(66, 0.003845066837801418)	(68, 0.005445551511404039)	(70, 0.007358325877416927)	(72, 0.008744111387487489)	(74, 0.010442186589968318)	(76, 0.1049000594911864)	(78, 0.5407198433554903)	(80, 0.9560163389967069)					
MSM6J2M3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 1.9518105775641716e-05)	(3, 1.9518105775641716e-05)	(4, 1.9518105775641716e-05)	(5, 1.9518105775641716e-05)	(6, 1.9518105775641716e-05)	(7, 1.9518105775641716e-05)	(8, 1.9518105775641716e-05)	(9, 1.9518105775641716e-05)	(10, 4.879526443910429e-05)	(12, 7.807242310256686e-05)	(14, 9.759052887820858e-05)	(16, 9.759052887820858e-05)	(18, 0.00015614484620513373)	(20, 0.00015614484620513373)	(22, 0.00015614484620513373)	(24, 0.00015614484620513373)	(26, 0.00015614484620513373)	(28, 0.00015614484620513373)	(30, 0.00017566295198077545)	(32, 0.0002342172693077006)	(34, 0.0002342172693077006)	(36, 0.0002342172693077006)	(38, 0.0002342172693077006)	(40, 0.0002342172693077006)	(42, 0.00024397632219552145)	(44, 0.0002537353750833423)	(46, 0.0003025306395224466)	(48, 0.0003513259039615509)	(50, 0.0003513259039615509)	(52, 0.0003513259039615509)	(54, 0.0004001211684006552)	(56, 0.0004684345386154012)	(58, 0.0005074707501666846)	(60, 0.0005269888559423263)	(62, 0.0005757841203814307)	(64, 0.0006440974905961767)	(66, 0.000829519495464773)	(68, 0.001297954034080174)	(70, 0.0021177144766571262)	(72, 0.002966752077897541)	(74, 0.003845066837801418)	(76, 0.004977116972788638)	(78, 0.007397362088968211)	(80, 0.03290752633773193)	(82, 0.24997813972153127)	(84, 0.631927951645064)	(86, 0.9092802347169329)	(88, 0.961783939253409)	(90, 0.9626720130662008)
MSM6J2PS_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 1.50877260744875e-05)	(26, 3.0175452148975e-05)	(28, 3.0175452148975e-05)	(30, 5.532166227312083e-05)	(32, 9.0526356446925e-05)	(34, 0.00018105271289384998)	(36, 0.0003621054257877)	(38, 0.0005029242024829167)	(40, 0.0007392985776498876)	(42, 0.0009656144687672)	(44, 0.001383041556828021)	(46, 0.001654620626168796)	(48, 0.0019211704534847416)	(50, 0.002202808006875175)	(52, 0.0025347379805139)	(54, 0.003022574456922329)	(56, 0.003641171225976317)	(58, 0.004199417090732354)	(60, 0.005094622171151946)	(62, 0.00797134860935423)	(64, 0.013186672589102076)	(66, 0.019825272061876578)	(68, 0.02662480727944561)	(70, 0.0337613017126782)	(72, 0.04186843985670281)	(74, 0.050000724210851576)	(76, 0.31130505209490056)	(78, 1.3355303074194598)	(80, 2.382030075671987)					
MSM6J2PS_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 1.0058484049658333e-05)	(7, 1.0058484049658333e-05)	(8, 3.0175452148975e-05)	(9, 3.0175452148975e-05)	(10, 0.00010058484049658333)	(12, 0.00011567256657107083)	(14, 0.000150877260744875)	(16, 0.000150877260744875)	(18, 0.00016093574479453333)	(20, 0.00018105271289385)	(22, 0.00019111119694350834)	(24, 0.00019111119694350834)	(26, 0.000211228165042825)	(28, 0.00025146210124145834)	(30, 0.00034701769971321253)	(32, 0.00046269026628428334)	(34, 0.0005934505589298416)	(36, 0.00078456175587335)	(38, 0.0011617549077355374)	(40, 0.0015590650276970418)	(42, 0.001971462873733033)	(44, 0.0023888899617938546)	(46, 0.002886784922251942)	(48, 0.003208656411841008)	(50, 0.003621054257877)	(52, 0.003852399391019142)	(54, 0.0042044463327571835)	(56, 0.004692282809165613)	(58, 0.005446669112889988)	(60, 0.006160821480415729)	(62, 0.006809593701618691)	(64, 0.007468424406871312)	(66, 0.009490179700852638)	(68, 0.013679538307535332)	(70, 0.019292172407244682)	(72, 0.02498024513732647)	(74, 0.03145790886530644)	(76, 0.039464462168834466)	(78, 0.05330996546318917)	(80, 0.14662755123389437)	(82, 0.6919281470180216)	(84, 1.6667310409645846)	(86, 2.4106011996150416)	(88, 2.5389021929104585)	(90, 2.5409842991087377)
MSM79H54_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 2.69246116259396e-05)	(6, 2.69246116259396e-05)	(7, 2.69246116259396e-05)	(8, 2.69246116259396e-05)	(9, 2.69246116259396e-05)	(10, 2.69246116259396e-05)	(12, 2.69246116259396e-05)	(14, 2.69246116259396e-05)	(16, 2.69246116259396e-05)	(18, 2.69246116259396e-05)	(20, 2.69246116259396e-05)	(22, 2.69246116259396e-05)	(24, 2.69246116259396e-05)	(26, 2.69246116259396e-05)	(28, 2.69246116259396e-05)	(30, 2.69246116259396e-05)	(32, 2.69246116259396e-05)	(34, 2.69246116259396e-05)	(36, 6.7311529064849e-05)	(38, 0.0001076984465037584)	(40, 0.000134623058129698)	(42, 0.00022885919882048662)	(44, 0.0004307937860150336)	(46, 0.0005519545383317619)	(48, 0.0008750498778430371)	(50, 0.0011981452173543124)	(52, 0.001561627474304497)	(54, 0.0018039489789379534)	(56, 0.002221280459140017)	(58, 0.0023559035172697152)	(60, 0.002773234997471779)	(62, 0.004227164025272517)	(64, 0.007606202784327937)	(66, 0.011321799188707602)	(68, 0.015212405568655876)	(70, 0.019439569593928393)	(72, 0.024447547356353155)	(74, 0.029765158152476233)	(76, 0.2745098778322672)	(78, 1.218756007553969)	(80, 2.114739770936174)					
MSM79H54_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.38492232518792e-05)	(12, 8.077383487781881e-05)	(14, 0.00016154766975563762)	(16, 0.00016154766975563762)	(18, 0.00016154766975563762)	(20, 0.00016154766975563762)	(22, 0.00016154766975563762)	(24, 0.00016154766975563762)	(26, 0.00016154766975563762)	(28, 0.00024232150463345643)	(30, 0.00024232150463345643)	(32, 0.00024232150463345643)	(34, 0.00032309533951127524)	(36, 0.00047118070345394307)	(38, 0.0006192660673966109)	(40, 0.00067311529064849)	(42, 0.0007269645139003692)	(44, 0.0008077383487781881)	(46, 0.0008750498778430371)	(48, 0.0009154367952819465)	(50, 0.000942361406907886)	(52, 0.000942361406907886)	(54, 0.0010096729359727352)	(56, 0.0011846829115413425)	(58, 0.0013596928871099498)	(60, 0.0016020143917434063)	(62, 0.001763562061499044)	(64, 0.001952034342880621)	(66, 0.0024770642695864436)	(68, 0.003890606379948272)	(70, 0.005909952251893742)	(72, 0.00810430809940782)	(74, 0.009760171714403104)	(76, 0.011994914479356092)	(78, 0.0170298168534068)	(80, 0.08672417404715146)	(82, 0.5737634737487729)	(84, 1.4062320783053863)	(86, 2.0514400090035902)	(88, 2.1473858625326256)	(90, 2.149310972263881)
MSM79H5E_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.000515466574569972)	(52, 0.001030933149139944)	(54, 0.001030933149139944)	(56, 0.001030933149139944)	(58, 0.001030933149139944)	(60, 0.001030933149139944)	(62, 0.00128866643642493)	(64, 0.002319599585564874)	(66, 0.004123732596559776)	(68, 0.00515466574569972)	(70, 0.006958798756694622)	(72, 0.008247465193119552)	(74, 0.008762931767689525)	(76, 0.0865983845277553)	(78, 0.36855860081753)	(80, 0.6193330893458213)					
MSM79H5E_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.000515466574569972)	(72, 0.001030933149139944)	(74, 0.0015463997237099162)	(76, 0.002061866298279888)	(78, 0.004896932458414734)	(80, 0.028350661601348463)	(82, 0.17345450234279558)	(84, 0.38608446435290905)	(86, 0.5438172361713205)	(88, 0.5793844298166485)	(90, 0.5798998963912185)
MSM79H81_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 3.386697526254526e-05)	(62, 0.00032173626499417996)	(64, 0.0008974748444574494)	(66, 0.0015409473744458094)	(68, 0.0021674864168028966)	(70, 0.002844825922053802)	(72, 0.00360683286546107)	(74, 0.004182571444924339)	(76, 0.03811728065799469)	(78, 0.20667321653968246)	(80, 0.37426394362638765)					
MSM79H81_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 1.693348763127263e-05)	(32, 3.386697526254526e-05)	(34, 3.386697526254526e-05)	(36, 3.386697526254526e-05)	(38, 3.386697526254526e-05)	(40, 3.386697526254526e-05)	(42, 3.386697526254526e-05)	(44, 3.386697526254526e-05)	(46, 5.080046289381789e-05)	(48, 6.773395052509052e-05)	(50, 0.00013546790105018104)	(52, 0.00020320185157527156)	(54, 0.0002370688268378168)	(56, 0.0002709358021003621)	(58, 0.0004233371907818158)	(60, 0.0004402706784130884)	(62, 0.000457204166044361)	(64, 0.0005080046289381789)	(66, 0.0006096055547258146)	(68, 0.0009821422826138126)	(70, 0.0015070803991832642)	(72, 0.002065885491015261)	(74, 0.002455355706534531)	(76, 0.002929493360210165)	(78, 0.006400858324621054)	(80, 0.037778610905369235)	(82, 0.13384228623757885)	(84, 0.2758126465381686)	(86, 0.36564479842206987)	(88, 0.3765499644566095)	(90, 0.3768378337463411)
MSM79H8D_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.5341071820905522e-05)	(36, 5.0682143641811045e-05)	(38, 5.912916758211289e-05)	(40, 0.00016894047880603683)	(42, 0.00023229315835830063)	(44, 0.00030409286185086623)	(46, 0.00043924524489569574)	(48, 0.0005110449483882614)	(50, 0.0006124092356718834)	(52, 0.0006842089391644491)	(54, 0.0009460666813138062)	(56, 0.0011910303755825595)	(58, 0.0012586065671049743)	(60, 0.0016133815725976517)	(62, 0.0025678952778517596)	(64, 0.004337546793344995)	(66, 0.006728054568450416)	(68, 0.009207256094929006)	(70, 0.011618881429885182)	(72, 0.014431740402005695)	(74, 0.0176669505711413)	(76, 0.1422563301786233)	(78, 0.6832206373634337)	(80, 1.2657569728704399)					
MSM79H8D_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 8.44702394030184e-06)	(10, 9.714077531347117e-05)	(12, 0.00011825833516422578)	(14, 0.00012670535910452762)	(16, 0.00013937589501498038)	(18, 0.00015626994289558404)	(20, 0.00017316399077618776)	(22, 0.00017738750274633866)	(24, 0.00017738750274633866)	(26, 0.00019428155062694235)	(28, 0.0002956458379105644)	(30, 0.00029986934988071535)	(32, 0.00035477500549267727)	(34, 0.0004434687568658466)	(36, 0.0004983744124778086)	(38, 0.0005575035800599215)	(40, 0.000582844651880827)	(42, 0.0006124092356718834)	(44, 0.0007053264990152038)	(46, 0.0007306675708361092)	(48, 0.0008404788820600332)	(50, 0.0008911610257018442)	(52, 0.0009671842411645608)	(54, 0.00100941936086607)	(56, 0.0010938896002690886)	(58, 0.001271277103015427)	(60, 0.001435994069851313)	(62, 0.0015584759169856896)	(64, 0.0017400869317021792)	(66, 0.0024580839666278357)	(68, 0.003780043213285074)	(70, 0.00573552925546495)	(72, 0.007809273632809052)	(74, 0.009946370689705417)	(76, 0.01252271299149748)	(78, 0.018241348199081825)	(80, 0.06383415991686102)	(82, 0.34261973804258294)	(84, 0.8885171072085296)	(86, 1.260114360878318)	(88, 1.3160040947793252)	(90, 1.3171275489633854)
MSM9VZFL_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.274277697986756e-05)	(5, 1.274277697986756e-05)	(6, 1.274277697986756e-05)	(7, 1.274277697986756e-05)	(8, 1.274277697986756e-05)	(9, 1.274277697986756e-05)	(10, 1.274277697986756e-05)	(12, 1.274277697986756e-05)	(14, 1.274277697986756e-05)	(16, 1.274277697986756e-05)	(18, 1.274277697986756e-05)	(20, 1.274277697986756e-05)	(22, 1.274277697986756e-05)	(24, 1.274277697986756e-05)	(26, 2.548555395973512e-05)	(28, 2.548555395973512e-05)	(30, 4.459971942953646e-05)	(32, 5.097110791947024e-05)	(34, 6.37138848993378e-05)	(36, 8.282805036913913e-05)	(38, 0.00015291332375841072)	(40, 0.0002675983165772187)	(42, 0.00034405497845642406)	(44, 0.00040776886335576186)	(46, 0.0005033396907047686)	(48, 0.000637138848993378)	(50, 0.0007454524533222522)	(52, 0.0008601374461410603)	(54, 0.0010449077123491398)	(56, 0.0012487921440270206)	(58, 0.0014335624102351004)	(60, 0.0017457604462418556)	(62, 0.002892610374429936)	(64, 0.004663856374631526)	(66, 0.006881099569128482)	(68, 0.009588939677350338)	(70, 0.012558006713659479)	(72, 0.015590787634867959)	(74, 0.019235221851110082)	(76, 0.14590479641948356)	(78, 0.6497796837574066)	(80, 1.1269839388764669)					
MSM9VZFL_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.274277697986756e-05)	(10, 0.00018477026620807962)	(12, 0.0001911416546980134)	(14, 0.00020388443167788096)	(16, 0.00022936998563761606)	(18, 0.00023574137412754983)	(20, 0.0002548555395973512)	(22, 0.0002675983165772187)	(24, 0.0002675983165772187)	(26, 0.00028034109355708626)	(28, 0.00029308387053695386)	(30, 0.00030582664751682145)	(32, 0.00032494081298662275)	(34, 0.0004013974748658281)	(36, 0.0005097110791947024)	(38, 0.0005351966331544375)	(40, 0.0006052819065437091)	(42, 0.0007263382878524508)	(44, 0.0008537660576511264)	(46, 0.0009302227195303319)	(48, 0.000981193827449802)	(50, 0.0010512791008390737)	(52, 0.0010767646547988087)	(54, 0.0012169352015773518)	(56, 0.0013953340792954977)	(58, 0.0015036476836243718)	(60, 0.0016693037843626504)	(62, 0.0017202748922821205)	(64, 0.0018923023815103327)	(66, 0.0026887259427520547)	(68, 0.004351658338624772)	(70, 0.006384131266913647)	(72, 0.008684202511779742)	(74, 0.011500356224330472)	(76, 0.01446305187214968)	(78, 0.020726126757754586)	(80, 0.06358008574104919)	(82, 0.33632011282964447)	(84, 0.8159709811288393)	(86, 1.1289399551428765)	(88, 1.1781780453930848)	(90, 1.1792293244939238)
MSM9VZHX_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 1.046104109536306e-05)	(54, 2.092208219072612e-05)	(56, 3.138312328608918e-05)	(58, 5.23052054768153e-05)	(60, 0.0001569156164304459)	(62, 0.0005439741369588792)	(64, 0.0016110003286859112)	(66, 0.0024897277806964083)	(68, 0.0031383123286089177)	(70, 0.00369274750666316)	(72, 0.004299487890194218)	(74, 0.005073604931251084)	(76, 0.04536953523058959)	(78, 0.20558037960607484)	(80, 0.36425345094054173)					
